date,FREL,VNQ,VNQ/FREL,VNQ/FREL avg,VNQ/FREL 10 dma,VNQ/FREL 20 dma,FREL avg,FREL 10 dma,FREL 20 dma,avg diff,10 dma diff,20 dma diff,FREL div,VNQ div,FREL*,VNQ*,VNQ*/FREL*,VNQ*/FREL* avg,VNQ*/FREL* 10 dma,VNQ*/FREL* 20 dma,FREL* avg,FREL* 10 dma,FREL* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-01-28,27.18,89.46,3.291390728476821,3.293648077180519,3.289231456083491,,89.5213547377665,89.39850381783943,,-0.000685599237526197,0.0006876517836299118,,0.0,0.0,27.18,89.46,3.291390728476821,3.2926521199357435,3.289231456083491,,89.4942846198535,89.39850381783943,,-0.0003831662409849147,0.0006876517836299118,
2026-01-29,27.56,90.71,3.291364296081277,3.293648077180519,3.2894862353115975,,90.7729410070951,90.65121892966101,,-0.0006936300378356471,0.0006482209674611603,,0.0,0.0,27.56,90.71,3.291364296081277,3.2926521199357435,3.2894862353115975,,90.74549242542909,90.65121892966101,,-0.00039119704129443074,0.0006482209674611603,
2026-01-30,27.59,90.8,3.2910474809713666,3.293648077180519,3.2895726446816576,3.2900688898054953,90.87175044941051,90.75692523224697,,-0.0007898911411775984,0.0004745042746909795,,0.0,0.0,27.59,90.8,3.2910474809713666,3.2926521199357435,3.2895726446816576,3.2900688898054953,90.84427198902716,90.75692523224697,,-0.00048745814463650586,0.0004745042746909795,
2026-02-02,27.29,89.86,3.292781238548919,3.293648077180519,3.2899445185365495,3.2901114474562583,89.88365602625636,89.77243747336243,89.78598000279196,-0.00026321959746368484,0.0009749078151414814,0.0008240652131007307,0.0,0.0,27.29,89.86,3.292781238548919,3.2926521199357435,3.2899445185365495,3.2901114474562583,89.85647635304643,89.77243747336243,89.78598000279196,3.921339907746055e-05,0.0009749078151414814,0.0008240652131007307
2026-02-03,27.26,89.66,3.289068231841526,3.293648077180519,3.2900990813228717,3.289963745875793,89.78484658394095,89.68388757530634,89.6884380576576,-0.0013914760603236404,-0.0002663885094781741,-0.00031712635140763984,0.0,0.0,27.26,89.66,3.289068231841526,3.2926521199357435,3.2900990813228717,3.289963745875793,89.75769678944837,89.68388757530634,89.6884380576576,-0.0010890430637825494,-0.0002663885094781741,-0.00031712635140763984
2026-02-04,27.65,90.95,3.289330922242315,3.293648077180519,3.290285775852579,3.289844656628792,91.06936933404134,90.9712395985774,90.96749757346566,-0.0013116115234429921,-0.00023350323162664774,-0.00019236823013745477,0.0,0.0,27.65,90.95,3.289330922242315,3.2926521199357435,3.290285775852579,3.289844656628792,91.0418311162233,90.9712395985774,90.96749757346566,-0.001009178526901825,-0.00023350323162664774,-0.00019236823013745477
2026-02-05,27.61,90.82,3.2893879029337194,3.293648077180519,3.2904036054472607,3.2897547360447232,90.93762341095413,90.84479027128971,90.83261096952096,-0.0012942887914886123,-0.0002729232385271408,-0.00013884710463467123,0.0,0.0,27.61,90.82,3.2893879029337194,3.2926521199357435,3.2904036054472607,3.2897547360447232,90.91012503142588,90.84479027128971,90.83261096952096,-0.0009918557949474714,-0.0002729232385271408,-0.00013884710463467123
2026-02-06,28.02,92.25,3.2922912205567454,3.293648077180519,3.290635634479679,3.2898097688749934,92.28801912259814,92.19710902463224,92.17892770397314,-0.0004120465074549699,0.0005735083308939134,0.0007707283280325887,0.0,0.0,28.02,92.25,3.2922912205567454,3.2926521199357435,3.290635634479679,3.2898097688749934,92.26011240059952,92.19710902463224,92.17892770397314,-0.00010961351091364116,0.0005735083308939134,0.0007707283280325887
2026-02-09,28.13,92.64,3.293281194454319,3.293648077180519,3.290924452615068,3.2900069168330033,92.65032041108799,92.56558039791337,92.54234879845356,-0.00011139719631080193,0.0008036432372287871,0.0010546492279785364,0.0,0.0,28.13,92.64,3.293281194454319,3.2926521199357435,3.290924452615068,3.2900069168330033,92.62230413379245,92.56558039791337,92.54234879845356,0.00019103580023037121,0.0008036432372287871,0.0010546492279785364
2026-02-10,28.49,93.88,3.2951912951912954,3.293648077180519,3.2915134511298305,3.2903208134574724,93.83603371887298,93.75843765500328,93.73229706057226,0.0004684339537751998,0.0012957085288400451,0.0015745553170832616,0.0,0.0,28.49,93.88,3.2951912951912954,3.2926521199357435,3.2915134511298305,3.2903208134574724,93.80765889696933,93.75843765500328,93.73229706057226,0.0007708669503164836,0.0012957085288400451,0.0015745553170832616
2026-02-11,28.38,93.36,3.2896405919661733,3.293648077180519,3.2913384374787653,3.290284946781129,93.47373243038312,93.41315174306459,93.37930468592306,-0.00121747227282657,-0.0005691582971469201,-0.00020675546612217334,0.0,0.0,28.38,93.36,3.2896405919661733,3.2926521199357435,3.2913384374787653,3.290284946781129,93.4454671637764,93.41315174306459,93.37930468592306,-0.0009150392762853766,-0.0005691582971469201,-0.00020675546612217334
2026-02-12,28.31,93.25,3.2938890851289298,3.293648077180519,3.291590916383531,3.290538575847564,93.24317706498049,93.17779116502385,93.14796684337375,7.317088088625498e-05,0.0007746574492559725,0.0010947884093936739,0.0,0.0,28.31,93.25,3.2938890851289298,3.2926521199357435,3.291590916383531,3.290538575847564,93.2149815153809,93.17779116502385,93.14796684337375,0.0003756038774274211,0.0007746574492559725,0.0010947884093936739
2026-02-13,28.73,94.59,3.2923773059519665,3.293648077180519,3.291723898881591,3.290648271781624,94.62650925739631,94.56740702769885,94.53717328410052,-0.00038589928534953164,0.00023888012384600557,0.0005586369886041069,0.0,0.0,28.73,94.59,3.2923773059519665,3.2926521199357435,3.291723898881591,3.290648271781624,94.59789540575392,94.56740702769885,94.53717328410052,-8.34662888084534e-05,0.00023888012384600557,0.0005586369886041069
