,bop date,eop date,day count, bop RSP price , eop RSP price , bop SPY price ,, eop SPY price ,, eop SPY / eop RSP , bop SPY / RSP moving avg , eop SPY / RSP moving avg ,current position,new position, bop RSP shares , eop RSP shares , eop RSP shares bought , eop RSP shares sold , eop RSP shares traded , bop SPY shares , eop SPY shares , eop SPY shares bought , eop SPY shares sold , eop SPY shares traded , RSP daily commission , SPY daily commission , daily total commissions , RSP cop ,RSP pct cop, RSP daily position pnl , SPY cop ,SPY pct cop, SPY daily position pnl , daily position pnl , short RSP investment amount , long RSP investment amount , RSP investment amount , daily RSP borrow cost , short SPY investment amount , long SPY investment amount , SPY investment amount , daily SPY borrow cost , net investment amount , gross investment amount , short investment amount , daily borrow cost , daily net profit , cumulative net profit , drawdown 
10,1/17/2024,1/18/2024,1, $153.84 , $154.63 , $472.29 ,43%, $476.49 , $0.32 , 3.08 , 3.03 , 3.04 ,,1, -   , 646.71 , 646.71 , -   , 646.71 , -   , (209.87), -   , 209.87 , (209.87), $(3.23), $(1.05), $(4.28), $0.79 ,0.51%, $-   , $4.20 ,0.89%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $(4.28), $(4.28), $(4.28)
11,1/18/2024,1/19/2024,1, $154.63 , $155.82 , $476.49 ,28%, $482.43 , $0.32 , 3.10 , 3.04 , 3.05 ,1,1, 646.71 , 641.77 , -   , 4.94 , (4.94), (209.87), (207.28), 2.58 , -   , 2.58 , $(0.02), $(0.01), $(0.04), $1.19 ,0.77%, $769.58 , $5.94 ,1.24%," $(1,246.62)", $(477.04), $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $0.00 ," $200,000.00 "," $(100,000.00)", $(2.78), $(479.85), $(484.14), $(484.14)
12,1/19/2024,1/22/2024,3, $155.82 , $156.64 , $482.43 ,16%, $483.45 , $0.32 , 3.09 , 3.05 , 3.06 ,1,1, 641.77 , 638.41 , -   , 3.36 , (3.36), (207.28), (206.85), 0.44 , -   , 0.44 , $(0.02), $(0.00), $(0.02), $0.82 ,0.52%, $526.25 , $1.02 ,0.21%, $(211.43), $314.82 , $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(8.33), $-   ," $200,000.00 "," $(100,000.00)", $(8.33), $306.47 , $(177.67), $(177.67)
13,1/22/2024,1/23/2024,1, $156.64 , $156.72 , $483.45 ,28%, $484.86 , $0.32 , 3.09 , 3.06 , 3.07 ,1,1, 638.41 , 638.08 , -   , 0.33 , (0.33), (206.85), (206.25), 0.60 , -   , 0.60 , $(0.00), $(0.00), $(0.00), $0.08 ,0.05%, $51.07 , $1.41 ,0.29%, $(291.65), $(240.58), $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $(243.36), $(421.03), $(421.03)
14,1/23/2024,1/24/2024,1, $156.72 , $155.91 , $484.86 ,52%, $485.39 , $0.32 , 3.11 , 3.07 , 3.07 ,1,1, 638.08 , 641.40 , 3.32 , -   , 3.32 , (206.25), (206.02), 0.23 , -   , 0.23 , $(0.02), $(0.00), $(0.02), $(0.81),-0.52%, $(516.85), $0.53 ,0.11%, $(109.31), $(626.16), $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $(628.95)," $(1,049.98)"," $(1,049.98)"
15,1/24/2024,1/25/2024,1, $155.91 , $157.48 , $485.39 ,59%, $488.03 , $0.32 , 3.10 , 3.07 , 3.08 ,1,1, 641.40 , 635.00 , -   , 6.39 , (6.39), (206.02), (204.91), 1.11 , -   , 1.11 , $(0.03), $(0.01), $(0.04), $1.57 ,1.00%," $1,006.99 ", $2.64 ,0.54%, $(543.89), $463.10 , $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $460.28 , $(589.70), $(589.70)
16,1/25/2024,1/26/2024,1, $157.48 , $157.50 , $488.03 ,80%, $487.41 , $0.32 , 3.09 , 3.08 , 3.09 ,1,1, 635.00 , 634.92 , -   , 0.08 , (0.08), (204.91), (205.17), -   , 0.26 , (0.26), $(0.00), $(0.00), $(0.00), $0.02 ,0.01%, $12.70 , $(0.62),-0.13%, $127.04 , $139.74 , $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $136.96 , $(452.74), $(452.74)
17,1/26/2024,1/29/2024,3, $157.50 , $158.46 , $487.41 ,90%, $491.27 , $0.32 , 3.10 , 3.09 , 3.09 ,1,1, 634.92 , 631.07 , -   , 3.85 , (3.85), (205.17), (203.55), 1.61 , -   , 1.61 , $(0.02), $(0.01), $(0.03), $0.96 ,0.61%, $609.52 , $3.86 ,0.79%, $(791.94), $(182.42), $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(8.33), $-   ," $200,000.00 "," $(100,000.00)", $(8.33), $(190.78), $(643.52), $(643.52)
18,1/29/2024,1/30/2024,1, $158.46 , $158.49 , $491.27 ,96%, $490.89 , $0.32 , 3.10 , 3.09 , 3.09 ,1,1, 631.07 , 630.95 , -   , 0.12 , (0.12), (203.55), (203.71), -   , 0.16 , (0.16), $(0.00), $(0.00), $(0.00), $0.03 ,0.02%, $18.93 , $(0.38),-0.08%, $77.35 , $96.28 , $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $93.50 , $(550.01), $(550.01)
19,1/30/2024,1/31/2024,1, $158.49 , $156.46 , $490.89 ,97%, $482.88 , $0.32 , 3.09 , 3.09 , 3.09 ,1,-1, 630.95 , (639.14), -   ," 1,270.10 "," (1,270.10)", (203.71), 207.09 , 410.80 , -   , 410.80 , $(6.35), $(2.05), $(8.40), $(2.03),-1.29%," $(1,280.84)", $(8.01),-1.65%," $1,631.73 ", $350.89 , $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $339.71 , $(210.30), $(210.30)
20,1/31/2024,2/1/2024,1, $156.46 , $158.28 , $482.88 ,95%, $489.20 , $0.32 , 3.09 , 3.09 , 3.10 ,-1,-1, (639.14), (631.79), 7.35 , -   , 7.35 , 207.09 , 204.42 , -   , 2.68 , (2.68), $(0.04), $(0.01), $(0.05), $1.82 ,1.16%," $(1,163.24)", $6.32 ,1.30%," $1,308.81 ", $145.58 ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $100,000.00 "," $100,000.00 ", $-   , $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $142.75 , $(67.55), $(67.55)
21,2/1/2024,2/2/2024,1, $158.28 , $158.14 , $489.20 ,93%, $494.35 , $0.32 , 3.13 , 3.10 , 3.10 ,-1,1, (631.79), 632.35 ," 1,264.14 ", -   ," 1,264.14 ", 204.42 , (202.29), -   , 406.70 , (406.70), $(6.32), $(2.03), $(8.35), $(0.14),-0.09%, $88.45 , $5.15 ,1.05%," $1,052.74 "," $1,141.19 "," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $100,000.00 "," $100,000.00 ", $-   , $-   ," $200,000.00 "," $(100,000.00)", $(2.78)," $1,130.06 "," $1,062.51 ", $-   
22,2/2/2024,2/5/2024,3, $158.14 , $156.78 , $494.35 ,86%, $492.55 , $0.32 , 3.14 , 3.10 , 3.10 ,1,1, 632.35 , 637.84 , 5.49 , -   , 5.49 , (202.29), (203.03), -   , 0.74 , (0.74), $(0.03), $(0.00), $(0.03), $(1.36),-0.86%, $(860.00), $(1.80),-0.36%, $364.11 , $(495.88), $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(8.33), $-   ," $200,000.00 "," $(100,000.00)", $(8.33), $(504.25), $558.26 , $(504.25)
23,2/5/2024,2/6/2024,1, $156.78 , $157.77 , $492.55 ,67%, $493.98 , $0.32 , 3.13 , 3.10 , 3.11 ,1,1, 637.84 , 633.83 , -   , 4.00 , (4.00), (203.03), (202.44), 0.59 , -   , 0.59 , $(0.02), $(0.00), $(0.02), $0.99 ,0.63%, $631.46 , $1.43 ,0.29%, $(290.33), $341.13 , $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $338.33 , $896.59 , $(165.92)
24,2/6/2024,2/7/2024,1, $157.77 , $158.39 , $493.98 ,62%, $498.10 , $0.32 , 3.14 , 3.11 , 3.11 ,1,1, 633.83 , 631.35 , -   , 2.48 , (2.48), (202.44), (200.76), 1.67 , -   , 1.67 , $(0.01), $(0.01), $(0.02), $0.62 ,0.39%, $392.98 , $4.12 ,0.83%, $(834.04), $(441.06), $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $(443.86), $452.73 , $(609.78)
25,2/7/2024,2/8/2024,1, $158.39 , $158.74 , $498.10 ,57%, $498.32 , $0.32 , 3.14 , 3.11 , 3.12 ,1,1, 631.35 , 629.96 , -   , 1.39 , (1.39), (200.76), (200.67), 0.09 , -   , 0.09 , $(0.01), $(0.00), $(0.01), $0.35 ,0.22%, $220.97 , $0.22 ,0.04%, $(44.17), $176.81 , $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $174.02 , $626.75 , $(435.76)
26,2/8/2024,2/9/2024,1, $158.74 , $158.93 , $498.32 ,64%, $501.20 , $0.32 , 3.15 , 3.12 , 3.12 ,1,1, 629.96 , 629.21 , -   , 0.75 , (0.75), (200.67), (199.52), 1.15 , -   , 1.15 , $(0.00), $(0.01), $(0.01), $0.19 ,0.12%, $119.69 , $2.88 ,0.58%, $(577.94), $(458.25), $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $(461.04), $165.71 , $(896.80)
27,2/9/2024,2/12/2024,3, $158.93 , $160.01 , $501.20 ,69%, $500.98 , $0.32 , 3.13 , 3.12 , 3.12 ,1,1, 629.21 , 624.96 , -   , 4.25 , (4.25), (199.52), (199.61), -   , 0.09 , (0.09), $(0.02), $(0.00), $(0.02), $1.08 ,0.68%, $679.54 , $(0.22),-0.04%, $43.89 , $723.44 , $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(8.33), $-   ," $200,000.00 "," $(100,000.00)", $(8.33), $715.08 , $880.79 , $(181.71)
28,2/12/2024,2/13/2024,1, $160.01 , $157.35 , $500.98 ,78%, $494.08 , $0.32 , 3.14 , 3.12 , 3.13 ,1,1, 624.96 , 635.53 , 10.56 , -   , 10.56 , (199.61), (202.40), -   , 2.79 , (2.79), $(0.05), $(0.01), $(0.07), $(2.66),-1.68%," $(1,662.40)", $(6.90),-1.39%," $1,377.30 ", $(285.10), $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $(287.94), $592.85 , $(469.65)
29,2/13/2024,2/14/2024,1, $157.35 , $158.79 , $494.08 ,80%, $498.57 , $0.32 , 3.14 , 3.13 , 3.13 ,1,1, 635.53 , 629.76 , -   , 5.76 , (5.76), (202.40), (200.57), 1.82 , -   , 1.82 , $(0.03), $(0.01), $(0.04), $1.44 ,0.91%, $915.16 , $4.49 ,0.90%, $(908.76), $6.40 , $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $(0.00)," $200,000.00 "," $(100,000.00)", $(2.78), $3.58 , $596.44 , $(466.07)
30,2/14/2024,2/15/2024,1, $158.79 , $160.76 , $498.57 ,72%, $502.01 , $0.32 , 3.12 , 3.13 , 3.14 ,1,-1, 629.76 , (622.05), -   ," 1,251.81 "," (1,251.81)", (200.57), 199.20 , 399.77 , -   , 399.77 , $(6.26), $(2.00), $(8.26), $1.97 ,1.23%," $1,240.63 ", $3.44 ,0.69%, $(689.97), $550.66 , $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $0.00 ," $200,000.00 "," $(100,000.00)", $(2.78), $539.62 ," $1,136.06 ", $-   
31,2/15/2024,2/16/2024,1, $160.76 , $160.03 , $502.01 ,92%, $499.51 , $0.32 , 3.12 , 3.14 , 3.14 ,-1,-1, (622.05), (624.88), -   , 2.84 , (2.84), 199.20 , 200.20 , 1.00 , -   , 1.00 , $(0.01), $(0.00), $(0.02), $(0.73),-0.46%, $454.09 , $(2.50),-0.50%, $(498.00), $(43.90)," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $100,000.00 "," $100,000.00 ", $-   , $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $(46.70)," $1,089.36 ", $(46.70)
32,2/16/2024,2/20/2024,4, $160.03 , $159.66 , $499.51 ,92%, $496.76 , $0.32 , 3.11 , 3.14 , 3.13 ,-1,-1, (624.88), (626.33), -   , 1.45 , (1.45), 200.20 , 201.30 , 1.11 , -   , 1.11 , $(0.01), $(0.01), $(0.01), $(0.37),-0.23%, $231.21 , $(2.75),-0.55%, $(550.54), $(319.33)," $(100,000.00)", $-   ," $(100,000.00)", $(11.11), $-   ," $100,000.00 "," $100,000.00 ", $-   , $-   ," $200,000.00 "," $(100,000.00)", $(11.11), $(330.46), $758.90 , $(377.16)
33,2/20/2024,2/21/2024,1, $159.66 , $159.98 , $496.76 ,80%, $497.21 , $0.32 , 3.11 , 3.13 , 3.13 ,-1,-1, (626.33), (625.08), 1.25 , -   , 1.25 , 201.30 , 201.12 , -   , 0.18 , (0.18), $(0.01), $(0.00), $(0.01), $0.32 ,0.20%, $(200.43), $0.45 ,0.09%, $90.59 , $(109.84)," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $100,000.00 "," $100,000.00 ", $-   , $(0.00)," $200,000.00 "," $(100,000.00)", $(2.78), $(112.62), $646.28 , $(489.78)
34,2/21/2024,2/22/2024,1, $159.98 , $161.57 , $497.21 ,66%, $507.50 , $0.32 , 3.14 , 3.13 , 3.13 ,-1,1, (625.08), 618.93 ," 1,244.00 ", -   ," 1,244.00 ", 201.12 , (197.04), -   , 398.17 , (398.17), $(6.22), $(1.99), $(8.21), $1.59 ,0.99%, $(993.87), $10.29 ,2.05%," $2,069.55 "," $1,075.67 "," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $100,000.00 "," $100,000.00 ", $-   , $-   ," $200,000.00 "," $(100,000.00)", $(2.78)," $1,064.69 "," $1,710.96 ", $-   
35,2/22/2024,2/23/2024,1, $161.57 , $162.00 , $507.50 ,80%, $507.85 , $0.32 , 3.13 , 3.13 , 3.13 ,1,1, 618.93 , 617.28 , -   , 1.64 , (1.64), (197.04), (196.91), 0.14 , -   , 0.14 , $(0.01), $(0.00), $(0.01), $0.43 ,0.27%, $266.14 , $0.35 ,0.07%, $(68.97), $197.17 , $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $194.39 ," $1,905.35 ", $-   
36,2/23/2024,2/26/2024,3, $162.00 , $161.35 , $507.85 ,86%, $505.99 , $0.32 , 3.14 , 3.13 , 3.13 ,1,1, 617.28 , 619.77 , 2.49 , -   , 2.49 , (196.91), (197.63), -   , 0.72 , (0.72), $(0.01), $(0.00), $(0.02), $(0.65),-0.40%, $(401.23), $(1.86),-0.37%, $366.25 , $(34.98), $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(8.33), $-   ," $200,000.00 "," $(100,000.00)", $(8.33), $(43.33)," $1,862.01 ", $(43.33)
37,2/26/2024,2/27/2024,1, $161.35 , $162.06 , $505.99 ,91%, $506.93 , $0.32 , 3.13 , 3.13 , 3.13 ,1,-1, 619.77 , (617.06), -   ," 1,236.83 "," (1,236.83)", (197.63), 197.27 , 394.90 , -   , 394.90 , $(6.18), $(1.97), $(8.16), $0.71 ,0.44%, $440.04 , $0.94 ,0.19%, $(185.77), $254.26 , $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $243.33 ," $2,105.34 ", $-   
38,2/27/2024,2/28/2024,1, $162.06 , $162.12 , $506.93 ,93%, $506.26 , $0.32 , 3.12 , 3.13 , 3.13 ,-1,-1, (617.06), (616.83), 0.23 , -   , 0.23 , 197.27 , 197.53 , 0.26 , -   , 0.26 , $(0.00), $(0.00), $(0.00), $0.06 ,0.04%, $(37.02), $(0.67),-0.13%, $(132.17), $(169.19)," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $100,000.00 "," $100,000.00 ", $-   , $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $(171.97)," $1,933.37 ", $(171.97)
39,2/28/2024,2/29/2024,1, $162.12 , $162.79 , $506.26 ,92%, $508.08 , $0.32 , 3.12 , 3.13 , 3.12 ,-1,-1, (616.83), (614.29), 2.54 , -   , 2.54 , 197.53 , 196.82 , -   , 0.71 , (0.71), $(0.01), $(0.00), $(0.02), $0.67 ,0.41%, $(413.27), $1.82 ,0.36%, $359.50 , $(53.78)," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $100,000.00 "," $100,000.00 ", $-   , $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $(56.57)," $1,876.80 ", $(228.54)
40,2/29/2024,3/1/2024,1, $162.79 , $163.93 , $508.08 ,95%, $512.85 , $0.32 , 3.13 , 3.12 , 3.13 ,-1,1, (614.29), 610.02 ," 1,224.30 ", -   ," 1,224.30 ", 196.82 , (194.99), -   , 391.81 , (391.81), $(6.12), $(1.96), $(8.08), $1.14 ,0.70%, $(700.29), $4.77 ,0.93%, $938.83 , $238.54 ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $100,000.00 "," $100,000.00 ", $-   , $(0.00)," $200,000.00 "," $(100,000.00)", $(2.78), $227.68 ," $2,104.48 ", $(0.86)
41,3/1/2024,3/4/2024,3, $163.93 , $164.23 , $512.85 ,96%, $512.30 , $0.32 , 3.12 , 3.13 , 3.13 ,1,-1, 610.02 , (608.90), -   ," 1,218.92 "," (1,218.92)", (194.99), 195.20 , 390.19 , -   , 390.19 , $(6.09), $(1.95), $(8.05), $0.30 ,0.18%, $183.00 , $(0.55),-0.11%, $107.24 , $290.25 , $-   ," $100,000.00 "," $100,000.00 ", $-   ," $(100,000.00)", $-   ," $(100,000.00)", $(8.33), $-   ," $200,000.00 "," $(100,000.00)", $(8.33), $273.87 ," $2,378.35 ", $-   
42,3/4/2024,3/5/2024,1, $164.23 , $163.48 , $512.30 ,95%, $507.18 , $0.32 , 3.10 , 3.13 , 3.12 ,-1,-1, (608.90), (611.70), -   , 2.79 , (2.79), 195.20 , 197.17 , 1.97 , -   , 1.97 , $(0.01), $(0.01), $(0.02), $(0.75),-0.46%, $456.68 , $(5.12),-1.00%, $(999.41), $(542.74)," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $100,000.00 "," $100,000.00 ", $-   , $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $(545.54)," $1,832.81 ", $(545.54)
43,3/5/2024,3/6/2024,1, $163.48 , $164.41 , $507.18 ,89%, $509.75 , $0.32 , 3.10 , 3.12 , 3.12 ,-1,-1, (611.70), (608.24), 3.46 , -   , 3.46 , 197.17 , 196.17 , -   , 0.99 , (0.99), $(0.02), $(0.00), $(0.02), $0.93 ,0.57%, $(568.88), $2.57 ,0.51%, $506.72 , $(62.15)," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $100,000.00 "," $100,000.00 ", $-   , $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $(64.95)," $1,767.86 ", $(610.49)
44,3/6/2024,3/7/2024,1, $164.41 , $165.70 , $509.75 ,79%, $514.81 , $0.32 , 3.11 , 3.12 , 3.12 ,-1,-1, (608.24), (603.50), 4.74 , -   , 4.74 , 196.17 , 194.25 , -   , 1.93 , (1.93), $(0.02), $(0.01), $(0.03), $1.29 ,0.78%, $(784.62), $5.06 ,0.99%, $992.64 , $208.02 ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $100,000.00 "," $100,000.00 ", $-   , $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $205.21 ," $1,973.07 ", $(405.28)
45,3/7/2024,3/8/2024,1, $165.70 , $165.51 , $514.81 ,89%, $511.72 , $0.32 , 3.09 , 3.12 , 3.12 ,-1,-1, (603.50), (604.19), -   , 0.69 , (0.69), 194.25 , 195.42 , 1.17 , -   , 1.17 , $(0.00), $(0.01), $(0.01), $(0.19),-0.11%, $114.67 , $(3.09),-0.60%, $(600.22), $(485.56)," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $100,000.00 "," $100,000.00 ", $-   , $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $(488.34)," $1,484.72 ", $(893.63)
46,3/8/2024,3/11/2024,3, $165.51 , $165.72 , $511.72 ,88%, $511.28 , $0.32 , 3.09 , 3.12 , 3.11 ,-1,-1, (604.19), (603.43), 0.77 , -   , 0.77 , 195.42 , 195.59 , 0.17 , -   , 0.17 , $(0.00), $(0.00), $(0.00), $0.21 ,0.13%, $(126.88), $(0.44),-0.09%, $(85.98), $(212.87)," $(100,000.00)", $-   ," $(100,000.00)", $(8.33), $-   ," $100,000.00 "," $100,000.00 ", $-   , $-   ," $200,000.00 "," $(100,000.00)", $(8.33), $(221.20)," $1,263.52 "," $(1,114.83)"
47,3/11/2024,3/12/2024,1, $165.72 , $166.15 , $511.28 ,82%, $516.78 , $0.32 , 3.11 , 3.11 , 3.11 ,-1,-1, (603.43), (601.87), 1.56 , -   , 1.56 , 195.59 , 193.51 , -   , 2.08 , (2.08), $(0.01), $(0.01), $(0.02), $0.43 ,0.26%, $(259.47), $5.50 ,1.07%," $1,075.73 ", $816.26 ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $100,000.00 "," $100,000.00 ", $-   , $0.00 ," $200,000.00 "," $(100,000.00)", $(2.78), $813.46 ," $2,076.98 ", $(301.37)
48,3/12/2024,3/13/2024,1, $166.15 , $166.23 , $516.78 ,84%, $515.97 , $0.32 , 3.10 , 3.11 , 3.11 ,-1,-1, (601.87), (601.58), 0.29 , -   , 0.29 , 193.51 , 193.81 , 0.30 , -   , 0.30 , $(0.00), $(0.00), $(0.00), $0.08 ,0.05%, $(48.15), $(0.81),-0.16%, $(156.74), $(204.89)," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $100,000.00 "," $100,000.00 ", $-   , $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $(207.67)," $1,869.31 ", $(509.04)
49,3/13/2024,3/14/2024,1, $166.23 , $164.74 , $515.97 ,81%, $514.95 , $0.32 , 3.13 , 3.11 , 3.11 ,-1,1, (601.58), 607.02 ," 1,208.59 ", -   ," 1,208.59 ", 193.81 , (194.19), -   , 388.00 , (388.00), $(6.04), $(1.94), $(7.98), $(1.49),-0.90%, $896.35 , $(1.02),-0.20%, $(197.69), $698.66 ," $(100,000.00)", $-   ," $(100,000.00)", $(2.78), $-   ," $100,000.00 "," $100,000.00 ", $-   , $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $687.90 ," $2,557.21 ", $-   
