,bop date,eop date,day count,bop RSP price,eop RSP price,bop SPY price,eop SPY price,eop SPY / eop RSP,bop SPY / RSP moving avg,eop SPY / RSP moving avg,current position,new position,bop RSP shares,eop RSP shares,eop RSP shares bought,eop RSP shares sold,eop RSP shares traded,bop SPY shares,eop SPY shares,eop SPY shares bought,eop SPY shares sold,eop SPY shares traded,RSP daily commission,SPY daily commission,daily total commissions,RSP cop,RSP pct cop,RSP daily position pnl,SPY cop,SPY pct cop,SPY daily position pnl,daily position pnl,short RSP investment amount,long RSP investment amount,RSP investment amount,daily RSP borrow cost,short SPY investment amount,long SPY investment amount,SPY investment amount,daily SPY borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
121,6/30/2025,7/1/2025,1,$181.74 ,$183.87 ,$617.85 ,$617.65 ,3.359166803,3.376689611,3.376026374,1,-1,550.2366017,-543.8625116,0,1094.099113,-1094.099113,-161.8515821,161.9039909,323.755573,0,323.755573,($5.47),($1.62),($7.09),$2.13 ,1.17%,"$1,172.00 ",($0.20),-0.03%,$32.37 ,"$1,204.37 ",0,"$100,000.00 ","$100,000.00 ",0,"($100,000.00)",0,"($100,000.00)",($2.78),$0.00 ,"$200,000.00 ","($100,000.00)",($2.78),"$1,194.51 ","$1,882.36 ","($3,356.64)"
122,7/1/2025,7/2/2025,1,$183.87 ,$184.29 ,$617.65 ,$620.45 ,3.36670465,3.376026374,3.375756498,-1,-1,-543.8625116,-542.6230398,1.239471783,0,1.239471783,161.9039909,161.1733419,0,0.730649004,-0.730649004,($0.01),($0.00),($0.01),$0.42 ,0.23%,($228.42),$2.80 ,0.45%,$453.33 ,$224.91 ,-100000,$0.00 ,"($100,000.00)",-2.777777778,$0.00 ,100000,"$100,000.00 ",$0.00 ,0,"$200,000.00 ","($100,000.00)",($2.78),$222.12 ,"$2,104.48 ","($3,134.52)"
123,7/2/2025,7/3/2025,1,$184.29 ,$185.18 ,$620.45 ,$625.34 ,3.376930554,3.375756498,3.376597953,-1,1,-542.6230398,540.0151204,1082.63816,0,1082.63816,161.1733419,-159.9130073,0,321.0863493,-321.0863493,($5.41),($1.61),($7.02),$0.89 ,0.48%,($482.93),$4.89 ,0.79%,$788.14 ,$305.20 ,-100000,$0.00 ,"($100,000.00)",-2.777777778,$0.00 ,100000,"$100,000.00 ",$0.00 ,0,"$200,000.00 ","($100,000.00)",($2.78),$295.41 ,"$2,399.89 ","($2,839.11)"
124,7/3/2025,7/7/2025,4,$185.18 ,$183.70 ,$625.34 ,$620.68 ,3.378769733,3.376597953,3.379951987,1,1,540.0151204,544.3658138,4.350693404,0,4.350693404,-159.9130073,-161.1136173,0,1.200609999,-1.200609999,($0.02),($0.01),($0.03),($1.48),-0.80%,($799.22),($4.66),-0.75%,$745.19 ,($54.03),0,"$100,000.00 ","$100,000.00 ",0,"($100,000.00)",0,"($100,000.00)",($11.11),0,"$200,000.00 ","($100,000.00)",($11.11),($65.17),"$2,334.72 ","($2,904.28)"
125,7/7/2025,7/8/2025,1,$183.70 ,$184.16 ,$620.68 ,$620.34 ,3.368483927,3.379951987,3.380563056,1,-1,544.3658138,-543.0060817,0,1087.371895,-1087.371895,-161.1136173,161.2019215,322.3155388,0,322.3155388,($5.44),($1.61),($7.05),$0.46 ,0.25%,$250.41 ,($0.34),-0.05%,$54.78 ,$305.19 ,0,"$100,000.00 ","$100,000.00 ",0,"($100,000.00)",0,"($100,000.00)",($2.78),0,"$200,000.00 ","($100,000.00)",($2.78),$295.36 ,"$2,630.09 ","($2,608.92)"
126,7/8/2025,7/9/2025,1,$184.16 ,$184.71 ,$620.34 ,$624.06 ,3.378593471,3.380563056,3.381659166,-1,-1,-543.0060817,-541.3892047,1.616876969,0,1.616876969,161.2019215,160.2410025,0,0.960919059,-0.960919059,($0.01),($0.00),($0.01),$0.55 ,0.30%,($298.65),$3.72 ,0.60%,$599.67 ,$301.02 ,-100000,$0.00 ,"($100,000.00)",-2.777777778,$0.00 ,100000,"$100,000.00 ",$0.00 ,0,"$200,000.00 ","($100,000.00)",($2.78),$298.23 ,"$2,928.31 ","($2,310.69)"
127,7/9/2025,7/10/2025,1,$184.71 ,$185.78 ,$624.06 ,$625.82 ,3.368608031,3.381659166,3.379119254,-1,-1,-541.3892047,-538.2710733,3.118131387,0,3.118131387,160.2410025,159.7903551,0,0.450647414,-0.450647414,($0.02),($0.00),($0.02),$1.07 ,0.58%,($579.29),$1.76 ,0.28%,$282.02 ,($297.26),-100000,$0.00 ,"($100,000.00)",-2.777777778,$0.00 ,100000,"$100,000.00 ",$0.00 ,-1.45519E-11,"$200,000.00 ","($100,000.00)",($2.78),($300.06),"$2,628.25 ","($2,610.75)"
128,7/10/2025,7/11/2025,1,$185.78 ,$184.42 ,$625.82 ,$623.62 ,3.381520442,3.379119254,3.377777318,-1,1,-538.2710733,542.2405379,1080.511611,0,1080.511611,159.7903551,-160.3540618,0,320.1444168,-320.1444168,($5.40),($1.60),($7.00),($1.36),-0.73%,$732.05 ,($2.20),-0.35%,($351.54),$380.51 ,-100000,$0.00 ,"($100,000.00)",-2.777777778,$0.00 ,100000,"$100,000.00 ",$0.00 ,-1.45519E-11,"$200,000.00 ","($100,000.00)",($2.78),$370.73 ,"$2,998.98 ","($2,240.02)"
129,7/11/2025,7/14/2025,3,$184.42 ,$184.61 ,$623.62 ,$624.81 ,3.384486214,3.377777318,3.376290067,1,1,542.2405379,541.6824657,0,0.558072164,-0.558072164,-160.3540618,-160.0486548,0.305406977,0,0.305406977,($0.00),($0.00),($0.00),$0.19 ,0.10%,$103.03 ,$1.19 ,0.19%,($190.82),($87.80),0,"$100,000.00 ","$100,000.00 ",0,"($100,000.00)",0,"($100,000.00)",($8.33),-1.45519E-11,"$200,000.00 ","($100,000.00)",($8.33),($96.13),"$2,902.85 ","($2,336.15)"
130,7/14/2025,7/15/2025,1,$184.61 ,$182.05 ,$624.81 ,$622.14 ,3.417412799,3.376290067,3.378067662,1,1,541.6824657,549.299643,7.617177217,0.00,7.62,-160.0486548,-160.7355258,0,0.686870975,-0.686870975,($0.04),($0.00),($0.04),($2.56),-1.40%,"($1,386.71)",($2.67),-0.43%,$427.33 ,($959.38),0,"$100,000.00 ","$100,000.00 ",0,"($100,000.00)",0,"($100,000.00)",($2.78),$0.00 ,"$200,000.00 ","($100,000.00)",($2.78),($962.20),"$1,940.65 ","($3,298.35)"
