date,VGT,FTEC,FTEC/VGT,FTEC/VGT avg,FTEC/VGT 10 dma,FTEC/VGT 20 dma,VGT avg,VGT 10 dma,VGT 20 dma,avg diff,10 dma diff,20 dma diff,VGT div,FTEC div,VGT*,FTEC*,FTEC*/VGT*,FTEC*/VGT* avg,FTEC*/VGT* 10 dma,FTEC*/VGT* 20 dma,VGT* avg,VGT* 10 dma,VGT* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-05-12,112.3,267.95,2.3860195903829027,2.386739650056301,2.386649852697965,2.386329058837938,268.03086270132263,268.0183030513388,267.98088480716274,-0.0003017372729638367,-0.0002548772056844966,-0.00011525667981632405,0.0,0.0,112.3,267.95,2.3860195903829027,2.386818815944301,2.386649852697965,2.386329058837938,268.039753030545,268.0183030513388,267.98088480716274,-0.00033490577338999807,-0.0002548772056844966,-0.00011525667981632405
2026-05-13,113.45,270.74,2.3864257382106655,2.386739650056301,2.3865549107622197,2.386362572477381,270.7756132988874,270.76542578858414,270.7290317251641,-0.00013153193763611767,-9.390778888611829e-05,4.051302731931866e-05,0.0,0.0,113.45,270.74,2.3864257382106655,2.386818815944301,2.38655491076222,2.386362572477381,270.78459466888097,270.76542578858414,270.7290317251641,-0.00016470043806238595,-9.390778888611829e-05,4.051302731931866e-05
2026-05-14,115.19,274.95,2.386925948433024,2.386739650056301,2.3865287616628974,2.3864069025782753,274.92854028998534,274.90726017070006,274.88510472366954,7.805254598300874e-05,0.00015545790692198796,0.0002360535952479297,0.0,0.0,115.19,274.95,2.386925948433024,2.386818815944301,2.386528761662898,2.3864069025782757,274.93765940862403,274.9072601707001,274.88510472366954,4.4884045556866974e-05,0.00015545790692176594,0.0002360535952479297
2026-05-15,113.31,270.56,2.387785720589533,2.386739650056301,2.386680724279791,2.386483395340789,270.44146974787947,270.4175739840229,270.4037661311444,0.0004381882883695041,0.0005265505489217515,0.0005776130786605744,0.0,0.0,113.31,270.56,2.387785720589533,2.386818815944301,2.386680724279791,2.3864833953407896,270.45044003464875,270.41757398402297,270.40376613114444,0.0004050197879431611,0.0005265505489215295,0.0005776130786603526
2026-05-18,112.13,267.65,2.3869615624721305,2.386739650056301,2.3867680191644505,2.386537970216959,267.62511696081305,267.61850961349296,267.5963831195627,9.297289717527544e-05,0.00011766201813764689,0.0002003446723138945,0.0,0.0,112.13,267.65,2.3869615624721305,2.386818815944301,2.3867680191644505,2.386537970216959,267.63399383183446,267.61850961349296,267.59638311956274,5.980439674903862e-05,0.00011766201813764689,0.0002003446723136725
2026-05-19,111.52,266.18,2.386836441893831,2.386739650056301,2.386831683951156,2.386606381105948,266.1692057742787,266.1723694972195,266.14671443859527,4.0553176770809954e-05,2.8667113055966602e-05,0.00012505688910709786,0.0,0.0,111.52,266.18,2.386836441893831,2.386818815944301,2.3868316839511556,2.386606381105948,266.17803435410843,266.1723694972195,266.14671443859527,7.384676344712087e-06,2.8667113055966602e-05,0.00012505688910709786
2026-05-20,113.83,271.76,2.3874198365984363,2.386739650056301,2.386891666880806,2.386662610245392,271.68257436590875,271.6930505841601,271.6674043612901,0.0002849450457777138,0.00024638528059273596,0.00034078384293065414,0.0,0.0,113.83,271.76,2.3874198365984363,2.386818815944301,2.386891666880806,2.3866626102453923,271.69158581893976,271.69305058416006,271.6674043612901,0.00025177654535152923,0.00024638528059295795,0.00034078384293065414
2026-05-21,114.49,273.47,2.388592890208752,2.386739650056301,2.387084289235015,2.3867607592354987,273.2578225349459,273.27522694118346,273.2490022469949,0.0007761722266937775,0.0007124820024334262,0.0008084510109716217,0.0,0.0,114.49,273.47,2.388592890208752,2.386818815944301,2.387084289235015,2.3867607592354987,273.266886237463,273.27522694118346,273.24900224699496,0.0007430037262676035,0.0007124820024334262,0.0008084510109713999
2026-05-22,115.75,276.35,2.3874730021598274,2.386739650056301,2.3871531831898802,2.3868083724771307,276.26511449401687,276.305006478953,276.267557881509,0.0003072138435029613,0.0001628267929140794,0.0002983695249158036,0.0,0.0,115.75,276.35,2.3874730021598274,2.386818815944301,2.3871531831898802,2.3868083724771307,276.27427794555285,276.305006478953,276.267557881509,0.00027404534307665394,0.0001628267929140794,0.0002983695249158036
2026-05-26,118.05,281.97,2.3885641677255403,2.386739650056301,2.387300489867464,2.386964149881812,281.75461568914636,281.80343327556534,281.7627283709253,0.0007641472993724153,0.0005908995332167084,0.0007353542839843209,0.0,0.0,118.05,281.97,2.3885641677255403,2.386818815944301,2.3873004898674646,2.3869641498818126,281.76396122222474,281.80343327556534,281.7627283709253,0.0007309787989461386,0.0005908995332167084,0.0007353542839843209
2026-05-27,117.38,280.4,2.3888226273641164,2.386739650056301,2.3875807935655855,2.3871153231317757,280.15550012360865,280.2213315006429,280.1818519131271,0.0008723485608209606,0.0006373946026200426,0.0007782916879671099,0.0,0.0,117.38,280.4,2.3888226273641164,2.386818815944301,2.3875807935655855,2.387115323131775,280.164792615542,280.221331500643,280.18185191312716,0.0008391800603949325,0.0006373946026198207,0.000778291687966888
2026-05-28,118.95,284.02,2.3877259352669187,2.386739650056301,2.387710813271211,2.3871328620167156,283.902681374197,284.0027353946264,283.94736768652473,0.0004131499984746697,6.078843082539489e-05,0.0002557622779176431,0.0,0.0,118.95,284.02,2.3877259352669187,2.386818815944301,2.387710813271211,2.3871328620167156,283.9120981565746,284.0027353946264,283.9473676865247,0.0003799814980485121,6.078843082539489e-05,0.0002557622779178651
2026-05-29,121.06,289.25,2.389311085412192,2.386739650056301,2.3879493269691277,2.3872390443160127,288.9387020358158,289.0562710546128,288.9863042757436,0.001076804140819204,0.0006699873832621649,0.0009120691336277996,0.0,0.0,121.06,289.25,2.389311085412192,2.386818815944301,2.3879493269691277,2.3872390443160123,288.94828585821705,289.0562710546128,288.9863042757436,0.0010436356403930615,0.0006699873832621649,0.0009120691336277996
2026-06-01,124.19,296.68,2.3889202029148886,2.386739650056301,2.3880627752016634,2.387371749740727,296.40919714049204,296.55942691629593,296.47121691360564,0.0009131944389905929,0.00040649046537934624,0.0007039793194836876,0.0,0.0,124.19,296.68,2.3889202029148886,2.386818815944301,2.3880627752016634,2.387371749740727,296.4190287521227,296.55942691629593,296.4712169136056,0.0008800259385644543,0.00040649046537934624,0.0007039793194839095
2026-06-02,125.77,300.51,2.389361532956985,2.386739650056301,2.3883027722501486,2.3875353957072996,300.180245787581,300.3466552371132,300.25974496489124,0.001097917763292876,0.0005437062749890798,0.0008331146888835242,0.0,0.0,125.77,300.51,2.389361532956985,2.386818815944301,2.3883027722501486,2.3875353957073,300.1902024813147,300.3466552371132,300.25974496489124,0.0010647492628665476,0.0005437062749890798,0.0008331146888835242
2026-06-03,123.91,296.02,2.388992010330078,2.386739650056301,2.3885183290937735,2.387675006522465,295.7409100384763,295.9345965095159,295.8395108820915,0.0009432525112155512,0.00028854743786165145,0.0006099052906471311,0.0,0.0,123.91,296.02,2.388992010330078,2.386818815944301,2.388518329093773,2.387675006522465,295.7507194836583,295.9345965095159,295.83951088209153,0.0009100840107894587,0.00028854743786165145,0.0006099052906471311
2026-06-04,122.82,293.42,2.389024588829181,2.386739650056301,2.388678804316848,2.387785235598827,293.1393638199149,293.3578211792972,293.25424430108916,0.0009568893408194364,0.00021193309866598384,0.0005650689626536149,0.0,0.0,122.82,293.42,2.389024588829181,2.386818815944301,2.388678804316848,2.387785235598827,293.14908697427904,293.35782117929716,293.25424430108916,0.0009237208403931093,0.00021193309866620583,0.0005650689626536149
2026-06-05,115.28,275.32,2.388272033310201,2.386739650056301,2.388646718626993,2.3878655039310037,275.1433468584904,275.36689256164624,275.2638819598328,0.0006418343694712503,-0.00017030571234935506,0.00020384919428364216,0.0,0.0,115.28,275.32,2.388272033310201,2.386818815944301,2.3886467186269926,2.387865503931004,275.152473102059,275.36689256164624,275.2638819598328,0.0006086658690451755,-0.00017030571234935506,0.00020384919428364216
2026-06-08,117.25,280.09,2.388827292110874,2.386739650056301,2.3887821476220976,2.3879676654059887,279.8452239691013,280.06882775901494,279.9772303359102,0.0008743012977673814,7.559370644868695e-05,0.00040270045989336176,0.0,0.0,117.25,280.09,2.388827292110874,2.386818815944301,2.3887821476220976,2.387967665405989,279.8545061694693,280.0688277590149,279.97723033591024,0.0008411327973411897,7.559370644890898e-05,0.00040270045989336176
2026-06-09,114.99,274.63,2.3882946343160274,2.386739650056301,2.3887551942811465,2.3880278420743055,274.4511923599741,274.686059155065,274.5924018450346,0.0006512976544619431,-0.0002041052844725841,0.00013691413495816392,0.0,0.0,114.99,274.63,2.3882946343160274,2.386818815944301,2.3887551942811465,2.3880278420743055,274.46029564543517,274.686059155065,274.59240184503466,0.00061812915403566,-0.0002041052844725841,0.0001369141349579419
2026-06-10,112.34,268.43,2.389442763040769,2.386739650056301,2.3888172078488115,2.3881990007071985,268.1263322873249,268.352758525544,268.27104777862746,0.0011319137500545005,0.000287794172828125,0.0005923305969975824,0.0,0.0,112.34,268.43,2.389442763040769,2.386818815944301,2.388817207848812,2.388199000707199,268.13522578318276,268.352758525544,268.27104777862746,0.0010987452496284244,0.000287794172828125,0.0005923305969975824
2026-06-11,116.07,277.23,2.3884724735073664,2.386739650056301,2.3888918616728563,2.3883013374720337,277.02887118203483,277.2700133150115,277.1982580120845,0.0007257577181021895,-0.00014432214290392524,0.00011450349974582157,0.0,0.0,116.07,277.23,2.3884724735073664,2.386818815944301,2.388891861672856,2.3883013374720337,277.038059966655,277.27001331501157,277.1982580120846,0.0006925892176757642,-0.00014432214290414732,0.00011450349974559954
2026-06-12,116.74,278.92,2.3892410484838105,2.386739650056301,2.388884857980018,2.388417092474573,278.6279867475726,278.8792359316892,278.8102981364852,0.001047491107739482,0.00014616035934603464,0.0003933867867537688,0.0,0.0,116.74,278.92,2.3892410484838105,2.386818815944301,2.3888848579800177,2.388417092474573,278.63722857333767,278.87923593168915,278.8102981364852,0.0010143226073134506,0.00014616035934625663,0.0003933867867537688
2026-06-15,120.73,288.36,2.3884701399817776,2.386739650056301,2.388839851686707,2.388451313444185,288.1510779512972,288.4100689039276,288.3535955744552,0.0007247807226564041,-0.00017361824669056354,2.2210073056122437e-05,0.0,0.0,120.73,288.36,2.3884701399817776,2.386818815944301,2.388839851686707,2.388451313444185,288.16063564895546,288.41006890392754,288.3535955744552,0.0006916122222300358,-0.00017361824669034147,2.2210073056122437e-05
2026-06-16,117.81,281.39,2.3885069179186824,2.386739650056301,2.3887543901828767,2.3885285812165127,281.18179817313285,281.42922292721096,281.38344923685946,0.0007401787186942339,-0.00013938019767861497,2.328028498750932e-05,0.0,0.0,117.81,281.39,2.3885069179186824,2.386818815944301,2.3887543901828767,2.3885285812165127,281.1911247063981,281.42922292721096,281.38344923685946,0.0007070102182680067,-0.00013938019767861497,2.328028498750932e-05
2026-06-17,116.93,279.21,2.387838877961173,2.386739650056301,2.388639076945986,2.38857870301988,279.0814672810833,279.3170508440838,279.29064700164685,0.00046045024407606085,-0.0003833327149791551,-0.00028879824093439927,0.0,0.0,116.93,279.21,2.387838877961173,2.386818815944301,2.3886390769459864,2.38857870301988,279.09072414836714,279.3170508440838,279.29064700164685,0.0004272817436496929,-0.0003833327149791551,-0.00028879824093439927
2026-06-18,120.04,286.54,2.387037654115295,2.386739650056301,2.388440383474598,2.3885595938957227,286.5042275927584,286.7322347965962,286.7249875105064,0.00012485042363435614,-0.0006706579950437919,-0.0006453822262218365,0.0,0.289,120.04,286.829,2.389445184938354,2.386818815944301,2.3886811365569036,2.3886799704368755,286.5137306659539,286.73223479659623,286.7249875105064,0.0010997588317048438,0.00033741891345287993,0.0003626946822748678
2026-06-22,120.51,287.68,2.3871877852460375,2.386739650056301,2.3883319586681813,2.388489338647587,287.62599522828486,287.8309506125238,287.84531666037356,0.00018774277452936154,-0.0005245794743773864,-0.0005744896362842482,0.0,0.289,120.51,287.969,2.38958592647913,2.386818815944301,2.3888125258737967,2.388729622250395,287.6355355094477,287.85996376647245,287.8598232373479,0.001158658444423726,0.00037871049110676066,0.00037919867694895617
2026-06-23,116.07,277.03,2.3867493753769278,2.386739650056301,2.3881241669947864,2.3884531573084424,277.02887118203483,277.21369044261576,277.2319575368254,4.074722105619373e-06,-0.0006628508452474255,-0.0007287440280430052,0.0,0.289,116.07,277.31899999999996,2.389239252175411,2.386818815944301,2.38885372188025,2.3888179347511738,277.038059966655,277.26946987817155,277.2598472546033,0.0010135707748117567,0.0001786193714809425,0.00021332492544151002
2026-06-24,115.13,275.02,2.388777903239816,2.386739650056301,2.388172493887166,2.388463844084156,274.7853359109819,274.9447353461097,274.982612000921,0.0008536261398001937,0.000273707201654587,0.00013595571483040737,0.0,0.0,115.13,275.02,2.388777903239816,2.386818815944301,2.388902048772629,2.388828621526888,274.79445027966733,275.02872900007316,275.0246088279026,0.0008204576393738705,-3.1739006432332154e-05,-1.6758015000186997e-05
2026-06-25,115.47,275.85,2.3889321901792675,2.386739650056301,2.3881214366010157,2.3884693222249136,275.5968273920011,275.76227786915103,275.7959200763975,0.0009182122852499157,0.00031805721195103095,0.00019606752015219678,0.0,0.0,115.47,275.85,2.3889321901792675,2.386818815944301,2.388850991486479,2.388834099667645,275.6059686770884,275.84651957177545,275.83804092770976,0.0008850437848238447,1.261718390876565e-05,4.33544735608604e-05
2026-06-26,113.86,272.48,2.3931143509573163,2.386739650056301,2.3885856243460104,2.388738743009433,271.7541765554104,271.91150677139166,271.95111702852864,0.0026673219220169587,0.0020885463060523295,0.001942883576261235,0.0,0.0,113.86,272.48,2.3931143509573163,2.386818815944301,2.3893151792314735,2.389103520452165,271.7631903834181,271.9945738906505,271.992650588158,0.0026341534215907707,0.0017830997487955195,0.0017901708799027561
2026-06-29,116.5,278.34,2.389184549356223,2.386739650056301,2.3885799744332514,2.3887324162066346,278.0551692315591,278.27022523631024,278.28806356059897,0.0010238435165263386,0.0002507131953087194,0.0001866109273021078,0.0,0.0,116.5,278.34,2.389184549356223,2.386818815944301,2.389309529318715,2.389097193649367,278.06439205751104,278.3552183804667,278.3305601326772,0.0009906750161002675,-5.467401180402162e-05,3.391545377006314e-05
2026-06-30,119.52,285.58,2.389390896921017,2.386739650056301,2.388672050127176,2.3887559509069414,285.26312297472913,285.4830785442622,285.501298385017,0.0011102071482163467,0.000339442209836047,0.00027562315804699727,0.0,0.0,119.52,285.58,2.389390896921017,2.386818815944301,2.3894016050126394,2.389120728349673,285.27258488166285,285.5702749441728,285.5448965849723,0.0010770386477902017,3.405428047477821e-05,0.00012292728011598753
2026-07-01,117.22,279.98,2.3885002559290225,2.386739650056301,2.3886713839282097,2.388712887055543,279.77362177959964,280.00013771590756,280.00997256531167,0.0007373895289704228,-7.192296497638473e-05,-0.0001070467930094698,0.0,0.0,117.22,279.98,2.3885002559290225,2.386818815944301,2.389400938813673,2.3890776644982745,279.78290160499097,280.0856561395816,280.05273177714867,0.0007042210285442836,-0.0003772991244035522,-0.00025974116665198867
2026-07-02,114.64,273.89,2.3891311933007673,2.386739650056301,2.388800615462169,2.3887198462040775,273.6158334824544,273.83728745352994,273.8420453720475,0.0010015109381320464,0.00019247734352561565,0.00017510251036147168,0.0,0.0,114.64,273.89,2.3891311933007673,2.386818815944301,2.3895301703476326,2.3890846236468093,273.62490905985464,273.92092362559947,273.8838634580822,0.0009683424377060633,-0.00011289890105754496,2.240538414627606e-05
2026-07-06,116.37,278.01,2.389017788089714,2.386739650056301,2.3889986288596106,2.3887195061671043,277.74489307705176,277.98472762133264,277.9753285027685,0.0009540426772986203,9.090869905496432e-05,0.000124720907185857,0.0,0.0,116.37,278.01,2.389017788089714,2.386818815944301,2.3894874306627685,2.3890842836098356,277.7541056114383,278.069625923354,278.0177776537792,0.0009208741768724435,-0.00021445102752513852,-2.797577420511328e-05
2026-07-07,114.06,272.34,2.387690689110994,2.386739650056301,2.3890489192461066,2.388690438957144,272.23152448542174,272.48918360772717,272.4573468734199,0.0003983884986107348,-0.000547634436421811,-0.0004307909203602225,0.0,0.0,114.06,272.34,2.387690689110994,2.386818815944301,2.389297906925955,2.3890552163998757,272.24055414660694,272.5449363413954,272.49895338853787,0.0003652199981847018,-0.0007522188168194289,-0.0005834876234859708
2026-07-08,115.47,275.81,2.3885857798562395,2.386739650056301,2.3892325596940376,2.388678363344412,275.5968273920011,275.8634787053479,275.8220849863814,0.0007731954267859198,-0.00019387810935173242,-4.381538605985311e-05,0.0,0.0,115.47,275.81,2.3885857798562395,2.386818815944301,2.3892325596940376,2.3890431407871437,275.6059686770884,275.89222931273997,275.86420583769365,0.0007400269263598361,-0.00029809309797894975,-0.0001965139471611302
2026-07-09,117.71,281.24,2.389261744966443,2.386739650056301,2.3892809438667006,2.3887267188769328,280.9431242081272,281.23656460158514,281.1713301492707,0.0010561534371458948,1.2215258843060796e-05,0.00024419796469008685,0.0,0.0,117.71,281.24,2.389261744966443,2.386818815944301,2.3892809438667006,2.3890914963196646,280.95244282480365,281.23656460158514,281.2142681020547,0.0010229849367195585,1.2215258843060796e-05,9.149863170240475e-05
