date,XLU,IDU,IDU/XLU,IDU/XLU avg,IDU/XLU 10 dma,IDU/XLU 20 dma,XLU avg,XLU 10 dma,XLU 20 dma,avg diff,10 dma diff,20 dma diff,XLU div,IDU div,XLU*,IDU*,IDU*/XLU*,IDU*/XLU* avg,IDU*/XLU* 10 dma,IDU*/XLU* 20 dma,XLU* avg,XLU* 10 dma,XLU* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-05-07,45.12,113.92,2.524822695035461,2.53201256111268,2.525378897242069,2.5262997500909026,114.24440675740411,113.9794494994528,113.99069308041118,-0.0028436247407383334,-0.0005217169320226245,-0.0006203577526165433,0.0,0.0,45.12,113.92,2.524822695035461,2.5327235982420713,2.525378897242069,2.5262997500909026,114.27648875268225,113.9794494994528,113.99069308041118,-0.0031244042766079834,-0.0005217169320226245,-0.0006203577526165433
2026-05-08,44.72,112.84,2.5232558139534884,2.53201256111268,2.52469451761533,2.526248741810724,113.23160173295904,112.93494428466532,112.97612482406517,-0.003464407927648619,-0.0008410524964393634,-0.0012056255119930524,0.0,0.0,44.72,112.84,2.5232558139534884,2.5327235982420713,2.52469451761533,2.526248741810724,113.26339931338542,112.93494428466532,112.97612482406517,-0.003745187463518209,-0.0008410524964393634,-0.0012056255119930524
2026-05-11,45.14,113.77,2.5203810367744794,2.53201256111268,2.5241454812191693,2.525882796882903,114.29504700862637,113.964710525156,114.03486820533607,-0.00460437005236504,-0.0017099771233977125,-0.002325396527109099,0.0,0.0,45.14,113.77,2.5203810367744794,2.5327235982420713,2.5241454812191693,2.525882796882903,114.3271432246471,113.964710525156,114.03486820533607,-0.004885149588234695,-0.0017099771233977125,-0.002325396527109099
2026-05-12,45.19,114.1,2.5248948882496127,2.53201256111268,2.5239430781522385,2.5257987270065954,114.421647636682,114.06613429629425,114.14464359113838,-0.0028150317697588855,0.00029685127513667895,-0.0003911907066496061,0.0,0.0,45.19,114.1,2.5248948882496127,2.5327235982420713,2.5239430781522385,2.5257987270065954,114.4537794045592,114.06613429629425,114.14464359113838,-0.0030958113056285897,0.00029685127513667895,-0.0003911907066496061
2026-05-13,44.67,112.75,2.5240653682561,2.53201256111268,2.523438056308847,2.5256330254063624,113.10500110490341,112.7445373010605,112.82742913538462,-0.003143622195840161,4.8450831722586804e-05,-0.0006864972149233446,0.0,0.0,44.67,112.75,2.5240653682561,2.5327235982420713,2.523438056308847,2.5256330254063624,113.13676313347332,112.7445373010605,112.82742913538462,-0.0034244017317097554,4.8450831722586804e-05,-0.0006864972149233446
2026-05-14,44.9,113.42,2.5260579064587976,2.53201256111268,2.5235358426857832,2.5257223284962924,113.68736399395932,113.30236872826723,113.40092284074566,-0.0023545173769271423,0.0010376680779016437,0.00016821339989622018,0.0,0.0,44.9,113.42,2.5260579064587976,2.5327235982420713,2.5235358426857832,2.5257223284962924,113.71928956106899,113.30236872826723,113.40092284074566,-0.00263529691279674,0.0010376680779016437,0.00016821339989622018
2026-05-15,43.87,111.08,2.532026441759745,2.53201256111268,2.524515071179695,2.526056319561749,111.07939105601325,110.7075174186253,110.80343855113234,5.48204587567683e-06,0.003358917002324515,0.0024928547519704114,0.0,0.0,43.87,111.08,2.532026441759745,2.5327235982420713,2.524515071179695,2.526056319561749,111.11058425487965,110.7075174186253,110.80343855113234,-0.0002752974899938368,0.003358917002324515,0.0024928547519704114
2026-05-18,43.94,111.32,2.533454710969504,2.53201256111268,2.5253265763504005,2.5263683993725197,111.25663193529114,110.9271922276358,110.99491468154325,0.0005694044866254095,0.003534876436003425,0.002924550074625036,0.0,0.0,43.94,111.32,2.533454710969504,2.5327235982420713,2.5253265763504005,2.5263683993725197,111.2878749067566,110.9271922276358,110.99491468154325,0.00028862495075570184,0.003534876436003425,0.002924550074625036
2026-05-19,44.34,112.26,2.5317997293640055,2.53201256111268,2.526274502704959,2.5266291311132454,112.26943695973623,111.97298039537677,112.01917482817753,-8.405988871269026e-05,0.00256001379341978,0.0021475490496470646,0.0,0.0,44.34,112.26,2.5317997293640055,2.5327235982420713,2.526274502704959,2.5266291311132454,112.30096434605345,111.97298039537677,112.01917482817753,-0.00036483942458234166,0.00256001379341978,0.0021475490496470646
2026-05-20,44.51,112.55,2.5286452482588184,2.53201256111268,2.526940383908001,2.5265403326837523,112.69987909512537,112.44447811539771,112.46026262585055,-0.0013307808896222126,0.0009379953963578936,0.0007976292090848934,0.0,0.0,44.51,112.55,2.5286452482588184,2.5327235982420713,2.526940383908001,2.5265403326837523,112.73152735775459,112.44447811539771,112.46026262585055,-0.0016115604254918166,0.0009379953963578936,0.0007976292090848934
