,bop date,eop date,day count,bop XLC price,eop XLC price,bop VOX price,eop VOX price,eop VOX / eop XLC,bop VOX / XLC moving avg,eop VOX / XLC moving avg,eop XLC unit price,eop VOX / eop VOX,bop VOX / VOX moving avg,eop VOX / VOX moving avg,eop VOX unit price,XLC unit price pct diff,VOX unit price pct diff,unit price pct diff,month end liquidation,go short,exit short,current_position,new_position,XLC shares per unit,bop XLC shares,eop XLC shares,eop XLC shares bought,eop XLC shares sold,eop XLC shares traded,VOX shares per unit,bop VOX shares,eop VOX shares,eop VOX shares bought,eop VOX shares sold,eop VOX shares traded,XLC daily commission,VOX daily commission,daily total commissions,XLC cop,XLC pct cop,XLC daily position pnl,VOX cop,VOX pct cop,VOX daily position pnl,daily position pnl,short XLC investment amount,long XLC investment amount,XLC investment amount,daily XLC borrow cost,short VOX investment amount,long VOX investment amount,VOX investment amount,daily VOX borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
128,2024-07-08,2024-07-09,1,86.97,87.24,140.78,141.18,1.6182943603851445,1.6117961812019725,1.6122962072781017,140.61309884806008,1.0,1.0,1.0,141.18,-0.0040235330037921594,0.0,-0.0040235330037921594,False,False,True,0,0,1141.0,0.0,0.0,0.0,-0.0,0.0,708.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.269999999999996,0.0030997097317543797,0.0,0.4000000000000057,0.002837283787340687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0121794444406,-526.6996213888849
129,2024-07-09,2024-07-10,1,87.24,87.79,141.18,141.66,1.6136234195238637,1.6122962072781017,1.6124845287093241,141.54348403694456,1.0,1.0,1.0,141.66,-0.0008228427699311279,0.0,-0.0008228427699311279,False,False,True,0,0,1138.0,0.0,0.0,0.0,-0.0,0.0,706.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.5500000000000114,0.006284657604689251,0.0,0.47999999999998977,0.0033941483581503757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0121794444406,-526.6996213888849
130,2024-07-10,2024-07-11,1,87.79,86.59,141.66,139.57,1.6118489432959924,1.6124845287093241,1.612677070247133,139.62503534094037,1.0,1.0,1.0,139.57,0.0003942429820502493,0.0,0.0003942429820502493,False,False,False,0,0,1155.0,0.0,0.0,0.0,-0.0,0.0,716.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-1.2000000000000028,-0.013763263478407624,-0.0,-2.0900000000000034,-0.014863552804923623,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0121794444406,-526.6996213888849
131,2024-07-11,2024-07-12,1,86.59,86.31,139.57,139.08,1.6114007646854362,1.612677070247133,1.6125815451760495,139.19015793303004,1.0,1.0,1.0,139.08,0.0007917337568827689,0.0,0.0007917337568827689,False,False,False,0,0,1160.0,0.0,0.0,0.0,-0.0,0.0,719.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.28000000000000114,-0.0032388692281435805,-0.0,-0.4899999999999807,-0.003516960380892128,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0121794444406,-526.6996213888849
132,2024-07-12,2024-07-15,3,86.31,86.62,139.08,139.58,1.6114061417686447,1.6125815451760495,1.612642670294532,139.68181344314942,1.0,1.0,1.0,139.58,0.0007291612584268934,0.0,0.0007291612584268934,False,False,False,0,0,1155.0,0.0,0.0,0.0,-0.0,0.0,716.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.3100000000000023,0.003585269554914409,0.0,0.5,0.0035886064493449005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0121794444406,-526.6996213888849
133,2024-07-15,2024-07-16,1,86.62,86.85,139.58,140.11,1.6132412204951068,1.612642670294532,1.612828088029141,140.0580159150801,1.0,1.0,1.0,140.11,-0.0003710922201214783,0.0,-0.0003710922201214783,False,False,True,0,0,1151.0,0.0,0.0,0.0,-0.0,0.0,714.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.22999999999998977,0.002651756900633228,0.0,0.5300000000000011,0.0037899147941345404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0121794444406,-526.6996213888849
134,2024-07-16,2024-07-17,1,86.85,85.54,140.11,137.17,1.6035772737900396,1.612828088029141,1.6125917145247475,137.96131465001272,1.0,1.0,1.0,137.17,0.005752284744379777,0.0,0.005752284744379777,False,True,False,0,-1,1176.0,0.0,-1176.0,0.0,1176.0,-1176.0,729.0,0.0,729.0,729.0,-0.0,729.0,-5.88,-3.645,-9.525,-1.309999999999988,-0.01519838988835118,-0.0,-2.940000000000026,-0.02120679589282469,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.525,672.4871794444406,-536.2246213888849
135,2024-07-17,2024-07-18,1,85.54,85.49,137.17,137.29,1.6059188209147268,1.6125917145247475,1.6124461465855977,137.86046567472064,1.0,1.0,1.0,137.29,0.0041465784236208,0.0,0.0041465784236208,False,True,False,-1,-1,1174.0,-1176.0,-1174.0,2.0,-0.0,2.0,728.0,729.0,728.0,0.0,1.0,-1.0,-0.01,-0.005,-0.015,-0.05000000000001137,-0.0005846927606204302,58.80000000001337,0.12000000000000455,0.0008744444191979434,87.48000000000332,146.28000000001668,-100595.04000000001,0.0,-100595.04000000001,-2.794306666666667,0.0,99996.93,99996.93,0.0,-598.1100000000151,200591.97,-100595.04000000001,-2.794306666666667,143.47069333335003,815.9578727777906,-392.75392805553486
136,2024-07-18,2024-07-19,1,85.49,85.11,137.29,136.63,1.605334273293385,1.6124461465855977,1.6121997662817869,137.23529153590022,1.0,1.0,1.0,136.63,0.004420366802259867,0.0,0.004420366802259867,False,True,False,-1,-1,1180.0,-1174.0,-1180.0,0.0,6.0,-6.0,732.0,728.0,732.0,4.0,-0.0,4.0,-0.03,-0.02,-0.05,-0.37999999999999545,-0.004454872549272636,446.11999999999466,-0.6599999999999966,-0.00481893455911699,-480.4799999999975,-34.360000000002856,-100365.26,0.0,-100365.26,-2.787923888888889,0.0,99947.12,99947.12,0.0,-418.1399999999994,200312.38,-100365.26,-2.787923888888889,-37.197923888891744,778.7599488888989,-429.9518519444266
137,2024-07-19,2024-07-22,3,85.11,85.47,136.63,137.68,1.610857610857611,1.6121997662817869,1.6125154276111051,137.7947140241043,1.0,1.0,1.0,137.68,0.0008328461734971659,0.0,0.0008328461734971659,False,False,False,-1,-1,1170.0,-1180.0,-1170.0,10.0,-0.0,10.0,726.0,732.0,726.0,0.0,6.0,-6.0,-0.05,-0.03,-0.08,0.35999999999999943,0.004220899689056902,-424.79999999999933,1.0500000000000114,0.007655609552887599,768.6000000000083,343.800000000009,-100429.8,0.0,-100429.8,-8.369150000000001,0.0,100013.16,100013.16,0.0,-416.6399999999994,200442.96000000002,-100429.8,-8.369150000000001,335.350850000009,1114.110798888908,-94.60100194441748
