date,FENY,VDE,VDE/FENY,VDE/FENY avg,VDE/FENY 10 dma,VDE/FENY 20 dma,FENY avg,FENY 10 dma,FENY 20 dma,avg diff,10 dma diff,20 dma diff,FENY div,VDE div,FENY*,VDE*,VDE*/FENY*,VDE*/FENY* avg,VDE*/FENY* 10 dma,VDE*/FENY* 20 dma,FENY* avg,FENY* 10 dma,FENY* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-05-01,32.92,167.52,5.088699878493317,5.085845916633113,5.086019465089103,5.085755281557171,167.4260475755621,167.42079826222235,167.41954449840205,0.0005610003615927087,0.0005923538798083046,0.000599842605987163,0.0,0.0,32.92,167.52,5.088699878493317,5.084784432355385,5.086019465089102,5.085755281557171,167.39110351313929,167.42079826222232,167.41954449840205,0.0007697355619017105,0.0005923538798083046,0.000599842605987163
2026-05-04,33.25,169.25,5.090225563909774,5.085845916633113,5.086592232724799,5.086088621670305,169.10437672805102,169.11014721421267,169.10136311177595,0.0008607737387562774,0.0008266505077669812,0.0008785949399964743,0.0,0.0,33.25,169.25,5.090225563909774,5.084784432355385,5.086592232724798,5.086088621670305,169.06908237581655,169.11014721421265,169.10136311177595,0.0010695089390652616,0.000826650507767203,0.0008785949399964743
2026-05-05,33.25,169.23,5.089624060150376,5.085845916633113,5.087258674614275,5.086336073932444,169.10437672805102,169.12919173809956,169.11244667053762,0.0007425983663662977,0.0005958653841516863,0.0006948778395926752,0.0,0.0,33.25,169.23,5.089624060150376,5.084784432355385,5.087258674614275,5.086336073932444,169.06908237581655,169.12919173809954,169.11244667053762,0.0009513335666754021,0.0005958653841519082,0.0006948778395926752
2026-05-06,31.94,162.43,5.085472761427677,5.085845916633113,5.087425179093539,5.086319588547037,162.44191857726165,162.48704206717994,162.45757420140228,-7.33740073268488e-05,-0.00035111773394861507,-0.00016974611316709725,0.0,0.0,31.94,162.43,5.085472761427677,5.084784432355385,5.087425179093539,5.086319588547038,162.40801476943102,162.48704206717994,162.45757420140228,0.00013536119298211607,-0.00035111773394861507,-0.00016974611316709725
2026-05-07,31.32,159.31,5.086526181353768,5.085845916633113,5.087477671679638,5.086300789768524,159.2886941089491,159.33815660920965,159.3035295132932,0.0001337475104361762,-0.00017672538628525075,4.061652195117e-05,0.0,0.0,31.32,159.31,5.086526181353768,5.084784432355385,5.087477671679638,5.086300789768524,159.25544842137066,159.33815660920965,159.30352951329323,0.00034248271074514006,-0.00017672538628525075,4.061652195094796e-05
2026-05-08,31.15,158.38,5.084430176565008,5.085845916633113,5.087367230216642,5.086295397276849,158.42410030312146,158.47492947282072,158.4382696012895,-0.00027840740296055847,-0.0005991983512387999,-0.00036784243547490565,0.0,0.0,31.15,158.38,5.084430176565008,5.084784432355385,5.087367230216641,5.08629539727685,158.39103506787023,158.47492947282072,158.4382696012895,-6.967220265162342e-05,-0.0005991983512387999,-0.00036784243547490565
2026-05-11,31.95,162.46,5.0848200312989045,5.085845916633113,5.087241002118132,5.086211735726784,162.49277703642798,162.5413830054217,162.50713794299534,-0.0002017341525009135,-0.0005008163741958374,-0.00029010898532277733,0.0,0.0,31.95,162.46,5.0848200312989045,5.084784432355385,5.087241002118131,5.086211735726784,162.45886261375455,162.54138300542166,162.50713794299537,7.001047808045498e-06,-0.0005008163741957263,-0.0002901089853228884
2026-05-12,32.18,163.67,5.086078309509012,5.085845916633113,5.0870926449502205,5.086204753766337,163.66252159725357,163.7074154481615,163.6742936556879,4.56930017905192e-05,-0.0002285768446989754,-2.623327042131115e-05,0.0,0.0,32.18,163.67,5.086078309509012,5.084784432355385,5.08709264495022,5.086204753766338,163.6283630331963,163.70741544816147,163.6742936556879,0.000254428202099222,-0.0002285768446987533,-2.623327042131115e-05
2026-05-13,32.16,163.61,5.087375621890549,5.085845916633113,5.087116137547747,5.086239666482053,163.5608046789209,163.60089946159908,163.5723448811254,0.0003007317324549705,5.562490991752784e-05,0.00023017818430609926,0.0,0.0,32.16,163.61,5.087375621890549,5.084784432355385,5.087116137547747,5.086239666482053,163.52666734454917,163.60089946159906,163.57234488112542,0.0005094669327638616,5.562490991752784e-05,0.00023017818430587727
2026-05-14,32.42,164.8,5.0832819247378165,5.085845916633113,5.08665345093362,5.086169955451961,164.88312461724556,164.924305179298,164.89588998734814,-0.0005042697839237346,-0.0007539946751539738,-0.0005816875063598692,0.0,0.0,32.42,164.8,5.0832819247378165,5.084784432355385,5.08665345093362,5.086169955451961,164.8487112969616,164.924305179298,164.89588998734814,-0.0002955345836146476,-0.0007539946751539738,-0.0005816875063598692
2026-05-15,33.13,168.38,5.082402656202837,5.085845916633113,5.086023728704572,5.0860215968968365,168.49407521805506,168.52082882943085,168.50481062412348,-0.0006772573540516158,-0.0008360254744562371,-0.0007409691734258116,0.0,0.0,33.13,168.38,5.082402656202837,5.084784432355385,5.086023728704573,5.0860215968968365,168.45890824393393,168.52082882943085,168.50481062412348,-0.0004685221537426138,-0.0008360254744562371,-0.0007409691734258116
2026-05-18,33.72,171.5,5.086002372479241,5.085845916633113,5.085601409561519,5.086096821143158,171.49472430886857,171.50072013191817,171.5006482473613,3.07625205749704e-05,-4.199011115144751e-06,-3.779860852250387e-06,0.0,0.0,33.72,171.5,5.086002372479241,5.084784432355385,5.0856014095615185,5.086096821143158,171.4589310590236,171.5007201319182,171.5006482473613,0.000239497720883965,-4.199011115366796e-06,-3.779860852250387e-06
2026-05-19,34.07,173.25,5.085118872908717,5.085845916633113,5.085150890837353,5.086204782725814,173.27477037969018,173.26644002376096,173.2833186963474,-0.0001429645546275176,-9.488741008754721e-05,-0.0001922972173378958,0.0,0.0,34.07,173.25,5.085118872908717,5.084784432355385,5.085150890837353,5.086204782725814,173.23860561034797,173.26644002376094,173.2833186963474,6.577064568141216e-05,-9.488741008732514e-05,-0.0001922972173378958
