date,FSTA,VDC,XLP,FSTA scalar,VDC scalar,XLP scalar,FSTA unit price div,FSTA unit price no div,VDC unit price div,VDC unit price no div,XLP unit price div,XLP unit price no div,max_unit_price,min_unit_price,pct_diff,max_sym,min_sym,max_unit_price_no,min_unit_price_no,pct_diff_no,max_sym_no,min_sym_no
7/16/2026,54.12,232.34,85.81,4.329231261,1,2.325458364,232.3797958,232.4372958,232.34,232.34,233.3869822,233.4983822,233.3869822,232.34,0.45%,XLP unit price div,VDC unit price div,233.4983822,232.34,0.50%,XLP unit price no div,VDC unit price no div
7/17/2026,53.64,230.32,85.19,4.329231261,1,2.325458364,230.3017648,230.3592648,230.32,230.32,231.945198,232.056598,231.945198,230.3017648,0.71%,XLP unit price div,FSTA unit price div,232.056598,230.32,0.75%,XLP unit price no div,VDC unit price no div
7/20/2026,53.45,229.43,84.86,4.329231261,1,2.325458364,229.4792109,229.5367109,229.43,229.43,231.1777968,231.2891968,231.1777968,229.43,0.76%,XLP unit price div,VDC unit price div,231.2891968,229.43,0.81%,XLP unit price no div,VDC unit price no div
7/21/2026,53,227.51,84.06,4.329231261,1,2.325458364,227.5310568,227.5885568,227.51,227.51,229.3174301,229.4288301,229.3174301,227.51,0.79%,XLP unit price div,VDC unit price div,229.4288301,227.51,0.84%,XLP unit price no div,VDC unit price no div
7/22/2026,53.14,228.03,84.38,4.329231261,1,2.325458364,228.1371492,228.1946492,228.03,228.03,230.0615768,230.1729768,230.0615768,228.03,0.89%,XLP unit price div,VDC unit price div,230.1729768,228.03,0.94%,XLP unit price no div,VDC unit price no div
7/23/2026,52.41,224.97,83.21,4.329231261,1,2.325458364,224.9768104,225.0343104,224.97,224.97,227.3407905,227.4521905,227.3407905,224.97,1.05%,XLP unit price div,VDC unit price div,227.4521905,224.97,1.10%,XLP unit price no div,VDC unit price no div
7/24/2026,52.95,227.32,84.13,4.329231261,1,2.325458364,227.3145952,227.3720952,227.32,227.32,229.4802122,229.5916122,229.4802122,227.3145952,0.95%,XLP unit price div,FSTA unit price div,229.5916122,227.32,0.99%,XLP unit price no div,VDC unit price no div
7/27/2026,53.78,230.91,85.36,4.329231261,1,2.325458364,230.9078572,230.9653572,230.91,230.91,232.340526,232.451926,232.340526,230.9078572,0.62%,XLP unit price div,FSTA unit price div,232.451926,230.91,0.67%,XLP unit price no div,VDC unit price no div
7/28/2026,54.89,235.43,87.06,4.329231261,1,2.325458364,235.7133039,235.7708039,235.43,235.43,236.2938052,236.4052052,236.2938052,235.43,0.37%,XLP unit price div,VDC unit price div,236.4052052,235.43,0.41%,XLP unit price no div,VDC unit price no div
7/29/2026,54.97,236.08,87.36,4.329231261,1,2.325458364,236.0596424,236.1171424,236.08,236.08,236.9914427,237.1028427,236.9914427,236.0596424,0.39%,XLP unit price div,FSTA unit price div,237.1028427,236.08,0.43%,XLP unit price no div,VDC unit price no div
