,bop date,eop date,day count,bop RSP price,eop RSP price,,,bop SPY price,eop SPY price,,,,,,,eop SPY / eop RSP,bop SPY / RSP moving avg,eop SPY / RSP moving avg,current position,new position,bop RSP shares,eop RSP shares,eop RSP shares bought,eop RSP shares sold,eop RSP shares traded,bop SPY shares,eop SPY shares,eop SPY shares bought,eop SPY shares sold,eop SPY shares traded,RSP daily commission,SPY daily commission,daily total commissions,RSP cop,RSP pct cop,RSP daily position pnl,SPY cop,SPY pct cop,SPY daily position pnl,daily position pnl,short RSP investment amount,long RSP investment amount,RSP investment amount,daily RSP borrow cost,short SPY investment amount,long SPY investment amount,SPY investment amount,daily SPY borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
142,7/26/2024,7/29/2024,3,169.74,169.97,1.092914095,0.14%,544.44,544.76,1.162055505,0.06%,-0.08%,6.13%,-0.08%,6.13%,3.205036183,3.310209595,3.304823469,-1,-1,-589.1363261,-588.3391187,0.797207478,0,0.797207478,183.6749688,183.5670754,0,0.107893366,-0.107893366,-0.003986037,-0.000539467,-0.004525504,0.23,0.001354096,-135.501355,0.32,0.000587587,58.77599001,-76.72536501,-100000,0,-100000,-8.333333333,0,100000,100000,0,0,200000,-100000,-8.333333333,-85.06322384,-2711.798133,-9996.546771
143,7/29/2024,7/30/2024,1,169.97,170.79,1.098186728,0.48%,544.76,542,1.156168007,-0.51%,-0.99%,5.15%,-0.99%,5.15%,3.173487909,3.304823469,3.296164326,-1,-1,-588.3391187,-585.5143744,2.82474429,0,2.82474429,183.5670754,184.501845,0.934769609,0,0.934769609,-0.014123721,-0.004673848,-0.018797569,0.82,0.004812781,-482.4380773,-2.76,-0.005079329,-506.6451281,-989.0832054,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,-991.8797808,-3703.677913,-10988.42655
144,7/30/2024,7/31/2024,1,170.79,171.6,1.103395062,0.47%,542,550.81,1.17496107,1.61%,1.14%,6.28%,1.14%,6.28%,3.209848485,3.296164326,3.288948417,-1,-1,-585.5143744,-582.7505828,2.763791627,0,2.763791627,184.501845,181.550807,0,2.951038025,-2.951038025,-0.013818958,-0.01475519,-0.028574148,0.81,0.004731455,-474.2666432,8.81,0.016123921,1625.461255,1151.194611,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,1148.388259,-2555.289654,-9840.038292
145,7/31/2024,8/1/2024,1,171.6,169.69,1.091113683,-1.12%,550.81,543.01,1.15832249,-1.43%,-0.31%,5.98%,-0.31%,5.98%,3.200011786,3.288948417,3.280564274,-1,-1,-582.7505828,-589.3099181,0,6.559335335,-6.559335335,181.550807,184.1586711,2.607864118,0,2.607864118,-0.032796677,-0.013039321,-0.045835997,-1.91,-0.011192944,1113.053613,-7.8,-0.014262186,-1416.096295,-303.0426815,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,-305.8662953,-2861.155949,-10145.90459
146,8/1/2024,8/2/2024,1,169.69,166.77,1.072337963,-1.74%,543.01,532.9,1.13675633,-1.88%,-0.14%,5.83%,-0.14%,5.83%,3.19541884,3.280564274,3.270907063,-1,-1,-589.3099181,-599.6282305,0,10.31831241,-10.31831241,184.1586711,187.6524676,3.493796519,0,3.493796519,-0.051591562,-0.017468983,-0.069060545,-2.92,-0.017357625,1720.784961,-10.11,-0.018793947,-1861.844165,-141.0592041,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,-143.9060424,-3005.061992,-10289.81063
147,8/2/2024,8/5/2024,3,166.77,162.83,1.047003601,-2.39%,532.9,517.38,1.103649822,-2.96%,-0.56%,5.27%,-0.56%,5.27%,3.177424308,3.270907063,3.260485596,-1,-1,-599.6282305,-614.137444,0,14.50921346,-14.50921346,187.6524676,193.2815339,5.629066252,0,5.629066252,-0.072546067,-0.028145331,-0.100691399,-3.94,-0.023908906,2362.535228,-15.52,-0.029556175,-2912.366298,-549.8310695,-100000,0,-100000,-8.333333333,0,100000,100000,0,0,200000,-100000,-8.333333333,-558.2650942,-3563.327086,-10848.07572
148,8/5/2024,8/6/2024,1,162.83,164.5,1.05774177,1.02%,517.38,522.15,1.113824954,0.92%,-0.10%,5.17%,-0.10%,5.17%,3.174164134,3.260485596,3.249446673,-1,-1,-614.137444,-607.9027356,6.234708398,0,6.234708398,193.2815339,191.5158479,0,1.765685946,-1.765685946,-0.031173542,-0.00882843,-0.040001972,1.67,0.010203858,-1025.609531,4.77,0.009177289,921.9529166,-103.6566148,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,-106.4743945,-3669.80148,-10954.55012
149,8/6/2024,8/7/2024,1,164.5,163.34,1.050282922,-0.71%,522.15,518.66,1.106380256,-0.67%,0.04%,5.20%,0.04%,5.20%,3.175339782,3.249446673,3.238188824,-1,-1,-607.9027356,-612.2199094,0,4.317173829,-4.317173829,191.5158479,192.8045348,1.288686826,0,1.288686826,-0.021585869,-0.006443434,-0.028029303,-1.16,-0.007076652,705.1671733,-3.49,-0.00670634,-668.3903093,36.77686395,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,33.97105687,-3635.830423,-10920.57906
150,8/7/2024,8/8/2024,1,163.34,166.3,1.069315844,1.80%,518.66,530.65,1.13195674,2.29%,0.49%,5.69%,0.49%,5.69%,3.190920024,3.238188824,3.231183886,-1,-1,-612.2199094,-601.3229104,10.89699899,0,10.89699899,192.8045348,188.4481297,0,4.35640511,-4.35640511,-0.054484995,-0.021782026,-0.07626702,2.96,0.017959468,-1812.170932,11.99,0.022854108,2311.726372,499.55544,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,496.7013952,-3139.129028,-10423.87767
151,8/8/2024,8/9/2024,1,166.3,166.65,1.071566358,0.21%,530.65,532.99,1.136948314,0.44%,0.23%,5.92%,0.23%,5.92%,3.198259826,3.231183886,3.224957317,-1,-1,-601.3229104,-600.060006,1.262904402,0,1.262904402,188.4481297,187.6207809,0,0.827348775,-0.827348775,-0.006314522,-0.004136744,-0.010451266,0.35,0.002102419,-210.4630186,2.34,0.004399992,440.9686234,230.5056047,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,227.7173757,-2911.411653,-10196.16029
152,8/9/2024,8/12/2024,3,166.65,165.85,1.066422325,-0.48%,532.99,533.27,1.137545596,0.05%,0.53%,6.46%,0.53%,6.46%,3.215375339,3.224957317,3.219317241,-1,-1,-600.060006,-602.9544769,0,2.894470936,-2.894470936,187.6207809,187.5222683,0,0.098512608,-0.098512608,-0.014472355,-0.000492563,-0.014964918,-0.8,-0.004812039,480.0480048,0.28,0.0005252,52.53381865,532.5818234,-100000,0,-100000,-8.333333333,0,100000,100000,0,0,200000,-100000,-8.333333333,524.2335252,-2387.178127,-9671.926765
153,8/12/2024,8/13/2024,1,165.85,167.74,1.078575103,1.13%,533.27,542.04,1.156253333,1.63%,0.50%,6.95%,0.50%,6.95%,3.231429593,3.219317241,3.21640791,-1,1,-602.9544769,596.1607249,1199.115202,0,1199.115202,187.5222683,-184.4882297,0,372.0104979,-372.0104979,-5.995576009,-1.86005249,-7.855628499,1.89,0.011331396,-1139.583961,8.77,0.016311937,1644.570293,504.9863313,-100000,0,-100000,-2.777777778,0,100000,100000,0,1.46E-11,200000,-100000,-2.777777778,494.352925,-1892.825202,-9177.57384
154,8/13/2024,8/14/2024,1,167.74,168.09,1.080825617,0.21%,542.04,543.75,1.159901022,0.31%,0.11%,7.06%,0.11%,7.06%,3.234874175,3.21640791,3.215313188,1,1,596.1607249,594.9193884,0,1.241336509,-1.241336509,-184.4882297,-183.908046,0.580183674,0,0.580183674,-0.006206683,-0.002900918,-0.009107601,0.35,0.002084389,208.6562537,1.71,0.003149783,-315.4748727,-106.818619,0,100000,100000,0,-100000,0,-100000,-2.777777778,0,200000,-100000,-2.777777778,-109.6055044,-2002.430707,-9287.179345
155,8/14/2024,8/15/2024,1,168.09,170.37,1.095486111,1.35%,543.75,553.07,1.179781992,1.70%,0.35%,7.41%,0.35%,7.41%,3.246287492,3.215313188,3.214639478,1,1,594.9193884,586.9577977,0,7.961590689,-7.961590689,-183.908046,-180.8089392,3.099106783,0,3.099106783,-0.039807953,-0.015495534,-0.055303487,2.28,0.013472992,1356.416206,9.32,0.016994993,-1714.022989,-357.6067829,0,100000,100000,0,-100000,0,-100000,-2.777777778,0,200000,-100000,-2.777777778,-360.4398642,-2362.870571,-9647.619209
156,8/15/2024,8/16/2024,1,170.37,170.78,1.098122428,0.24%,553.07,554.31,1.1824271,0.22%,-0.02%,7.40%,-0.02%,7.40%,3.245754772,3.214639478,3.213925435,1,1,586.9577977,585.5486591,0,1.409138641,-1.409138641,-180.8089392,-180.4044668,0.404472379,0,0.404472379,-0.007045693,-0.002022362,-0.009068055,0.41,0.002403636,240.6526971,1.24,0.002239521,-224.2030846,16.44961247,0,100000,100000,0,-100000,0,-100000,-2.777777778,0,200000,-100000,-2.777777778,13.66276664,-2349.207804,-9633.956442
157,8/16/2024,8/19/2024,3,170.78,172.08,1.106481481,0.76%,554.31,559.61,1.193732801,0.95%,0.19%,7.59%,0.19%,7.59%,3.252033938,3.213925435,3.213135274,1,1,585.5486591,581.1250581,0,4.423600981,-4.423600981,-180.4044668,-178.6958775,1.708589328,0,1.708589328,-0.022118005,-0.008542947,-0.030660952,1.3,0.007583306,761.2132568,5.3,0.009516016,-956.1436741,-194.9304173,0,100000,100000,0,-100000,0,-100000,-8.333333333,0,200000,-100000,-8.333333333,-203.2944116,-2552.502216,-9837.250854
158,8/19/2024,8/20/2024,1,172.08,171.4,1.102109053,-0.40%,559.61,558.7,1.191791634,-0.16%,0.23%,7.82%,0.23%,7.82%,3.259626604,3.213135274,3.212402302,1,1,581.1250581,583.4305718,2.305513649,0,2.305513649,-178.6958775,-178.986934,0,0.291056468,-0.291056468,-0.011527568,-0.001455282,-0.012982851,-0.68,-0.003959479,-395.1650395,-0.91,-0.001627456,162.6132485,-232.551791,0,100000,100000,0,-100000,0,-100000,-2.777777778,-1.46E-11,200000,-100000,-2.777777778,-235.3425516,-2787.844767,-10072.59341
159,8/20/2024,8/21/2024,1,171.4,172.6,1.109825103,0.70%,558.7,560.62,1.195887284,0.34%,-0.35%,7.47%,-0.35%,7.47%,3.248088065,3.212402302,3.212907213,1,1,583.4305718,579.3742758,0,4.05629598,-4.05629598,-178.986934,-178.3739431,0.612990819,0,0.612990819,-0.02028148,-0.003064954,-0.023346434,1.2,0.006976772,700.1166861,1.92,0.003430658,-343.6549132,356.4617729,0,100000,100000,0,-100000,0,-100000,-2.777777778,0,200000,-100000,-2.777777778,353.6606487,-2434.184119,-9718.932757
160,8/21/2024,8/22/2024,1,172.6,172.11,1.106674383,-0.28%,560.62,556.22,1.186501419,-0.79%,-0.50%,6.96%,-0.50%,6.96%,3.231770379,3.212907213,3.213632272,1,1,579.3742758,581.0237639,1.64948809,0,1.64948809,-178.3739431,-179.7849772,0,1.411034033,-1.411034033,-0.00824744,-0.00705517,-0.015302611,-0.49,-0.002842971,-283.8933951,-4.4,-0.007879415,784.8453498,500.9519547,0,100000,100000,0,-100000,0,-100000,-2.777777778,1.46E-11,200000,-100000,-2.777777778,498.1588743,-1936.025244,-9220.773882
161,8/22/2024,8/23/2024,1,172.11,174.3,1.120756173,1.26%,556.22,562.13,1.199108343,1.06%,-0.21%,6.76%,-0.21%,6.76%,3.225071715,3.213632272,3.214511167,1,1,581.0237639,573.7234653,0,7.300298582,-7.300298582,-179.7849772,-177.894793,1.890184148,0,1.890184148,-0.036501493,-0.009450921,-0.045952414,2.19,0.012644145,1272.442043,5.91,0.01056924,-1062.529215,209.9128278,0,100000,100000,0,-100000,0,-100000,-2.777777778,-1.46E-11,200000,-100000,-2.777777778,207.0890976,-1728.936147,-9013.684785
162,8/23/2024,8/26/2024,3,174.3,174.27,1.120563272,-0.02%,562.13,560.79,1.19624992,-0.24%,-0.22%,6.54%,-0.22%,6.54%,3.217937683,3.214511167,3.215156242,1,1,573.7234653,573.8222299,0.098764583,0,0.098764583,-177.894793,-178.3198702,0,0.425077164,-0.425077164,-0.000493823,-0.002125386,-0.002619209,-0.03,-0.000172132,-17.21170396,-1.34,-0.002386636,238.3790226,221.1673187,0,100000,100000,0,-100000,0,-100000,-8.333333333,-1.46E-11,200000,-100000,-8.333333333,212.8313661,-1516.104781,-8800.853419
163,8/26/2024,8/27/2024,1,174.27,174.35,1.121077675,0.05%,560.79,561.56,1.197892447,0.14%,0.09%,6.63%,0.09%,6.63%,3.220877545,3.215156242,3.217525724,1,1,573.8222299,573.5589332,0,0.263296693,-0.263296693,-178.3198702,-178.0753615,0.24450869,0,0.24450869,-0.001316483,-0.001222543,-0.002539027,0.08,0.000458952,45.90577839,0.77,0.001372121,-137.3063,-91.40052165,0,100000,100000,0,-100000,0,-100000,-2.777777778,0,200000,-100000,-2.777777778,-94.18083846,-1610.285619,-8895.034257
164,8/27/2024,8/28/2024,1,174.35,173.87,1.117991255,-0.28%,561.56,558.3,1.190938373,-0.58%,-0.31%,6.32%,-0.31%,6.32%,3.211019727,3.217525724,3.217584286,1,-1,573.5589332,-575.1423477,0,1148.701281,-1148.701281,-178.0753615,179.1151711,357.1905325,0,357.1905325,-5.743506405,-1.785952663,-7.529459067,-0.48,-0.00275688,-275.3082879,-3.26,-0.005822173,580.5256785,305.2173905,0,100000,100000,0,-100000,0,-100000,-2.777777778,0,200000,-100000,-2.777777778,294.9101537,-1315.375465,-8600.124103
165,8/28/2024,8/29/2024,1,173.87,174.52,1.122170782,0.37%,558.3,558.35,1.191045031,0.01%,-0.36%,5.96%,-0.36%,5.96%,3.19934678,3.217584286,3.217551036,-1,-1,-575.1423477,-573.0002292,2.142118531,0,2.142118531,179.1151711,179.0991314,0,0.016039686,-0.016039686,-0.010710593,-8.02E-05,-0.010790791,0.65,0.003731455,-373.842526,0.05,8.96E-05,8.955758553,-364.8867675,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,-367.675336,-1683.050801,-8967.79944
166,8/29/2024,8/30/2024,1,174.52,175.87,1.130851337,0.77%,558.35,563.68,1.202414727,0.95%,0.18%,6.14%,0.18%,6.14%,3.205094672,3.217551036,3.218034828,-1,-1,-573.0002292,-568.6018082,4.398421046,0,4.398421046,179.0991314,177.4056202,0,1.693511159,-1.693511159,-0.021992105,-0.008467556,-0.030459661,1.35,0.007705737,-773.5503094,5.33,0.009500709,954.5983702,181.0480608,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,178.2398233,-1504.810978,-8789.559616
167,8/30/2024,9/3/2024,4,175.87,173.61,1.116319444,-1.29%,563.68,552.08,1.177670172,-2.08%,-0.79%,5.35%,-0.79%,5.35%,3.180001152,3.218034828,3.21816367,-1,-1,-568.6018082,-576.0036864,0,7.40187827,-7.40187827,177.4056202,181.1331691,3.727548896,0,3.727548896,-0.037009391,-0.018637744,-0.055647136,-2.26,-0.012933681,1285.040086,-11.6,-0.020793751,-2057.905194,-772.865108,-100000,0,-100000,-11.11111111,0,100000,100000,0,2.91E-11,200000,-100000,-11.11111111,-784.0318663,-2288.842844,-9573.591482
168,9/3/2024,9/4/2024,1,173.61,173.36,1.114711934,-0.14%,552.08,550.95,1.175259711,-0.20%,-0.06%,5.29%,-0.06%,5.29%,3.178068759,3.21816367,3.218358901,-1,-1,-576.0036864,-576.8343332,0,0.830646756,-0.830646756,181.1331691,181.5046737,0.371504639,0,0.371504639,-0.004153234,-0.001857523,-0.006010757,-0.25,-0.001441047,144.0009216,-1.13,-0.002048902,-204.6804811,-60.67955948,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,-63.46334802,-2352.306192,-9637.05483
169,9/4/2024,9/5/2024,1,173.36,172.3,1.107896091,-0.61%,550.95,549.61,1.172401288,-0.24%,0.37%,5.66%,0.37%,5.66%,3.189843297,3.218358901,3.219084077,-1,-1,-576.8343332,-580.3830528,0,3.548719635,-3.548719635,181.5046737,181.9471989,0.442525178,0,0.442525178,-0.017743598,-0.002212626,-0.019956224,-1.06,-0.006133214,611.4443932,-1.34,-0.002435125,-243.2162628,368.2281304,-100000,0,-100000,-2.777777778,0,100000,100000,0,-1.46E-11,200000,-100000,-2.777777778,365.4303963,-1986.875796,-9271.624434
170,9/5/2024,9/6/2024,1,172.3,170.45,1.096000514,-1.08%,549.61,540.36,1.152669639,-1.70%,-0.62%,5.04%,-0.62%,5.04%,3.170196539,3.219084077,3.218047903,-1,-1,-580.3830528,-586.6823115,0,6.299258713,-6.299258713,181.9471989,185.0618106,3.114611722,0,3.114611722,-0.031496294,-0.015573059,-0.047069352,-1.85,-0.010795145,1073.708648,-9.25,-0.016973352,-1683.01159,-609.3029423,-100000,0,-100000,-2.777777778,0,100000,100000,0,-1.46E-11,200000,-100000,-2.777777778,-612.1277895,-2599.003586,-9883.752224
171,9/6/2024,9/9/2024,3,170.45,172.1,1.106610082,0.96%,540.36,546.41,1.165575204,1.11%,0.15%,5.19%,0.15%,5.19%,3.174956421,3.218047903,3.216882732,-1,-1,-586.6823115,-581.0575247,5.624786833,0,5.624786833,185.0618106,183.012756,0,2.049054656,-2.049054656,-0.028123934,-0.010245273,-0.038369207,1.65,0.009633705,-968.025814,6.05,0.011134026,1119.623954,151.5981404,-100000,0,-100000,-8.333333333,0,100000,100000,0,0,200000,-100000,-8.333333333,143.2264378,-2455.777148,-9740.525786
172,9/9/2024,9/10/2024,1,172.1,172.2,1.107253086,0.06%,546.41,548.79,1.170652104,0.43%,0.38%,5.57%,0.38%,5.57%,3.186933798,3.216882732,3.215460655,-1,-1,-581.0575247,-580.7200929,0.33743178,0,0.33743178,183.012756,182.2190638,0,0.793692231,-0.793692231,-0.001687159,-0.003968461,-0.00565562,0.1,0.000580889,-58.10575247,2.38,0.004346245,435.5703593,377.4646068,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,374.6811734,-2081.095974,-9365.844612
173,9/10/2024,9/11/2024,1,172.2,172.28,1.10776749,0.05%,548.79,554.42,1.182661746,1.02%,0.97%,6.54%,0.97%,6.54%,3.218133271,3.215460655,3.214795839,-1,1,-580.7200929,580.4504295,1161.170522,0,1161.170522,182.2190638,-180.3686736,0,362.5877373,-362.5877373,-5.805852612,-1.812938687,-7.618791299,0.08,0.000464468,-46.45760743,5.63,0.010206668,1025.893329,979.4357215,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,969.0391525,-1112.056822,-8396.80546
174,9/11/2024,9/12/2024,1,172.28,173.35,1.114647634,0.62%,554.42,559.09,1.192623563,0.84%,0.22%,6.76%,0.22%,6.76%,3.225209115,3.214795839,3.214312586,1,1,580.4504295,576.8676089,0,3.58282065,-3.58282065,-180.3686736,-178.8620795,1.506594118,0,1.506594118,-0.017914103,-0.007532971,-0.025447074,1.07,0.006191612,621.0819596,4.67,0.00838794,-842.3217056,-221.239746,0,100000,100000,0,-100000,0,-100000,-2.777777778,1.46E-11,200000,-100000,-2.777777778,-224.0429708,-1336.099793,-8620.848431
175,9/12/2024,9/13/2024,1,173.35,175.01,1.125321502,0.95%,559.09,562.01,1.198852365,0.52%,-0.43%,6.33%,-0.43%,6.33%,3.211302211,3.214312586,3.212563322,1,-1,576.8676089,-571.3959202,0,1148.263529,-1148.263529,-178.8620795,177.932777,356.7948564,0,356.7948564,-5.741317646,-1.783974282,-7.525291928,1.66,0.009530443,957.6002307,2.92,0.005209181,-522.277272,435.3229588,0,100000,100000,0,-100000,0,-100000,-2.777777778,1.46E-11,200000,-100000,-2.777777778,425.019889,-911.0799036,-8195.828542
176,9/13/2024,9/16/2024,3,175.01,176.28,1.133487654,0.72%,562.01,562.84,1.20062288,0.15%,-0.58%,5.75%,-0.58%,5.75%,3.192874972,3.212563322,3.209919332,-1,-1,-571.3959202,-567.2793283,4.116591892,0,4.116591892,177.932777,177.6703859,0,0.262391097,-0.262391097,-0.020582959,-0.001311955,-0.021894915,1.27,0.007230525,-725.6728187,0.83,0.001475753,147.6842049,-577.9886138,-100000,0,-100000,-8.333333333,0,100000,100000,0,1.46E-11,200000,-100000,-8.333333333,-586.343842,-1497.423746,-8782.172384
177,9/16/2024,9/17/2024,1,176.28,176.54,1.135159465,0.15%,562.84,563.07,1.201113505,0.04%,-0.11%,5.65%,-0.11%,5.65%,3.189475473,3.209919332,3.206791409,-1,-1,-567.2793283,-566.4438654,0.835462928,0,0.835462928,177.6703859,177.597812,0,0.072573905,-0.072573905,-0.004177315,-0.00036287,-0.004540184,0.26,0.00147384,-147.4926254,0.23,0.000408558,40.86418876,-106.6284366,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,-109.4107546,-1606.8345,-8891.583138
178,9/17/2024,9/18/2024,1,176.54,176.21,1.133037551,-0.19%,563.07,561.4,1.197551142,-0.30%,-0.11%,5.54%,-0.11%,5.54%,3.185971284,3.206791409,3.203108643,-1,-1,-566.4438654,-567.5046819,0,1.060816501,-1.060816501,177.597812,178.1261133,0.528301293,0,0.528301293,-0.005304083,-0.002641506,-0.007945589,-0.33,-0.001871014,186.9264756,-1.67,-0.00297029,-296.588346,-109.6618704,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,-112.4475938,-1719.282094,-9004.030732
179,9/18/2024,9/19/2024,1,176.21,178.09,1.145126029,1.06%,561.4,570.98,1.217986732,1.69%,0.63%,6.17%,0.63%,6.17%,3.206131731,3.203108643,3.201010826,-1,1,-567.5046819,561.5138413,1129.018523,0,1129.018523,178.1261133,-175.1374829,0,353.2635962,-353.2635962,-5.645092616,-1.766317981,-7.411410597,1.88,0.010612575,-1066.908802,9.58,0.016920519,1706.448165,639.5393633,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,629.3501749,-1089.931919,-8374.680557
180,9/19/2024,9/20/2024,1,178.09,177.44,1.140946502,-0.37%,570.98,568.25,1.212163229,-0.48%,-0.11%,6.05%,-0.11%,6.05%,3.202490983,3.201010826,3.199546856,1,1,561.5138413,563.5707845,2.056943174,0,2.056943174,-175.1374829,-175.9788825,0,0.84139961,-0.84139961,-0.010284716,-0.004206998,-0.014491714,-0.65,-0.003656517,-364.9839969,-2.73,-0.00479272,478.1253284,113.1413315,0,100000,100000,0,-100000,0,-100000,-2.777777778,-1.46E-11,200000,-100000,-2.777777778,110.349062,-979.5828571,-8264.331495
181,9/20/2024,9/23/2024,3,177.44,177.65,1.142296811,0.12%,568.25,569.67,1.215192304,0.25%,0.13%,6.19%,0.13%,6.19%,3.206698565,3.199546856,3.198628199,1,1,563.5707845,562.9045877,0,0.666196818,-0.666196818,-175.9788825,-175.540225,0.438657492,0,0.438657492,-0.003330984,-0.002193287,-0.005524272,0.21,0.001182799,118.3498647,1.42,0.002495783,-249.8900132,-131.5401485,0,100000,100000,0,-100000,0,-100000,-8.333333333,0,200000,-100000,-8.333333333,-139.8790061,-1119.461863,-8404.210501
182,9/23/2024,9/24/2024,1,177.65,177.91,1.143968621,0.15%,569.67,571.3,1.21866934,0.29%,0.14%,6.33%,0.14%,6.33%,3.211174189,3.198628199,3.198290024,1,1,562.9045877,562.0819515,0,0.822636124,-0.822636124,-175.540225,-175.0393839,0.500841181,0,0.500841181,-0.004113181,-0.002504206,-0.006617387,0.26,0.001462482,146.3551928,1.63,0.00285722,-286.1305668,-139.775374,0,100000,100000,0,-100000,0,-100000,-2.777777778,0,200000,-100000,-2.777777778,-142.5597692,-1262.021632,-8546.77027
