,bop date,eop date,day count,bop SPMB price,eop SPMB price,bop VMBS price,eop VMBS price,bop MBB price,eop MBB price,eop MBB / eop SPMB,eop MBB / SPMB moving avg,bop MBB / SPMB moving avg,eop SPMB unit price,eop MBB / eop VMBS,eop MBB / VMBS moving avg,bop MBB / VMBS moving avg,eop VMBS unit price,eop MBB / eop MBB,eop MBB / MBB moving avg,bop MBB / MBB moving avg,eop MBB unit price,SPMB unit price pct diff,VMBS unit price pct diff,MBB unit price pct diff,min symbol,max symbol,min unit price pct diff,max unit price pct diff,unit price pct diff,month end liquidation,go group,exit group,current long symbol,current short symbol,new long symbol,new short symbol,current_position,new_position,SPMB shares per unit,eop SPMB shares,bop SPMB shares,eop SPMB shares traded,eop SPMB shares bought,eop SPMB shares sold,VMBS shares per unit,eop VMBS shares,bop VMBS shares,eop VMBS shares traded,eop VMBS shares bought,eop VMBS shares sold,MBB shares per unit,eop MBB shares,bop MBB shares,eop MBB shares traded,eop MBB shares bought,eop MBB shares sold,SPMB daily commission,SPMB cop,SPMB pct cop,SPMB daily position pnl,SPMB investment amount,short SPMB investment amount,long SPMB investment amount,daily SPMB borrow cost,VMBS daily commission,VMBS cop,VMBS pct cop,VMBS daily position pnl,VMBS investment amount,short VMBS investment amount,long VMBS investment amount,daily VMBS borrow cost,MBB daily commission,MBB cop,MBB pct cop,MBB daily position pnl,MBB investment amount,short MBB investment amount,long MBB investment amount,daily MBB borrow cost,daily total commissions,daily position pnl,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
21,2024-02-01,2024-02-02,1,22.04,21.82,46.29,45.81,93.95,93.02,4.263061411549037,4.262765804766352,4.263040781851595,93.0195498600018,2.030561012879284,2.0298717848445054,2.0299362298375394,92.99137868885768,1.0,1.0,1.0,93.02,-4.8391860605204425e-06,-0.0003077372101635555,0.0,VMBS,MBB,-0.0003077372101635555,0.0,0.0003077372101635555,False,False,False,,,,,0,0,4583.0,0.0,0.0,0.0,0.0,-0.0,2182.0,0.0,0.0,0.0,0.0,-0.0,1075.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.21999999999999886,-0.010032003879788975,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.4799999999999969,-0.010423547144528336,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.9300000000000068,-0.009948202063523393,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2024-02-02,2024-02-05,3,21.82,21.63,45.81,45.42,93.02,92.24,4.2644475265834485,4.2627542361413955,4.262765804766352,92.20362435709619,2.0308234258036104,2.029850797515503,2.0298717848445054,92.19677646763743,1.0,1.0,1.0,92.24,-0.00039443644096903745,-0.00046870839950349926,0.0,VMBS,MBB,-0.00046870839950349926,0.0,0.00046870839950349926,False,False,False,,,,,0,0,4621.0,0.0,0.0,0.0,0.0,-0.0,2200.0,0.0,0.0,0.0,0.0,-0.0,1084.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.19000000000000128,-0.008745740439957385,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.39000000000000057,-0.008549871221238356,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.7800000000000011,-0.008420647835147335,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2024-02-05,2024-02-06,1,21.63,21.78,45.42,45.67,92.24,92.71,4.25665748393021,4.2623451012054865,4.2627542361413955,92.8427872631596,2.0299978103788043,2.029851014050527,2.029850797515503,92.70328592253303,1.0,1.0,1.0,92.71,0.0014312615594318282,-7.242283028958766e-05,0.0,VMBS,SPMB,-7.242283028958766e-05,0.0014312615594318282,0.0015036843897214159,False,True,False,,,VMBS,SPMB,0,1,4600.0,-4600.0,0.0,-4600.0,0.0,4600.0,2190.0,2190.0,0.0,2190.0,2190.0,-0.0,1079.0,0.0,0.0,0.0,0.0,-0.0,-23.0,0.15000000000000213,0.00691087753984701,0.0,0.0,0.0,0.0,0.0,-10.950000000000001,0.25,0.005489090519495177,0.0,0.0,0.0,0.0,0.0,-0.0,0.46999999999999886,0.005082465658087431,0.0,0.0,0.0,0.0,0.0,-33.95,0.0,0.0,0.0,0.0,0.0,-33.95,-33.95,-33.95
24,2024-02-06,2024-02-07,1,21.78,21.69,45.67,45.55,92.71,92.42,4.260949746426925,4.262395786334051,4.2623451012054865,92.45026524514701,2.0289791437980242,2.029875128951979,2.029851014050527,92.4597136900015,1.0,1.0,1.0,92.42,0.0003274214528469708,0.0004296165308749893,0.0,MBB,VMBS,0.0,0.0004296165308749893,0.0004296165308749893,False,False,False,VMBS,SPMB,VMBS,SPMB,1,1,4612.0,-4612.0,-4600.0,-12.0,0.0,12.0,2196.0,2196.0,2190.0,6.0,6.0,-0.0,1082.0,0.0,0.0,0.0,0.0,-0.0,-0.06,-0.08999999999999986,-0.004140792666031388,413.9999999999993,-100188.0,-100188.0,0.0,-2.783,-0.03,-0.12000000000000455,-0.002631003490940407,-262.80000000000996,100017.3,0.0,100017.3,0.0,-0.0,-0.28999999999999204,-0.003132936176770607,-0.0,0.0,0.0,0.0,0.0,-0.09,151.19999999998936,-170.6999999999971,200205.3,-100188.0,-2.783,148.32699999998937,114.37699999998937,0.0
25,2024-02-07,2024-02-08,1,21.69,21.66,45.55,45.47,92.42,92.24,4.25854108956602,4.262342950501565,4.262395786334051,92.32349273199554,2.0285902793050363,2.0298017023813997,2.029875128951979,92.29842211344648,1.0,1.0,1.0,92.24,0.0009047589689072581,0.0006331702062822303,0.0,MBB,SPMB,0.0,0.0009047589689072581,0.0009047589689072581,False,True,False,VMBS,SPMB,MBB,SPMB,1,1,4620.0,-4620.0,-4612.0,-8.0,0.0,8.0,2200.0,0.0,2196.0,-2196.0,0.0,2196.0,1084.0,1084.0,0.0,1084.0,1084.0,-0.0,-0.04,-0.030000000000001137,-0.0013840832659385636,138.36000000000524,-100034.28,-100034.28,0.0,-2.77873,-10.98,-0.0799999999999983,-0.0017578558690480872,-175.67999999999626,100027.79999999999,0.0,100027.79999999999,0.0,-5.42,-0.18000000000000682,-0.0019495294813167891,-0.0,0.0,0.0,0.0,0.0,-16.439999999999998,-37.31999999999101,-6.480000000010477,200062.08,-100034.28,-2.77873,-56.53872999999101,57.83826999999835,-56.53872999999101
26,2024-02-08,2024-02-09,1,21.66,21.63,45.47,45.47,92.24,92.18,4.261673601479427,4.262131176030082,4.262342950501565,92.19447801934885,2.027270727952496,2.029573985260947,2.0298017023813997,92.29508340728223,1.0,1.0,1.0,92.18,0.00015705014635577496,0.0012476852709426519,0.0,MBB,VMBS,0.0,0.0012476852709426519,0.0012476852709426519,False,True,False,MBB,SPMB,MBB,VMBS,1,1,4625.0,0.0,-4620.0,4620.0,4620.0,-0.0,2202.0,-2202.0,0.0,-2202.0,0.0,2202.0,1085.0,1085.0,1084.0,1.0,1.0,-0.0,-23.1,-0.030000000000001137,-0.0013860016078772516,138.60000000000525,-100069.2,-100069.2,0.0,-2.7797,-11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,-0.05999999999998806,-0.0006506886684411974,-65.03999999998706,99988.15999999999,0.0,99988.15999999999,0.0,-34.115,73.56000000001819,-81.04000000000815,200057.36,-100069.2,-2.7797,36.66530000001819,94.50357000001654,-19.873429999972828
27,2024-02-09,2024-02-12,3,21.63,21.63,45.47,45.44,92.18,92.16,4.260748959778086,4.261965357231327,4.262131176030082,92.18989733753067,2.028169014084507,2.029470230305203,2.029573985260947,92.22384189025743,1.0,1.0,1.0,92.16,0.00032435426571499407,0.0006924890180633138,0.0,MBB,VMBS,0.0,0.0006924890180633138,0.0006924890180633138,False,False,False,MBB,VMBS,MBB,VMBS,1,1,4624.0,0.0,0.0,0.0,0.0,-0.0,2202.0,-2202.0,-2202.0,0.0,0.0,-0.0,1085.0,1085.0,1085.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.030000000000001137,-0.0006599934240232831,66.0600000000025,-100124.94,-100124.94,0.0,-8.343745,-0.0,-0.020000000000010232,-0.00021699034478125337,-21.7000000000111,100015.3,0.0,100015.3,0.0,0.0,44.3599999999914,-109.63999999999942,200140.24,-100124.94,-8.343745,36.0162549999914,130.51982500000793,0.0
28,2024-02-12,2024-02-13,1,21.63,21.42,45.44,44.98,92.16,91.2,4.257703081232493,4.261692616556109,4.261965357231327,91.29129795189503,2.027567807914629,2.02937803246564,2.029470230305203,91.28557095912801,1.0,1.0,1.0,91.2,0.0010005732934837237,0.0009378381529036775,0.0,MBB,SPMB,0.0,0.0010005732934837237,0.0010005732934837237,False,True,False,MBB,VMBS,MBB,SPMB,1,1,4671.0,-4671.0,0.0,-4671.0,0.0,4671.0,2224.0,0.0,-2202.0,2202.0,2202.0,-0.0,1096.0,1096.0,1085.0,11.0,11.0,-0.0,-23.355,-0.2099999999999973,-0.009756174945364572,-0.0,0.0,0.0,0.0,0.0,-11.01,-0.46000000000000085,-0.010174827881726314,1012.9200000000019,-100058.87999999999,-100058.87999999999,0.0,-2.779413333333333,-0.055,-0.9599999999999937,-0.010471299867295366,-1041.5999999999933,99993.59999999999,0.0,99993.59999999999,0.0,-34.42,-28.679999999991423,-65.27999999999884,200052.47999999998,-100058.87999999999,-2.779413333333333,-65.87941333332476,64.64041166668316,-65.87941333332476
29,2024-02-13,2024-02-14,1,21.42,21.52,44.98,45.25,91.2,91.77,4.264405204460966,4.26146460091709,4.261692616556109,91.71162510828746,2.0280662983425413,2.0291949141223733,2.02937803246564,91.8293559690702,1.0,1.0,1.0,91.77,-0.0006363023397863357,0.000646581474372,0.0,SPMB,VMBS,-0.0006363023397863357,0.000646581474372,0.0012828838141583357,False,True,False,MBB,SPMB,SPMB,VMBS,1,1,4645.0,4645.0,-4671.0,9316.0,9316.0,-0.0,2212.0,-2212.0,0.0,-2212.0,0.0,2212.0,1090.0,0.0,1096.0,-1096.0,0.0,1096.0,-46.58,0.09999999999999787,0.00465767027398094,-467.09999999999,-100052.82,-100052.82,0.0,-2.7792450000000004,-11.06,0.2700000000000031,0.005984723614765464,0.0,0.0,0.0,0.0,0.0,-5.48,0.5699999999999932,0.006230549750635942,624.7199999999925,99955.2,0.0,99955.2,0.0,-63.120000000000005,157.6200000000025,-97.6200000000099,200008.02000000002,-100052.82,-2.7792450000000004,91.7207550000025,156.36116666668568,0.0
30,2024-02-14,2024-02-15,1,21.52,21.62,45.25,45.41,91.77,92.05,4.257631822386679,4.261196766749068,4.26146460091709,92.13286467182748,2.0270865448139177,2.029060624900722,2.0291949141223733,92.14574105029696,1.0,1.0,1.0,92.05,0.0008998087587150203,0.001039557791870305,0.0,MBB,VMBS,0.0,0.001039557791870305,0.001039557791870305,False,True,False,SPMB,VMBS,MBB,VMBS,1,1,4628.0,0.0,4645.0,-4645.0,0.0,4645.0,2204.0,-2204.0,-2212.0,8.0,8.0,-0.0,1086.0,1086.0,0.0,1086.0,1086.0,-0.0,-23.225,0.10000000000000142,0.004636076917478651,464.5000000000066,99960.4,0.0,99960.4,0.0,-0.04,0.1599999999999966,0.0035296749639244715,-353.91999999999246,-100093.0,-100093.0,0.0,-2.7803611111111115,-5.43,0.28000000000000114,0.0030464608481650737,0.0,0.0,0.0,0.0,0.0,-28.695,110.58000000001414,-132.60000000000582,200053.4,-100093.0,-2.7803611111111115,79.10463888890304,235.4658055555887,0.0
