date,PFFD,PFF,PFF/PFFD,PFF/PFFD avg,PFF/PFFD 10 dma,PFF/PFFD 20 dma,PFFD avg,PFFD 10 dma,PFFD 20 dma,avg diff,10 dma diff,20 dma diff,PFFD div,PFF div,PFFD*,PFF*,PFF*/PFFD*,PFF*/PFFD* avg,PFF*/PFFD* 10 dma,PFF*/PFFD* 20 dma,PFFD* avg,PFFD* 10 dma,PFFD* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-03-19,18.59,30.71,1.6519634211941905,1.6441152402652448,1.6494913708248486,1.6428836326894385,30.5641023165309,30.651304835999863,30.525791569241782,0.0047621410571619584,0.0019131008396517826,0.006016382957894313,0.0,0.0,18.59,30.71,1.6519634211941905,1.6441152402652448,1.6494913708248486,1.6428836326894385,30.5641023165309,30.651304835999863,30.525791569241782,0.0047621410571619584,0.0019131008396517826,0.006016382957894313
2026-03-20,18.3,30.27,1.6540983606557376,1.6441152402652448,1.6502451222343375,1.64388751979439,30.08730889685398,30.185692086094733,30.064770478216726,0.006053671524035674,0.0027890829018278056,0.00680305275661002,0.0,0.0,18.3,30.27,1.6540983606557376,1.6441152402652448,1.6502451222343375,1.64388751979439,30.08730889685398,30.185692086094733,30.064770478216726,0.006053671524035674,0.0027890829018278056,0.00680305275661002
2026-03-23,18.46,30.45,1.6495124593716142,1.6441152402652448,1.6503629467013774,1.6447991862637472,30.350367335296422,30.463524956445873,30.346163615404443,0.0032773734189833624,-0.0004440707274058933,0.0034158894044229674,0.0,0.0,18.46,30.45,1.6495124593716142,1.6441152402652448,1.6503629467013774,1.6447991862637472,30.350367335296422,30.463524956445873,30.346163615404443,0.0032773734189833624,-0.0004440707274058933,0.0034158894044229674
2026-03-24,18.5,30.44,1.6454054054054055,1.6441152402652448,1.6502628952757448,1.6456460238515924,30.41613194490703,30.531714513975484,30.428784945879322,0.0007844092469896699,-0.0030084305117408856,0.00036849936326346206,0.0,0.0,18.5,30.44,1.6454054054054055,1.6441152402652448,1.6502628952757448,1.6456460238515924,30.41613194490703,30.531714513975484,30.428784945879322,0.0007844092469896699,-0.0030084305117408856,0.00036849936326346206
2026-03-25,18.59,30.61,1.6465841850457235,1.6441152402652448,1.6500779786767588,1.646332596646618,30.5641023165309,30.678387223176095,30.5925595834011,0.0015005595617521956,-0.002231654466917856,0.0005699244341964847,0.0,0.0,18.59,30.61,1.6465841850457235,1.6441152402652448,1.6500779786767588,1.646332596646618,30.5641023165309,30.678387223176095,30.5925595834011,0.0015005595617521956,-0.002231654466917856,0.0005699244341964847
2026-03-26,18.43,30.38,1.6483993488876831,1.6441152402652448,1.649679563270937,1.6470635145042252,30.30104387808846,30.410937147012664,30.34190975619717,0.002602333823678569,-0.0010178211139812402,0.0012545800667944425,0.0,0.0,18.43,30.38,1.6483993488876831,1.6441152402652448,1.649679563270937,1.6470635145042252,30.30104387808846,30.410937147012664,30.34190975619717,0.002602333823678569,-0.0010178211139812402,0.0012545800667944425
2026-03-27,18.31,30.16,1.647187329328236,1.6441152402652448,1.6492394378300397,1.6478384653862215,30.10375004925663,30.205632803490854,30.15773295057236,0.0018667927911197085,-0.0015118805208793103,7.517024655307613e-05,0.0,0.0,18.31,30.16,1.647187329328236,1.6441152402652448,1.6492394378300397,1.6478384653862215,30.10375004925663,30.205632803490854,30.15773295057236,0.0018667927911197085,-0.0015118805208793103,7.517024655307613e-05
2026-03-30,18.24,30.12,1.6513157894736845,1.6441152402652448,1.6494032056186096,1.6484344789349445,29.988661982438064,30.08212734601992,30.056573608644676,0.00437002662329116,0.0012581834113108605,0.002108010178684306,0.0,0.0,18.24,30.12,1.6513157894736845,1.6441152402652448,1.6494032056186096,1.6484344789349445,29.988661982438064,30.08212734601992,30.056573608644676,0.00437002662329116,0.0012581834113108605,0.002108010178684306
2026-03-31,18.4,30.32,1.6478260869565218,1.6441152402652448,1.649121711750159,1.6486829261399136,30.251720420880503,30.349018983382415,30.331194412402976,0.0022545044970147463,-0.0009566327618850629,-0.00036914071152416934,0.0,0.0,18.4,30.32,1.6478260869565218,1.6441152402652448,1.649121711750159,1.6486829261399136,30.251720420880503,30.349018983382415,30.331194412402976,0.0022545044970147463,-0.0009566327618850629,-0.00036914071152416934
2026-04-01,18.39,30.38,1.651984774333877,1.6441152402652448,1.6494277160652675,1.6491168928900806,30.235279268477854,30.327348279085427,30.31927901171301,0.004775066889180702,0.0017346082676629672,0.002000715973252148,0.0,0.0,18.39,30.38,1.651984774333877,1.6441152402652448,1.6494277160652675,1.6491168928900806,30.235279268477854,30.327348279085427,30.31927901171301,0.004775066889180702,0.0017346082676629672,0.002000715973252148
2026-04-02,18.42,30.43,1.6520086862106405,1.6441152402652448,1.6494322425669126,1.6494618066958804,30.28460272568581,30.38245852992223,30.376733167035287,0.004789541419502466,0.001563544080022648,0.001752004878923348,0.0,0.0,18.42,30.43,1.6520086862106405,1.6441152402652448,1.6494322425669126,1.6494618066958804,30.28460272568581,30.38245852992223,30.376733167035287,0.004789541419502466,0.001563544080022648,0.001752004878923348
2026-04-06,18.47,30.5,1.6513264753654575,1.6441152402652448,1.6491550540378843,1.649700088136111,30.36680848769907,30.465013520210874,30.46555956967291,0.0043764977400010075,0.0011477561181314079,0.0011298324573365672,0.0,0.0,18.47,30.5,1.6513264753654575,1.6441152402652448,1.6491550540378843,1.649700088136111,30.36680848769907,30.465013520210874,30.46555956967291,0.0043764977400010075,0.0011477561181314079,0.0011298324573365672
2026-04-07,18.53,30.47,1.6443604964921748,1.6441152402652448,1.6486398577499404,1.6495014022256587,30.465455402114987,30.558843151321998,30.568942633162138,0.00014916103813287257,-0.0029115155881757767,-0.0032419539249296156,0.0,0.0,18.53,30.47,1.6443604964921748,1.6441152402652448,1.6486398577499404,1.6495014022256587,30.465455402114987,30.558843151321998,30.568942633162138,0.00014916103813287257,-0.0029115155881757767,-0.0032419539249296156
2026-04-08,18.66,30.74,1.6473740621650588,1.6441152402652448,1.6488367234259058,1.6495498093508254,30.679190383349468,30.763619745613887,30.77969616553079,0.0019801510290357004,-0.0007680766391562207,-0.0012905190862216667,0.0,0.0,18.66,30.74,1.6473740621650588,1.6441152402652448,1.6488367234259058,1.6495498093508254,30.679190383349468,30.763619745613887,30.77969616553079,0.0019801510290357004,-0.0007680766391562207,-0.0012905190862216667
2026-04-09,18.77,30.84,1.6430474160895046,1.6441152402652448,1.6484830465302838,1.6492805126035215,30.860043059778643,30.948665298704253,30.962049921514993,-0.0006496935655050766,-0.0035173250695412026,-0.003949709769722933,0.0,0.0,18.77,30.84,1.6430474160895046,1.6441152402652448,1.6484830465302838,1.6492805126035215,30.860043059778643,30.948665298704253,30.962049921514993,-0.0006496935655050766,-0.0035173250695412026,-0.003949709769722933
2026-04-10,18.73,30.79,1.6438868126001067,1.6441152402652448,1.6480317929015265,1.6488556780862318,30.794278450168036,30.876087461512217,30.891024001063958,-0.00013894618180456636,-0.0027920538169693694,-0.003275694365773011,0.0,0.0,18.73,30.79,1.6438868126001067,1.6441152402652448,1.6480317929015265,1.6488556780862318,30.794278450168036,30.876087461512217,30.891024001063958,-0.00013894618180456636,-0.0027920538169693694,-0.003275694365773011
2026-04-13,18.83,30.99,1.6457780138077536,1.6441152402652448,1.647890861349478,1.6485651495897589,30.958689974194556,31.03243866033574,31.047952418363742,0.0010108374683795134,-0.001368493979778147,-0.001868289747213822,0.0,0.0,18.83,30.99,1.6457780138077536,1.6441152402652448,1.647890861349478,1.6485651495897589,30.958689974194556,31.03243866033574,31.047952418363742,0.0010108374683795134,-0.001368493979778147,-0.001868289747213822
2026-04-14,18.93,31.25,1.6508188061278395,1.6441152402652448,1.6478411630148933,1.6486221843167517,31.123101498221082,31.19457400534562,31.207338281734135,0.004069019298962693,0.0017752065761625615,0.0013661076848395111,0.0,0.0,18.93,31.25,1.6508188061278395,1.6441152402652448,1.6478411630148933,1.6486221843167517,31.123101498221082,31.19457400534562,31.207338281734135,0.004069019298962693,0.0017752065761625615,0.0013661076848395111
2026-04-15,19.0,31.36,1.6505263157894736,1.6441152402652448,1.6481111858981887,1.6486164488241737,31.23818956503965,31.30898209728297,31.323821502018284,0.0038918246535502086,0.0016281711392180298,0.0011543170512574197,0.0,0.0,19.0,31.36,1.6505263157894736,1.6441152402652448,1.6481111858981887,1.6486164488241737,31.23818956503965,31.30898209728297,31.323821502018284,0.0038918246535502086,0.0016281711392180298,0.0011543170512574197
2026-04-16,18.91,31.33,1.656795346377578,1.6441152402652448,1.6485922431025588,1.6490099795839128,31.09021919341578,31.16578252533475,31.175337047265124,0.007682830631517861,0.0052553259110303665,0.004948801996455543,0.0,0.0,18.91,31.33,1.656795346377578,1.6441152402652448,1.6485922431025588,1.6490099795839128,31.09021919341578,31.16578252533475,31.175337047265124,0.007682830631517861,0.0052553259110303665,0.004948801996455543
2026-04-17,18.96,31.46,1.6592827004219408,1.6441152402652448,1.6493196445236886,1.6493759435453004,31.172424955429044,31.257308929224518,31.265229212910988,0.009183009141039608,0.006463663059541369,0.006210305343613896,0.0,0.0,18.96,31.46,1.6592827004219408,1.6441152402652448,1.6493196445236886,1.6493759435453004,31.172424955429044,31.257308929224518,31.265229212910988,0.009183009141039608,0.006463663059541369,0.006210305343613896
2026-04-20,19.01,31.44,1.6538663861125722,1.6441152402652448,1.6495736355984,1.6493643448181423,31.254630717442307,31.353566442395323,31.354636686796162,0.005913419398451653,0.0027529448346219525,0.0027188107230533714,0.0,0.0,19.01,31.44,1.6538663861125722,1.6441152402652448,1.6495736355984,1.6493643448181423,31.254630717442307,31.353566442395323,31.354636686796162,0.005913419398451653,0.0027529448346219525,0.0027188107230533714
2026-04-21,18.89,31.24,1.6537850714663842,1.6441152402652448,1.6505160930958211,1.6495779754228805,31.057336888610475,31.16044597645378,31.15649247361471,0.005864251795850562,0.002549791604935798,0.0026766753364766186,0.0,0.0,18.89,31.24,1.6537850714663842,1.6441152402652448,1.6505160930958211,1.6495779754228805,31.057336888610475,31.16044597645378,31.15649247361471,0.005864251795850562,0.002549791604935798,0.0026766753364766186
2026-04-22,19.04,31.51,1.654936974789916,1.6441152402652448,1.651272384358307,1.6500545538921063,31.30395417465026,31.425826412544435,31.407964652051643,0.006560534743747584,0.002674903705659694,0.0032434436798133627,0.0,0.0,19.04,31.51,1.654936974789916,1.6441152402652448,1.651272384358307,1.6500545538921063,31.30395417465026,31.425826412544435,31.407964652051643,0.006560534743747584,0.002674903705659694,0.0032434436798133627
2026-04-23,19.07,31.49,1.6512847404299946,1.6441152402652448,1.652096116792356,1.6502895816613197,31.35327763185822,31.489764369712915,31.466540342722467,0.004351223838389102,7.4827300306173035e-06,0.0007452651697711565,0.0,0.0,19.07,31.49,1.6512847404299946,1.6441152402652448,1.652096116792356,1.6502895816613197,31.35327763185822,31.489764369712915,31.466540342722467,0.004351223838389102,7.4827300306173035e-06,0.0007452651697711565
2026-04-24,19.12,31.52,1.6485355648535565,1.6441152402652448,1.6525609920177007,1.6502963924596135,31.435483393871483,31.58807775306985,31.553536801364434,0.002684965704206623,-0.0021574981175491873,-0.0010634191841978166,0.0,0.0,19.12,31.52,1.6485355648535565,1.6441152402652448,1.6525609920177007,1.6502963924596135,31.435483393871483,31.58807775306985,31.553536801364434,0.002684965704206623,-0.0021574981175491873,-0.0010634191841978166
2026-04-27,19.07,31.49,1.6512847404299946,1.6441152402652448,1.653111664679925,1.6505012630147013,31.35327763185822,31.51433811777755,31.47115220420483,0.004351223838389102,-0.000772585498562044,0.0005987119262698775,0.0,0.0,19.07,31.49,1.6512847404299946,1.6441152402652448,1.653111664679925,1.6505012630147013,31.35327763185822,31.51433811777755,31.47115220420483,0.004351223838389102,-0.000772585498562044,0.0005987119262698775
2026-04-28,19.0,31.29,1.6468421052631579,1.6441152402652448,1.6527139945934568,1.6502775788041752,31.23818956503965,31.409121628918577,31.359523997279325,0.00165718685213389,-0.0037997907833798093,-0.0022194590280345283,0.0,0.0,19.0,31.29,1.6468421052631579,1.6441152402652448,1.6527139945934568,1.6502775788041752,31.23818956503965,31.409121628918577,31.359523997279325,0.00165718685213389,-0.0037997907833798093,-0.0022194590280345283
2026-04-29,18.92,31.17,1.6474630021141647,1.6441152402652448,1.652407663225926,1.6502594245620572,31.106660345818433,31.269348777708206,31.223251790975,0.002034138493297017,-0.0031822516888093586,-0.0017069731862551637,0.0,0.0,18.92,31.17,1.6474630021141647,1.6441152402652448,1.652407663225926,1.6502594245620572,31.106660345818433,31.269348777708206,31.223251790975,0.002034138493297017,-0.0031822516888093586,-0.0017069731862551637
2026-04-30,19.09,31.45,1.6474594028287062,1.6441152402652448,1.651474068871039,1.6500331559867987,31.386159936663525,31.544462290982924,31.503452414889672,0.002031953746576844,-0.002999068754625369,-0.0016981571521329033,0.0,0.0,19.09,31.45,1.6474594028287062,1.6441152402652448,1.651474068871039,1.6500331559867987,31.386159936663525,31.544462290982924,31.503452414889672,0.002031953746576844,-0.002999068754625369,-0.0016981571521329033
2026-05-01,19.0,31.41,1.6531578947368422,1.6441152402652448,1.6508615883025288,1.6500906164131088,31.23818956503965,31.37800730854974,31.350629963749174,0.005484942721898375,0.001019070220265297,0.001891952136064362,0.0,0.0,19.0,31.41,1.6531578947368422,1.6441152402652448,1.6508615883025288,1.6500906164131088,31.23818956503965,31.37800730854974,31.350629963749174,0.005484942721898375,0.001019070220265297,0.001891952136064362
2026-05-04,18.91,31.26,1.65309360126917,1.6441152402652448,1.6507843098181887,1.6501789727082943,31.09021919341578,31.21779263480082,31.20321355637189,0.005446050660748163,0.0013511159674522864,0.0018182368802225693,0.0,0.0,18.91,31.26,1.65309360126917,1.6441152402652448,1.6507843098181887,1.6501789727082943,31.09021919341578,31.21779263480082,31.20321355637189,0.005446050660748163,0.0013511159674522864,0.0018182368802225693
2026-05-05,18.95,31.45,1.6596306068601583,1.6441152402652448,1.651368863357566,1.6509424782266937,31.155983803026388,31.282362671054674,31.270891532822176,0.009392659955797732,0.005344537359703782,0.005711301279729412,0.0,0.0,18.95,31.45,1.6596306068601583,1.6441152402652448,1.651368863357566,1.6509424782266937,31.155983803026388,31.282362671054674,31.270891532822176,0.009392659955797732,0.005344537359703782,0.005711301279729412
2026-05-06,19.08,31.61,1.6567085953878409,1.6441152402652448,1.6515460254173586,1.6514092048878326,31.36971878426087,31.508117912862357,31.49998248456531,0.007630468545169566,0.003228302078408405,0.0034865364416392466,0.0,0.0,19.08,31.61,1.6567085953878409,1.6441152402652448,1.6515460254173586,1.6514092048878326,31.36971878426087,31.508117912862357,31.49998248456531,0.007630468545169566,0.003228302078408405,0.0034865364416392466
2026-05-07,19.0,31.52,1.6589473684210525,1.6441152402652448,1.6523122882164643,1.6522042025044101,31.23818956503965,31.379374482929812,31.37677489286882,0.008980894161021588,0.004471451505846096,0.004554298847129347,0.0,0.0,19.0,31.52,1.6589473684210525,1.6441152402652448,1.6523122882164643,1.6522042025044101,31.23818956503965,31.379374482929812,31.37677489286882,0.008980894161021588,0.004471451505846096,0.004554298847129347
2026-05-08,19.14,31.72,1.657262277951933,1.6441152402652448,1.653184959526302,1.6528729757720015,31.468365698676788,31.625257196463128,31.62318843593441,0.007964619079622579,0.002991317057546768,0.0030567340178775243,0.0,0.0,19.14,31.72,1.657262277951933,1.6441152402652448,1.653184959526302,1.6528729757720015,31.468365698676788,31.625257196463128,31.62318843593441,0.007964619079622579,0.002991317057546768,0.0030567340178775243
2026-05-11,19.06,31.68,1.6621196222455406,1.6441152402652448,1.6542684477078566,1.6536900561938908,31.336836479455563,31.509705328571314,31.50375891821435,0.010891277057952741,0.005389962900511617,0.005578697497020368,0.0,0.0,19.06,31.68,1.6621196222455406,1.6441152402652448,1.6542684477078566,1.6536900561938908,31.336836479455563,31.509705328571314,31.50375891821435,0.010891277057952741,0.005389962900511617,0.005578697497020368
2026-05-12,19.08,31.57,1.6546121593291405,1.6441152402652448,1.655045453114455,1.6538797238539558,31.36971878426087,31.563441982265903,31.552406272179432,0.00636424488754355,0.0002077509969921709,0.0005574479591384762,0.0,0.0,19.08,31.57,1.6546121593291405,1.6441152402652448,1.655045453114455,1.6538797238539558,31.36971878426087,31.563441982265903,31.552406272179432,0.00636424488754355,0.0002077509969921709,0.0005574479591384762
2026-05-13,19.03,31.58,1.6594850236468732,1.6441152402652448,1.6562476552677257,1.6543276592468257,31.28751302224761,31.49551497276808,31.47333114494078,0.00930493585722137,0.002678854950048007,0.003383451909109705,0.0,0.0,19.03,31.58,1.6594850236468732,1.6441152402652448,1.6562476552677257,1.6543276592468257,31.28751302224761,31.49551497276808,31.47333114494078,0.00930493585722137,0.002678854950048007,0.003383451909109705
2026-05-14,19.05,31.6,1.6587926509186353,1.6441152402652448,1.6573809800767187,1.6544275244738784,31.320395327052914,31.551517832850173,31.51494190865203,0.00888762735794019,0.0015354239561742907,0.002695340921510603,0.0,0.0,19.05,31.6,1.6587926509186353,1.6441152402652448,1.6573809800767187,1.6544275244738784,31.320395327052914,31.551517832850173,31.51494190865203,0.00888762735794019,0.0015354239561742907,0.002695340921510603
2026-05-15,18.84,31.23,1.657643312101911,1.6441152402652448,1.6578295218132255,1.6543455550578774,30.975131126597212,31.22505766464538,31.16941456108787,0.008194510484553953,0.00015826853900208606,0.0019418598195622993,0.0,0.0,18.84,31.23,1.657643312101911,1.6441152402652448,1.6578295218132255,1.6543455550578774,30.975131126597212,31.22505766464538,31.16941456108787,0.008194510484553953,0.00015826853900208606,0.0019418598195622993
2026-05-18,18.82,31.16,1.6556854410201913,1.6441152402652448,1.6580887057883278,1.6544365078032581,30.942248821791907,31.200351600524904,31.134783346189252,0.007012695183097684,-0.00129414299698479,0.0008095912316747396,0.0,0.0,18.82,31.16,1.6556854410201913,1.6441152402652448,1.6580887057883278,1.6544365078032581,30.942248821791907,31.200351600524904,31.134783346189252,0.007012695183097684,-0.00129414299698479,0.0008095912316747396
2026-05-19,18.7,30.97,1.656149732620321,1.6441152402652448,1.657740618364344,1.654554740860955,30.744954992960075,31.006258798241728,30.937962695920927,0.007293078462354214,-0.0011700868391105552,0.0010349979402924617,0.0,0.0,18.7,30.97,1.656149732620321,1.6441152402652448,1.657740618364344,1.654554740860955,30.744954992960075,31.006258798241728,30.937962695920927,0.007293078462354214,-0.0011700868391105552,0.0010349979402924617
2026-05-20,18.81,31.11,1.6539074960127593,1.6441152402652448,1.6574605084268357,1.6545032669220974,30.925807669389254,31.18210103143331,31.122174675594565,0.005938275934390311,-0.0023149343957933792,-0.000391266280291376,0.0,0.0,18.81,31.11,1.6539074960127593,1.6441152402652448,1.6574605084268357,1.6545032669220974,30.925807669389254,31.18210103143331,31.122174675594565,0.005938275934390311,-0.0023149343957933792,-0.000391266280291376
2026-05-21,18.81,31.13,1.654970760233918,1.6441152402652448,1.6570628476081222,1.6546875679122934,30.925807669389254,31.176832163508777,31.12120645080465,0.006580949478361307,-0.0015032756666332765,0.0002825181953956054,0.0,0.0,18.81,31.13,1.654970760233918,1.6441152402652448,1.6570628476081222,1.6546875679122934,30.925807669389254,31.176832163508777,31.12120645080465,0.006580949478361307,-0.0015032756666332765,0.0002825181953956054
2026-05-22,18.82,31.24,1.6599362380446332,1.6441152402652448,1.6573302436173922,1.6552576015718472,30.942248821791907,31.18592279198486,31.141220028109363,0.009576799152035307,0.0017325245386289817,0.0031669805241954997,0.0,0.0,18.82,31.24,1.6599362380446332,1.6441152402652448,1.6573302436173922,1.6552576015718472,30.942248821791907,31.18592279198486,31.141220028109363,0.009576799152035307,0.0017325245386289817,0.0031669805241954997
2026-05-26,18.9,31.34,1.6582010582010582,1.6441152402652448,1.6569383872129442,1.6556034174604004,31.073778041013124,31.32354160436871,31.28436866970791,0.008530923200061713,0.0005252941531345649,0.0017766676489492648,0.0,0.0,18.9,31.34,1.6582010582010582,1.6441152402652448,1.6569383872129442,1.6556034174604004,31.073778041013124,31.32354160436871,31.28436866970791,0.008530923200061713,0.0005252941531345649,0.0017766676489492648
2026-05-27,18.95,31.39,1.6564643799472296,1.6441152402652448,1.657123609274753,1.656084531194604,31.155983803026388,31.39898243768529,31.373684760874585,0.007483047663210445,-0.000286115092101787,0.0005198942527056249,0.0,0.0,18.95,31.39,1.6564643799472296,1.6441152402652448,1.657123609274753,1.656084531194604,31.155983803026388,31.39898243768529,31.373684760874585,0.007483047663210445,-0.000286115092101787,0.0005198942527056249
2026-05-28,19.0,31.5,1.6578947368421053,1.6441152402652448,1.6569645805942763,1.6566061179310008,31.23818956503965,31.485348576220307,31.465606092697474,0.008346175002930467,0.0004652327684184287,0.0010924665974819845,0.0,0.0,19.0,31.5,1.6578947368421053,1.6441152402652448,1.6569645805942763,1.6566061179310008,31.23818956503965,31.485348576220307,31.465606092697474,0.008346175002930467,0.0004652327684184287,0.0010924665974819845
2026-05-29,19.02,31.56,1.6593059936908516,1.6441152402652448,1.6570159148714978,1.6571984474741082,31.271071869844956,31.515466322903134,31.508648363047634,0.009197047198212915,0.0014120762665074376,0.0016284366205105514,0.0,0.0,19.02,31.56,1.6593059936908516,1.6441152402652448,1.6570159148714978,1.6571984474741082,31.271071869844956,31.515466322903134,31.508648363047634,0.009197047198212915,0.0014120762665074376,0.0016284366205105514
