date,XLRE,IYR,IYR/XLRE,IYR/XLRE avg,IYR/XLRE 10 dma,IYR/XLRE 20 dma,XLRE avg,XLRE 10 dma,XLRE 20 dma,avg diff,10 dma diff,20 dma diff,XLRE div,IYR div,XLRE*,IYR*,IYR*/XLRE*,IYR*/XLRE* avg,IYR*/XLRE* 10 dma,IYR*/XLRE* 20 dma,XLRE* avg,XLRE* 10 dma,XLRE* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-03-27,40.01,92.61,2.3146713321669585,2.3160735817361386,2.3108506554562056,2.3103323351566867,92.66610400526291,92.4292116478797,92.42748979531247,-0.0006056259362637387,0.001954055122004631,0.001972684174171352,0.0,0.0,40.01,92.61,2.3146713321669585,2.3165395559990167,2.3134861784553102,2.311650096656239,92.68474763552065,92.53465892307386,92.48021343290957,-0.0008067971761644204,0.0008138617827055903,0.0014024143789658486
2026-03-30,40.21,93.06,2.3143496642626213,2.3160735817361386,2.3115434894259153,2.310453279207705,93.12931872161013,92.91930485589403,92.89846319665037,-0.0007446047419777977,0.0015130196454413896,0.001737343288432905,0.0,0.0,40.21,93.06,2.3143496642626213,2.3165395559990167,2.31417901242502,2.3117710407072574,93.14805554672047,93.02527923568803,92.95145038654738,-0.0009457759818787774,0.0003731704609575645,0.0011671284272998085
2026-03-31,40.83,94.56,2.3159441587068335,2.3160735817361386,2.3128710513640143,2.31073561300117,94.56528434228653,94.38032067326012,94.33580739005059,-5.588192299386559e-05,0.0019019696829696466,0.002373718276922353,0.0,0.0,40.83,94.56,2.3159441587068335,2.3165395559990167,2.314861911441771,2.3120533745007226,94.58431007143984,94.48792907731355,94.38961159207732,-0.00025705316289472915,0.0007624619484564908,0.001803533256011122
2026-04-01,40.95,94.88,2.3169719169719167,2.3160735817361386,2.3141065581492595,2.311113459306804,94.84321317209488,94.71206955335639,94.62462335239792,0.00038779470103925134,0.001771492773465138,0.0026952039235243652,0.0,0.0,40.95,94.88,2.3169719169719167,2.3165395559990167,2.315442016037582,2.312431220806357,94.86229481815974,94.79359527354053,94.67858568580459,0.00018662346113829125,0.0009110886764367677,0.002125088549966195
2026-04-02,41.61,96.25,2.3131458783946166,2.3160735817361386,2.3152923291948277,2.3111962262306887,96.37182173604073,96.28997388459068,96.16543104175611,-0.001264880076253945,-0.00041522686804738694,0.0008790247562937045,0.0,0.0,41.61,96.25,2.3131458783946166,2.3165395559990167,2.315970821434296,2.3125139877302407,96.39121092511908,96.34554228732378,96.22026309775251,-0.001466051316154805,-0.0009921547926448897,0.00030900256492081613
2026-04-06,41.76,96.37,2.307710727969349,2.3160735817361386,2.31583428151874,2.3111469293346816,96.71923277330114,96.686607667176,96.51555440739355,-0.003617323960484824,-0.003279949387304528,-0.0015092310615911861,0.0,0.0,41.76,96.37,2.307710727969349,2.3165395559990167,2.31583428151874,2.312464690834234,96.73869185851893,96.71494150309618,96.57058412761485,-0.003818495200385605,-0.003572954652716725,-0.0020792328455489202
2026-04-07,41.72,96.46,2.3120805369127515,2.3160735817361386,2.3153584356531467,2.311313543430203,96.6265898300317,96.61660622496183,96.42104989184291,-0.0017255457410435902,-0.0016222188940179351,0.00040387698748398126,0.0,0.0,41.72,96.46,2.3120805369127515,2.3165395559990167,2.3153584356531463,2.312631304929755,96.64603027627898,96.61660622496183,96.47602690160424,-0.0019267169809444428,-0.0016222188940179351,-0.00016613695118004849
2026-04-08,42.44,98.19,2.3136192271442035,2.3160735817361386,2.3146776678736476,2.311523861730563,98.29416280888172,98.26381200911955,98.0921467831778,-0.0010602668138811713,-0.0007514439331866695,0.0009970669929238946,0.0,0.0,42.44,98.19,2.3136192271442035,2.3165395559990167,2.3146776678736476,2.3128416232301157,98.31393875659826,98.26381200911952,98.1480725812188,-0.0012614380537820412,-0.0007514439331863362,0.00042709413276099907
2026-04-09,42.73,98.9,2.3145331149075594,2.3160735817361386,2.313973045418538,2.311699939782001,98.9658241475852,98.90617674824095,98.77141461174695,-0.0006653412765647073,-6.245253150828837e-05,0.001301001529661035,0.0,0.0,42.73,98.9,2.3145331149075594,2.3165395559990167,2.313973045418538,2.313017701281553,98.98573522783798,98.90617674824095,98.82772256062283,-0.0008665125164655386,-6.245253150828837e-05,0.0007310805147643847
2026-04-10,42.82,99.02,2.312470808033629,2.3160735817361386,2.313549736547044,2.311851244777892,99.17427076994146,99.0843258048218,98.98699142146529,-0.001556763477557484,-0.0006494134524442696,0.0003334082155736626,0.0,0.0,42.82,99.02,2.312470808033629,2.3165395559990167,2.313549736547044,2.3131690062774446,99.1942237878779,99.0843258048218,99.04341796887611,-0.0017579347174583794,-0.0006494134524442696,-0.00023646940182477967
2026-04-13,43.02,99.45,2.311715481171548,2.3160735817361386,2.313254151447503,2.312052403451854,99.6374854862887,99.52890966625384,99.45584055034492,-0.0018834487889005495,-0.0007931460728466955,-5.8726785804057884e-05,0.0,0.0,43.02,99.45,2.311715481171548,2.3165395559990167,2.313254151447503,2.3133701649514067,99.65753169907771,99.52890966625384,99.51253065005568,-0.0020846200288013464,-0.0007931460728466955,-0.000628567116734776
2026-04-14,43.43,100.42,2.312226571494359,2.3160735817361386,2.3130418421706764,2.3122926657982963,100.5870756548005,100.46462779736505,100.41243588191402,-0.001662386189468662,-0.000444312724060172,7.532765368642811e-05,0.0,0.0,43.43,100.42,2.312226571494359,2.3165395559990167,2.3130418421706764,2.3136104272978484,100.60731291703729,100.46462779736505,100.46966626383958,-0.0018635574293694535,-0.000444312724060172,-0.0004944631127644202
2026-04-15,43.41,100.47,2.3144436765722185,2.3160735817361386,2.3128917939572147,2.312881422660615,100.54075418316577,100.40914636862905,100.37662462230404,-0.0007039840865768468,0.000605873076748263,0.0009298178109683607,0.0,0.0,43.41,100.47,2.3144436765722185,2.3165395559990167,2.312891793957215,2.313876852699493,100.5609821259173,100.40914636862905,100.4338286489996,-0.0009051553264776878,0.000605873076748263,0.00036008623264659504
2026-04-16,43.81,101.36,2.3136270257931977,2.3160735817361386,2.312557304839343,2.313331931494301,101.46718361586024,101.32778949326558,101.32733512676154,-0.0010568960622212092,0.0003178337193976029,0.00032231785474726523,0.0,0.0,43.81,101.36,2.3136270257931977,2.3165395559990167,2.312557304839343,2.313999660438463,101.48759794831693,101.3277894932656,101.37094491676478,-0.0012580673021221225,0.0003178337193976029,-0.00010797480157662113
2026-04-17,44.48,102.98,2.315197841726619,2.3160735817361386,2.3127625011725437,2.314027415183686,103.01895291562344,102.86254891925397,102.8970043128665,-0.0003781855736292207,0.0011411741071888158,0.0008062648075393581,0.0,0.0,44.48,102.98,2.315197841726619,2.3165395559990167,2.3127625011725432,2.3143666613034197,103.03967945083626,102.86254891925397,102.92670489630282,-0.000579356813530076,0.0011411741071888158,0.0005176626464317565
2026-04-20,44.64,103.23,2.3125,2.3160735817361386,2.3132414283756084,2.3145378549471745,103.38952468870123,103.24171805234235,103.29818381379974,-0.0015441398448543626,-0.0001135075783304718,-0.0006602858265429593,0.0,0.0,44.64,103.23,2.3125,2.3165395559990167,2.3132414283756084,2.3145378549471745,103.41032577979611,103.24171805234234,103.31332776058466,-0.001745311084755288,-0.00011350757833036077,-0.0008068792733130891
2026-04-21,43.78,101.45,2.317268158976702,2.3160735817361386,2.3137601905820033,2.314559313117575,101.39770140840815,101.27370973428414,101.3304672895873,0.0005156439278093127,0.0017392174835884735,0.0011789372601335754,0.0,0.0,43.78,101.45,2.317268158976702,2.3165395559990167,2.3137601905820033,2.314559313117575,101.41810176163696,101.27370973428414,101.3304672895873,0.0003144726879083594,0.0017392174835884735,0.0011789372601335754
