date,CWB,ICVT,ICVT/CWB,ICVT/CWB avg,ICVT/CWB 10 dma,ICVT/CWB 20 dma,CWB avg,CWB 10 dma,CWB 20 dma,avg diff,10 dma diff,20 dma diff,CWB div,ICVT div,CWB*,ICVT*,ICVT*/CWB*,ICVT*/CWB* avg,ICVT*/CWB* 10 dma,ICVT*/CWB* 20 dma,CWB* avg,CWB* 10 dma,CWB* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-02-04,92.81,102.8,1.1076392630104515,1.114300691884778,1.1071070328362678,1.1046668918446625,103.41824721382625,102.71194589570963,102.49974853785349,-0.005996065571191418,0.0008569244896679636,0.002925007734845433,0.0,0.0,92.81,102.8,1.1076392630104515,1.114300691884778,1.1071070328362678,1.1046668918446625,103.41824721382625,102.71194589570963,102.49974853785349,-0.005996065571191418,0.0008569244896679636,0.002925007734845433
2026-02-05,91.26,101.29,1.1099057637519176,1.114300691884778,1.10779194162496,1.1049938847010967,101.69108114140485,101.0345878166378,100.81190054974391,-0.003951911785505431,0.0025247778512299548,0.004731280020725992,0.0,0.0,91.26,101.29,1.1099057637519176,1.114300691884778,1.10779194162496,1.1049938847010967,101.69108114140485,101.0345878166378,100.81190054974391,-0.003951911785505431,0.0025247778512299548,0.004731280020725992
2026-02-06,93.95,104.41,1.1113358169238956,1.114300691884778,1.1083919201647239,1.1054588569694848,104.6885500025749,104.07705291566499,103.81417546766804,-0.0026642955424100567,0.0031939380668312613,0.005722929695294599,0.0,0.0,93.95,104.41,1.1113358169238956,1.114300691884778,1.1083919201647239,1.1054588569694848,104.6885500025749,104.07705291566499,103.81417546766804,-0.0026642955424100567,0.0031939380668312613,0.005722929695294599
2026-02-09,95.02,105.17,1.106819616922753,1.114300691884778,1.1084655574172984,1.1057348323985043,105.8808517428916,105.31940025405206,105.04070058924044,-0.0067363332117926856,-0.0014195515684885167,0.0012301888220109458,0.0,0.0,95.02,105.17,1.106819616922753,1.114300691884778,1.1084655574172984,1.1057348323985043,105.8808517428916,105.31940025405206,105.04070058924044,-0.0067363332117926856,-0.0014195515684885167,0.0012301888220109458
2026-02-10,94.59,104.68,1.106670895443493,1.114300691884778,1.1085015227386994,1.1059679798765738,105.40170244538115,104.84975707610225,104.59145779657453,-0.006870710548088539,-0.0016203628125535377,0.0008461947906427715,0.0,0.0,94.59,104.68,1.106670895443493,1.114300691884778,1.1085015227386994,1.1059679798765738,105.40170244538115,104.84975707610225,104.59145779657453,-0.006870710548088539,-0.0016203628125535377,0.0008461947906427715
2026-02-11,94.5,104.4,1.1047619047619048,1.114300691884778,1.1083436382122784,1.1060957258539021,105.30141538311152,104.75339389880709,104.51397409833622,-0.00859718503611328,-0.0033792828174523,-0.0010911104452013384,0.0,0.0,94.5,104.4,1.1047619047619048,1.114300691884778,1.1083436382122784,1.1060957258539021,105.30141538311152,104.75339389880709,104.51397409833622,-0.00859718503611328,-0.0033792828174523,-0.0010911104452013384
2026-02-12,93.91,103.84,1.1057395378553936,1.114300691884778,1.108097089994021,1.1063998297002149,104.6439779748995,104.08455106451507,103.87344961493994,-0.007712649845696963,-0.0023523068923657765,-0.0003220746205033539,0.0,0.0,93.91,103.84,1.1057395378553936,1.114300691884778,1.108097089994021,1.1063998297002149,104.6439779748995,104.08455106451507,103.87344961493994,-0.007712649845696963,-0.0023523068923657765,-0.0003220746205033539
2026-02-13,94.51,104.73,1.1081367051105704,1.114300691884778,1.1080756427320586,1.1067329627553588,105.31255839003038,104.72625597533494,104.56584790496731,-0.005547065206865084,3.574994356722947e-05,0.0015686133321278753,0.0,0.0,94.51,104.73,1.1081367051105704,1.114300691884778,1.1080756427320586,1.1067329627553588,105.31255839003038,104.72625597533494,104.56584790496731,-0.005547065206865084,3.574994356722947e-05,0.0015686133321278753
2026-02-17,94.78,104.81,1.1058240135049588,1.114300691884778,1.107828796587351,1.106895821754177,105.61341957683926,105.02340941814451,104.8961502099529,-0.0076362553423109545,-0.002034084965955532,-0.0008216279275846038,0.0,0.0,94.78,104.81,1.1058240135049588,1.114300691884778,1.107828796587351,1.106895821754177,105.61341957683926,105.02340941814451,104.8961502099529,-0.0076362553423109545,-0.002034084965955532,-0.0008216279275846038
2026-02-18,94.91,105.1,1.1073648719839848,1.114300691884778,1.1074198389269323,1.107055172645826,105.75827866678428,105.14403108410548,105.05548244268893,-0.00624382224445008,-0.00041885693041728624,0.00042366306564551795,0.0,0.0,94.91,105.1,1.1073648719839848,1.114300691884778,1.1074198389269323,1.107055172645826,105.75827866678428,105.14403108410548,105.05548244268893,-0.00624382224445008,-0.00041885693041728624,0.00042366306564551795
