date,FHLC,IYH,VHT,XLV,FHLC scalar,IYH scalar,VHT scalar,XLV scalar,FHLC unit price div,FHLC unit price no div,IYH unit price div,IYH unit price no div,VHT unit price div,VHT unit price no div,XLV unit price div,XLV unit price no div,max_unit_price,min_unit_price,pct_diff,max_sym,min_sym,max_unit_price_no,min_unit_price_no,pct_diff_no,max_sym_no,min_sym_no
7/10/2026,78.41,67.89,303.46,160.84,3.824631587,4.248448464,1,1.749900198,303.1037628,303.1228628,300.0330662,299.7404662,303.46,303.46,298.4955478,298.6570478,303.46,298.4955478,1.65%,VHT unit price div,XLV unit price div,303.46,298.6570478,1.60%,VHT unit price no div,XLV unit price no div
7/13/2026,78.45,68,303.59,161.41,3.824631587,4.248448464,1,1.749900198,303.256748,303.275848,300.5003955,300.2077955,303.59,303.59,299.4929909,299.6544909,303.59,299.4929909,1.36%,VHT unit price div,XLV unit price div,303.59,299.6544909,1.30%,VHT unit price no div,XLV unit price no div
7/14/2026,77.16,66.74,298.59,158.29,3.824631587,4.248448464,1,1.749900198,298.3229733,298.3420733,295.1473505,294.8547505,298.59,298.59,294.0333023,294.1948023,298.59,294.0333023,1.54%,VHT unit price div,XLV unit price div,298.59,294.1948023,1.48%,VHT unit price no div,XLV unit price no div
7/15/2026,77.22,66.81,299.01,158.29,3.824631587,4.248448464,1,1.749900198,298.5524512,298.5715512,295.4447419,295.1521419,299.01,299.01,294.0333023,294.1948023,299.01,294.0333023,1.68%,VHT unit price div,XLV unit price div,299.01,294.1948023,1.62%,VHT unit price no div,XLV unit price no div
7/16/2026,78.61,68.12,304.15,161.8,3.824631587,4.248448464,1,1.749900198,303.8686891,303.8877891,301.0102094,300.7176094,304.15,304.15,300.175452,300.336952,304.15,300.175452,1.32%,VHT unit price div,XLV unit price div,304.15,300.336952,1.26%,VHT unit price no div,XLV unit price no div
7/17/2026,78.39,67.8,303.25,161.09,3.824631587,4.248448464,1,1.749900198,303.0272701,303.0463701,299.6507059,299.3581059,303.25,303.25,298.9330228,299.0945228,303.25,298.9330228,1.43%,VHT unit price div,XLV unit price div,303.25,299.0945228,1.38%,VHT unit price no div,XLV unit price no div
7/20/2026,77.43,66.99,299.49,159.25,3.824631587,4.248448464,1,1.749900198,299.3556238,299.3747238,296.2094626,295.9168626,299.49,299.49,295.7132065,295.8747065,299.49,295.7132065,1.27%,VHT unit price div,XLV unit price div,299.49,295.8747065,1.21%,VHT unit price no div,XLV unit price no div
7/21/2026,78.03,67.42,301.92,160.25,3.824631587,4.248448464,1,1.749900198,301.6504028,301.6695028,298.0362954,297.7436954,301.92,301.92,297.4631067,297.6246067,301.92,297.4631067,1.49%,VHT unit price div,XLV unit price div,301.92,297.6246067,1.43%,VHT unit price no div,XLV unit price no div
7/22/2026,77.5,67.12,299.8,159.43,3.824631587,4.248448464,1,1.749900198,299.623348,299.642448,296.7617609,296.4691609,299.8,299.8,296.0281885,296.1896885,299.8,296.0281885,1.27%,VHT unit price div,XLV unit price div,299.8,296.1896885,1.21%,VHT unit price no div,XLV unit price no div
7/23/2026,78.4,67.98,303.31,161.44,3.824631587,4.248448464,1,1.749900198,303.0655164,303.0846164,300.4154266,300.1228266,303.31,303.31,299.5454879,299.7069879,303.31,299.5454879,1.25%,VHT unit price div,XLV unit price div,303.31,299.7069879,1.20%,VHT unit price no div,XLV unit price no div
7/24/2026,78.84,68.41,305.07,162.57,3.824631587,4.248448464,1,1.749900198,304.7483543,304.7674543,302.2422594,301.9496594,305.07,305.07,301.5228751,301.6843751,305.07,301.5228751,1.17%,VHT unit price div,XLV unit price div,305.07,301.6843751,1.12%,VHT unit price no div,XLV unit price no div
7/27/2026,79.26,68.72,306.67,163.4,3.824631587,4.248448464,1,1.749900198,306.3546996,306.3737996,303.5592784,303.2666784,306.67,306.67,302.9752923,303.1367923,306.67,302.9752923,1.21%,VHT unit price div,XLV unit price div,306.67,303.1367923,1.16%,VHT unit price no div,XLV unit price no div
7/28/2026,81,70.29,313.23,167.26,3.824631587,4.248448464,1,1.749900198,313.0095586,313.0286586,310.2293425,309.9367425,313.23,313.23,309.729907,309.891407,313.23,309.729907,1.12%,VHT unit price div,XLV unit price div,313.23,309.891407,1.07%,VHT unit price no div,XLV unit price no div
7/29/2026,80.5,69.87,311.32,166.24,3.824631587,4.248448464,1,1.749900198,311.0972428,311.1163428,308.4449942,308.1523942,311.32,311.32,307.9450088,308.1065088,311.32,307.9450088,1.09%,VHT unit price div,XLV unit price div,311.32,308.1065088,1.04%,VHT unit price no div,XLV unit price no div
7/30/2026,79.44,68.82,307.15,163.52,3.824631587,4.248448464,1,1.749900198,307.0431333,307.0622333,303.9841233,303.6915233,307.15,307.15,303.1852803,303.3467803,307.15,303.1852803,1.30%,VHT unit price div,XLV unit price div,307.15,303.3467803,1.25%,VHT unit price no div,XLV unit price no div
7/31/2026,78.75,68.34,304.81,162.55,3.824631587,4.248448464,1,1.749900198,304.4041375,304.4232375,301.944868,301.652268,304.81,304.81,301.4878771,301.6493771,304.81,301.4878771,1.10%,VHT unit price div,XLV unit price div,304.81,301.6493771,1.04%,VHT unit price no div,XLV unit price no div
8/3/2026,78.72,68.24,304.52,162.24,3.824631587,4.248448464,1,1.749900198,304.2893986,304.3084986,301.5200232,301.2274232,304.52,304.52,300.9454081,301.1069081,304.52,300.9454081,1.18%,VHT unit price div,XLV unit price div,304.52,301.1069081,1.13%,VHT unit price no div,XLV unit price no div
8/4/2026,78.86,68.24,304.99,162.1,3.824631587,4.248448464,1,1.749900198,304.824847,304.843947,301.5200232,301.2274232,304.99,304.99,300.700422,300.861922,304.99,300.700422,1.42%,VHT unit price div,XLV unit price div,304.99,300.861922,1.36%,VHT unit price no div,XLV unit price no div
8/5/2026,79.72,69.1,308.54,164.16,3.824631587,4.248448464,1,1.749900198,308.1140301,308.1331301,305.1736889,304.8810889,308.54,308.54,304.3052164,304.4667164,308.54,304.3052164,1.38%,VHT unit price div,XLV unit price div,308.54,304.4667164,1.33%,VHT unit price no div,XLV unit price no div
8/6/2026,79.84,69.24,309.02,164.45,3.824631587,4.248448464,1,1.749900198,308.5729859,308.5920859,305.7684716,305.4758716,309.02,309.02,304.8126875,304.9741875,309.02,304.8126875,1.37%,VHT unit price div,XLV unit price div,309.02,304.9741875,1.32%,VHT unit price no div,XLV unit price no div
8/7/2026,80.67,70,312.12,165.68,3.824631587,4.248448464,1,1.749900198,311.7474302,311.7665302,308.9972925,308.7046925,312.12,312.12,306.9650647,307.1265647,312.12,306.9650647,1.67%,VHT unit price div,XLV unit price div,312.12,307.1265647,1.61%,VHT unit price no div,XLV unit price no div
8/10/2026,81.9,71.14,316.72,168.44,3.824631587,4.248448464,1,1.749900198,316.451727,316.470827,313.8405237,313.5479237,316.72,316.72,311.7947893,311.9562893,316.72,311.7947893,1.57%,VHT unit price div,XLV unit price div,316.72,311.9562893,1.52%,VHT unit price no div,XLV unit price no div
8/11/2026,81.61,70.89,315.71,168.01,3.824631587,4.248448464,1,1.749900198,315.3425838,315.3616838,312.7784116,312.4858116,315.71,315.71,311.0423322,311.2038322,315.71,311.0423322,1.49%,VHT unit price div,XLV unit price div,315.71,311.2038322,1.44%,VHT unit price no div,XLV unit price no div
8/12/2026,81.89,71.17,316.68,168.44,3.824631587,4.248448464,1,1.749900198,316.4134807,316.4325807,313.9679772,313.6753772,316.68,316.68,311.7947893,311.9562893,316.68,311.7947893,1.55%,VHT unit price div,XLV unit price div,316.68,311.9562893,1.50%,VHT unit price no div,XLV unit price no div
8/13/2026,81.73,71.11,316.22,168.38,3.824631587,4.248448464,1,1.749900198,315.8015396,315.8206396,313.7130703,313.4204703,316.22,316.22,311.6897953,311.8512953,316.22,311.6897953,1.44%,VHT unit price div,XLV unit price div,316.22,311.8512953,1.39%,VHT unit price no div,XLV unit price no div
8/14/2026,81.34,70.65,314.7,167.37,3.824631587,4.248448464,1,1.749900198,314.3099333,314.3290333,311.758784,311.466184,314.7,314.7,309.9223961,310.0838961,314.7,309.9223961,1.53%,VHT unit price div,XLV unit price div,314.7,310.0838961,1.48%,VHT unit price no div,XLV unit price no div
8/17/2026,81.29,70.6,314.34,167.05,3.824631587,4.248448464,1,1.749900198,314.1187017,314.1378017,311.5463616,311.2537616,314.34,314.34,309.362428,309.523928,314.34,309.362428,1.60%,VHT unit price div,XLV unit price div,314.34,309.523928,1.54%,VHT unit price no div,XLV unit price no div
8/18/2026,82.37,71.67,318.84,169.73,3.824631587,4.248448464,1,1.749900198,318.2493038,318.2684038,316.0922014,315.7996014,318.84,318.84,314.0521605,314.2136605,318.84,314.0521605,1.51%,VHT unit price div,XLV unit price div,318.84,314.2136605,1.46%,VHT unit price no div,XLV unit price no div
8/19/2026,85.19,74.33,329.48,175.68,3.824631587,4.248448464,1,1.749900198,329.0347649,329.0538649,327.3930743,327.1004743,329.48,329.48,324.4640667,324.6255667,329.48,324.4640667,1.53%,VHT unit price div,XLV unit price div,329.48,324.6255667,1.48%,VHT unit price no div,XLV unit price no div
8/20/2026,83.64,72.98,323.69,172.39,3.824631587,4.248448464,1,1.749900198,323.106586,323.125686,321.6576689,321.3650689,323.69,323.69,318.7068951,318.8683951,323.69,318.7068951,1.55%,VHT unit price div,XLV unit price div,323.69,318.8683951,1.50%,VHT unit price no div,XLV unit price no div
8/21/2026,84.66,73.89,327.7,174.62,3.824631587,4.248448464,1,1.749900198,327.0077102,327.0268102,325.523757,325.231157,327.7,327.7,322.6091725,322.7706725,327.7,322.6091725,1.57%,VHT unit price div,XLV unit price div,327.7,322.7706725,1.52%,VHT unit price no div,XLV unit price no div
8/24/2026,84.61,73.84,327.49,174.7,3.824631587,4.248448464,1,1.749900198,326.8164786,326.8355786,325.3113346,325.0187346,327.49,327.49,322.7491645,322.9106645,327.49,322.7491645,1.46%,VHT unit price div,XLV unit price div,327.49,322.9106645,1.41%,VHT unit price no div,XLV unit price no div
8/25/2026,85.01,74.13,329.01,175.29,3.824631587,4.248448464,1,1.749900198,328.3463312,328.3654312,326.5433846,326.2507846,329.01,329.01,323.7816056,323.9431056,329.01,323.7816056,1.60%,VHT unit price div,XLV unit price div,329.01,323.9431056,1.55%,VHT unit price no div,XLV unit price no div
