,bop date,eop date,day count,bop XLF price,eop XLF price,bop VFH price,eop VFH price,eop VFH / eop XLF,bop VFH / XLF moving avg,eop VFH / XLF moving avg,eop XLF unit price,eop VFH / eop VFH,bop VFH / VFH moving avg,eop VFH / VFH moving avg,eop VFH unit price,XLF unit price pct diff,VFH unit price pct diff,unit price pct diff,month end liquidation,go long,exit long,current_position,new_position,XLF shares per unit,bop XLF shares,eop XLF shares,eop XLF shares bought,eop XLF shares sold,eop XLF shares traded,VFH shares per unit,bop VFH shares,eop VFH shares,eop VFH shares bought,eop VFH shares sold,eop VFH shares traded,XLF daily commission,VFH daily commission,daily total commissions,XLF cop,XLF pct cop,XLF daily position pnl,VFH cop,VFH pct cop,VFH daily position pnl,daily position pnl,short XLF investment amount,long XLF investment amount,XLF investment amount,daily XLF borrow cost,short VFH investment amount,long VFH investment amount,VFH investment amount,daily VFH borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
547,2026-03-10,2026-03-11,1,50.06,49.64,122.22,121.11,2.4397663174858986,2.448322581224542,2.4476031473322637,121.53473293198627,1.0,1.0,1.0,121.11,0.0035008661482167323,0.0,0.0035008661482167323,False,False,True,0,0,2022.0,0.0,0.0,0.0,-0.0,0.0,826.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.4200000000000017,-0.008425325667221682,-0.0,-1.1099999999999994,-0.00912347593381028,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.1491608333662,-703.8194880555117
548,2026-03-11,2026-03-12,1,49.64,48.83,121.11,119.13,2.439688715953307,2.4476031473322637,2.4469292592770655,119.51646168423443,1.0,1.0,1.0,119.13,0.0032387827527768885,0.0,0.0032387827527768885,False,False,True,0,0,2054.0,0.0,0.0,0.0,-0.0,0.0,839.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.8100000000000023,-0.016452082262837637,-0.0,-1.980000000000004,-0.01648388972168937,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.1491608333662,-703.8194880555117
549,2026-03-12,2026-03-13,1,48.83,48.89,119.13,119.23,2.438740028635713,2.4469292592770655,2.4461442641911493,119.63037148605574,1.0,1.0,1.0,119.23,0.0033523506517314844,0.0,0.0033523506517314844,False,False,True,0,0,2053.0,0.0,0.0,0.0,-0.0,0.0,839.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.060000000000002274,0.0012279985169852807,0.0,0.10000000000000853,0.0008390670067708234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.1491608333662,-703.8194880555117
550,2026-03-13,2026-03-16,3,48.89,49.3,119.23,120.18,2.4377281947261666,2.4461442641911493,2.445271719426006,120.59491222462366,1.0,1.0,1.0,120.18,0.0034464773052230685,0.0,0.0034464773052230685,False,False,True,0,0,2035.0,0.0,0.0,0.0,-0.0,0.0,832.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.4099999999999966,0.008351204458090235,0.0,0.9500000000000028,0.007936218087741248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.1491608333662,-703.8194880555117
551,2026-03-16,2026-03-17,1,49.3,49.56,120.18,120.88,2.439063761097659,2.445271719426006,2.4446291220402756,121.18766641475285,1.0,1.0,1.0,120.88,0.0025419882380859644,0.0,0.0025419882380859644,False,False,True,0,0,2022.0,0.0,0.0,0.0,-0.0,0.0,827.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.2600000000000051,0.005259975712297454,0.0,0.6999999999999886,0.00580769905870209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.1491608333662,-703.8194880555117
552,2026-03-17,2026-03-18,1,49.56,48.97,120.88,119.34,2.4370022462732286,2.4446291220402756,2.4439084033974816,119.7134881063123,1.0,1.0,1.0,119.34,0.003124726714202099,0.0,0.003124726714202099,False,False,True,0,0,2049.0,0.0,0.0,0.0,-0.0,0.0,838.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.5900000000000034,-0.011976191046715762,-0.0,-1.539999999999992,-0.012821755870548191,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.1491608333662,-703.8194880555117
553,2026-03-18,2026-03-19,1,48.97,48.99,119.34,119.45,2.4382527046335984,2.4439084033974816,2.4432131766924403,119.72707268244262,1.0,1.0,1.0,119.45,0.0023168843340869525,0.0,0.0023168843340869525,False,False,True,0,0,2046.0,0.0,0.0,0.0,-0.0,0.0,837.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.020000000000003126,0.0004083299362574872,0.0,0.10999999999999943,0.0009213116778826311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.1491608333662,-703.8194880555117
554,2026-03-19,2026-03-20,1,48.99,49.08,119.45,119.52,2.43520782396088,2.4432131766924403,2.442483569795609,119.91290271206496,1.0,1.0,1.0,119.52,0.003281947136614766,0.0,0.003281947136614766,False,False,True,0,0,2045.0,0.0,0.0,0.0,-0.0,0.0,837.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0899999999999963,0.0018354241922271825,0.0,0.06999999999999318,0.0005858476126885617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.1491608333662,-703.8194880555117
555,2026-03-20,2026-03-23,3,49.08,49.27,119.52,120.78,2.4513902983559976,2.442483569795609,2.4426600234084614,120.34116548382967,1.0,1.0,1.0,120.78,-0.003639954209820489,0.0,-0.003639954209820489,False,True,False,0,1,2022.0,0.0,2022.0,2022.0,-0.0,2022.0,828.0,0.0,-828.0,0.0,828.0,-828.0,-10.11,-4.14,-14.25,0.19000000000000483,0.0038637567131611147,0.0,1.2600000000000051,0.010486987495248071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.25,705.8991608333662,-718.0694880555117
556,2026-03-23,2026-03-24,1,49.27,49.28,120.78,120.45,2.4441964285714284,2.4426600234084614,2.4424492877558244,120.37428595356899,1.0,1.0,1.0,120.45,-0.0006287908100784074,0.0,-0.0006287908100784074,False,False,True,1,0,2027.0,2022.0,0.0,0.0,2022.0,-2022.0,830.0,-828.0,0.0,828.0,-0.0,828.0,-10.11,-4.14,-14.25,0.00999999999999801,0.00020294266939266736,20.219999999995977,-0.3299999999999983,-0.0027359798188747488,273.2399999999986,293.4599999999946,0.0,99623.94,99623.94,0.0,-100005.84,0.0,-100005.84,-2.77794,-381.8999999999942,199629.78,-100005.84,-2.77794,276.4320599999946,982.3312208333607,-441.63742805551715
