,bop date,eop date,day count,bop XLE price,eop XLE price,bop VDE price,eop VDE price,eop VDE / eop XLE,bop VDE / XLE moving avg,eop VDE / XLE moving avg,eop XLE unit price,eop VDE / eop VDE,bop VDE / VDE moving avg,eop VDE / VDE moving avg,eop VDE unit price,XLE unit price pct diff,VDE unit price pct diff,unit price pct diff,month end liquidation,go short,exit short,current_position,new_position,XLE shares per unit,bop XLE shares,eop XLE shares,eop XLE shares bought,eop XLE shares sold,eop XLE shares traded,VDE shares per unit,bop VDE shares,eop VDE shares,eop VDE shares bought,eop VDE shares sold,eop VDE shares traded,XLE daily commission,VDE daily commission,daily total commissions,XLE cop,XLE pct cop,XLE daily position pnl,VDE cop,VDE pct cop,VDE daily position pnl,daily position pnl,short XLE investment amount,long XLE investment amount,XLE investment amount,daily XLE borrow cost,short VDE investment amount,long VDE investment amount,VDE investment amount,daily VDE borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
36,2024-02-23,2024-02-26,3,42.98,43.13,119.87,120.26,2.788314398330628,2.786238604411171,2.7859866685413524,120.17047100825381,1.0,1.0,1.0,120.26,-0.0007447391797616477,0.0,-0.0007447391797616477,False,False,True,0,0,2318.0,0.0,0.0,0.0,-0.0,0.0,832.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.15000000000000568,0.0034839194453874316,0.0,0.39000000000000057,0.0032482433924141793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.377100000017748,0.0
37,2024-02-26,2024-02-27,1,43.13,42.945,120.26,119.82,2.790080335312609,2.7859866685413524,2.7856951308079934,119.64419748050838,1.0,1.0,1.0,119.82,-0.001468299252462171,0.0,-0.001468299252462171,False,False,True,0,0,2326.0,0.0,0.0,0.0,-0.0,0.0,835.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.18500000000000227,-0.004298583441563724,-0.0,-0.44000000000001194,-0.0036654489556438292,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.377100000017748,0.0
38,2024-02-27,2024-02-28,1,42.945,42.86,119.82,119.57,2.789780681287914,2.7856951308079934,2.7855253413429772,119.39489330643059,1.0,1.0,1.0,119.57,-0.001465543515518023,0.0,-0.001465543515518023,False,False,True,0,0,2329.0,0.0,0.0,0.0,-0.0,0.0,836.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.08500000000000085,-0.0019812371727571704,-0.0,-0.25,-0.0020886427242902683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.377100000017748,0.0
39,2024-02-28,2024-02-29,1,42.86,43.07,119.57,120.08,2.788019503134432,2.7855253413429772,2.785422659863804,119.97257645164203,1.0,1.0,1.0,120.08,-0.0008950002296714455,0.0,-0.0008950002296714455,True,False,True,0,0,2320.0,0.0,0.0,0.0,-0.0,0.0,833.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.21000000000000085,0.00488770902058825,0.0,0.5100000000000051,0.004256213393718021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.377100000017748,0.0
40,2024-02-29,2024-03-01,1,43.07,43.57,120.08,121.68,2.7927473031902688,2.785422659863804,2.785683526222358,121.36086529026595,1.0,1.0,1.0,121.68,-0.0026261829900188966,0.0,-0.0026261829900188966,False,False,True,0,0,2290.0,0.0,0.0,0.0,-0.0,0.0,822.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.5,0.011542141063331558,0.0,1.6000000000000085,0.013236460625831005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.377100000017748,0.0
41,2024-03-01,2024-03-04,3,43.57,43.105,121.68,120.31,2.7910915207052547,2.785683526222358,2.786313293828502,120.07688839781473,1.0,1.0,1.0,120.31,-0.0019394707990161631,0.0,-0.0019394707990161631,False,False,True,0,0,2315.0,0.0,0.0,0.0,-0.0,0.0,831.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.4650000000000034,-0.010729840467462464,-0.0,-1.3700000000000045,-0.011322902905604285,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.377100000017748,0.0
42,2024-03-04,2024-03-05,1,43.105,43.425,120.31,121.12,2.789176741508348,2.786313293828502,2.787013278425225,120.99565478450268,1.0,1.0,1.0,121.12,-0.001027155609087105,0.0,-0.001027155609087105,False,False,True,0,0,2301.0,0.0,0.0,0.0,-0.0,0.0,826.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.3200000000000003,0.007396312465280389,0.0,0.8100000000000023,0.006710044643705586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.377100000017748,0.0
43,2024-03-05,2024-03-06,1,43.425,43.56,121.12,121.48,2.7887970615243343,2.787013278425225,2.787388762035062,121.40229840820281,1.0,1.0,1.0,121.48,-0.0006398292091043896,0.0,-0.0006398292091043896,False,False,True,0,0,2294.0,0.0,0.0,0.0,-0.0,0.0,823.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.13500000000000512,0.003103985937591234,0.0,0.35999999999999943,0.0029678504884092824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.377100000017748,0.0
44,2024-03-06,2024-03-07,1,43.56,43.93,121.48,122.51,2.7887548372410653,2.787388762035062,2.7878056083747276,122.44998831620028,1.0,1.0,1.0,122.51,-0.000489971324809597,0.0,-0.000489971324809597,False,False,True,0,0,2275.0,0.0,0.0,0.0,-0.0,0.0,816.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.36999999999999744,0.008458159922928513,0.0,1.0300000000000011,0.008443019128531078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.377100000017748,0.0
45,2024-03-07,2024-03-08,1,43.93,44.085,122.51,122.91,2.7880231371214697,2.7878056083747276,2.78812155071715,122.90041024519986,1.0,1.0,1.0,122.91,-7.8025619789144e-05,0.0,-7.8025619789144e-05,False,False,True,0,0,2269.0,0.0,0.0,0.0,-0.0,0.0,814.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.15500000000000114,0.003522130551302152,0.0,0.3999999999999915,0.0032597209208101033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.377100000017748,0.0
46,2024-03-08,2024-03-11,3,44.085,44.54,122.91,124.16,2.78760664571172,2.78812155071715,2.7882508927254586,124.18293386894186,1.0,1.0,1.0,124.16,0.00018469516043623926,0.0,0.00018469516043623926,False,True,False,0,-1,2244.0,0.0,-2244.0,0.0,2244.0,-2244.0,805.0,0.0,805.0,805.0,-0.0,805.0,-11.22,-4.025,-15.245000000000001,0.4549999999999983,0.010268073290231095,0.0,1.25,0.010118676208019185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.245000000000001,7.132100000017747,-15.245000000000001
47,2024-03-11,2024-03-12,1,44.54,44.47,124.16,123.99,2.7881718012143017,2.7882508927254586,2.788362320255009,123.99351719950114,1.0,1.0,1.0,123.99,2.8366397421100544e-05,0.0,2.8366397421100544e-05,False,True,False,-1,-1,2250.0,-2244.0,-2250.0,0.0,6.0,-6.0,807.0,805.0,807.0,2.0,-0.0,2.0,-0.03,-0.01,-0.04,-0.07000000000000028,-0.0015728573066164588,157.08000000000064,-0.1700000000000017,-0.0013701392431579602,-136.8500000000014,20.22999999999925,-99947.76,0.0,-99947.76,-2.7763266666666664,0.0,99948.8,99948.8,0.0,1.040000000008149,199896.56,-99947.76,-2.7763266666666664,17.413673333332586,24.545773333350333,0.0
