date,XLE,IYE,IYE/XLE,IYE/XLE avg,IYE/XLE 10 dma,IYE/XLE 20 dma,XLE avg,XLE 10 dma,XLE 20 dma,avg diff,10 dma diff,20 dma diff,XLE div,IYE div,XLE*,IYE*,IYE*/XLE*,IYE*/XLE* avg,IYE*/XLE* 10 dma,IYE*/XLE* 20 dma,XLE* avg,XLE* 10 dma,XLE* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-02-25,54.87,57.93,1.055768179332969,1.0597116636322679,1.056631604008906,1.05700399516022,58.14637898350254,57.984743413200476,58.00498940369031,-0.0037282216421597294,-0.0009445462355958572,-0.0012936459395741636,0.0,0.0,54.87,57.93,1.055768179332969,1.059991528542074,1.056631604008906,1.05700399516022,58.1617351711036,57.984743413200476,58.00498940369031,-0.003992282112951639,-0.0009445462355958572,-0.0012936459395741636
2026-02-26,55.05,58.16,1.0564940962761127,1.0597116636322679,1.0566607880999586,1.056901627046953,58.33712708295634,58.16756980069028,58.188069933570105,-0.003040885623233603,-0.00013014628800276152,-0.00048251654076852057,0.0,0.0,55.05,58.16,1.0564940962761127,1.059991528542074,1.0566607880999586,1.056901627046953,58.35253364624117,58.16756980069028,58.188069933570105,-0.0033049460940254923,-0.00013014628800276152,-0.00048251654076852057
2026-02-27,55.92,59.06,1.0561516452074393,1.0597116636322679,1.056718338689617,1.056788995488279,59.259076230316424,59.08847127054968,59.101938984465605,-0.003365077289586817,-0.00048195750304033994,-0.0007098560938847135,0.0,0.0,55.92,59.06,1.0561516452074393,1.059991528542074,1.056718338689617,1.056788995488279,59.27472627607278,59.08847127054968,59.101938984465605,-0.003629137760378657,-0.00048195750304033994,-0.0007098560938847135
2026-03-02,57.04,60.29,1.0569775596072932,1.0597116636322679,1.056785919857338,1.0567779322345594,60.44595329358456,60.27521403885576,60.279244302651435,-0.0025833792845347675,0.00024527740171570136,0.00017841527396650627,0.0,0.0,57.04,60.29,1.0569775596072932,1.059991528542074,1.056785919857338,1.0567779322345594,60.4619167880399,60.27521403885576,60.279244302651435,-0.002847439755326746,0.00024527740171570136,0.00017841527396650627
2026-03-03,56.52,59.7,1.056263269639066,1.0597116636322679,1.0567564328677563,1.0566640227894397,59.894903228495785,59.72954019033674,59.7290887298973,-0.0032593930975788198,-0.0004946881800277533,-0.00048712974003009346,0.0,0.0,56.52,59.7,1.056263269639066,1.059991528542074,1.0567564328677563,1.0566640227894397,59.91072119319803,59.72954019033674,59.7290887298973,-0.003523453568370801,-0.0004946881800277533,-0.00048712974003009346
2026-03-04,56.19,59.37,1.0565936999466097,1.0597116636322679,1.05672029355245,1.0566390532483534,59.54519837949713,59.37914396283922,59.37395144053861,-0.0029466125213313318,-0.00015400469514386875,-6.655396745918079e-05,0.0,0.0,56.19,59.37,1.0565936999466097,1.059991528542074,1.05672029355245,1.0566390532483534,59.56092398877914,59.37914396283922,59.37395144053861,-0.0032106729921232303,-0.00015400469514386875,-6.655396745918079e-05
2026-03-05,56.48,59.68,1.056657223796034,1.0597116636322679,1.0567499158958085,1.056632618583527,59.85251476195049,59.683562179842376,59.678973727466996,-0.002886492969289667,-5.9686218781994214e-05,1.7196403437068325e-05,0.0,0.0,56.48,59.68,1.056657223796034,1.059991528542074,1.0567499158958085,1.056632618583527,59.868321532056335,59.683562179842376,59.678973727466996,-0.0031505534400816057,-5.9686218781994214e-05,1.7196403437068325e-05
2026-03-06,56.57,59.75,1.0562135407459785,1.0597116636322679,1.0565768093290069,1.0565894362069206,59.947888811677394,59.78034274222588,59.77370723327013,-0.0033064742232528205,-0.0005076994206078943,-0.00039669508467896466,0.0,0.0,56.57,59.75,1.0562135407459785,1.059991528542074,1.0565768093290069,1.0565894362069206,59.96372076962513,59.78034274222588,59.77370723327013,-0.0035705346940447164,-0.0005076994206078943,-0.00039669508467896466
2026-03-09,56.32,59.5,1.0564630681818181,1.0597116636322679,1.0565295531372159,1.0566050778789222,59.68296089576933,59.50640590140967,59.507117047173764,-0.0030702549780113678,-0.00010765641340630508,-0.00011960708500199033,0.0,0.0,56.32,59.5,1.0564630681818181,1.059991528542074,1.0565295531372159,1.0566050778789222,59.69872288748961,59.50640590140967,59.507117047173764,-0.003334315448803378,-0.00010765641340630508,-0.00011960708500199033
2026-03-10,55.6,58.78,1.0571942446043165,1.0597116636322679,1.0564776527337636,1.0566217625177885,58.919968497954095,58.7430431544292,58.747242330068076,-0.002378395945573962,0.0006289293707351858,0.0005574481308461917,0.0,0.0,55.6,58.78,1.0571942446043165,1.059991528542074,1.0564776527337636,1.0566217625177885,58.93552898693932,58.7430431544292,58.747242330068076,-0.0026424564163658303,0.0006289293707351858,0.0005574481308461917
