date,FENY,IYE,VDE,XLE,FENY scalar,IYE scalar,VDE scalar,XLE scalar,FENY unit price div,FENY unit price no div,IYE unit price div,IYE unit price no div,VDE unit price div,VDE unit price no div,XLE unit price div,XLE unit price no div,max_unit_price,min_unit_price,pct_diff,max_sym,min_sym,max_unit_price_no,min_unit_price_no,pct_diff_no,max_sym_no,min_sym_no
7/13/2026,31.51,60.27,160.15,56.74,5.097790053,2.661110548,1,2.738800444,160.2182646,160.2567646,161.0871327,160.8776327,160.15,160.15,160.9415372,160.9635372,161.0871327,160.15,0.58%,IYE unit price div,VDE unit price div,160.9635372,160.15,0.51%,XLE unit price no div,VDE unit price no div
7/14/2026,31.65,60.5,160.91,56.95,5.097790053,2.661110548,1,2.738800444,160.9319552,160.9704552,161.6991882,161.4896882,160.91,160.91,161.5166853,161.5386853,161.6991882,160.91,0.49%,IYE unit price div,VDE unit price div,161.5386853,160.91,0.39%,XLE unit price no div,VDE unit price no div
7/15/2026,31.38,60.02,159.42,56.5,5.097790053,2.661110548,1,2.738800444,159.5555519,159.5940519,160.4218551,160.2123551,159.42,159.42,160.2842251,160.3062251,160.4218551,159.42,0.63%,IYE unit price div,VDE unit price div,160.3062251,159.42,0.55%,XLE unit price no div,VDE unit price no div
7/16/2026,31.63,60.53,160.76,57.02,5.097790053,2.661110548,1,2.738800444,160.8299994,160.8684994,161.7790215,161.5695215,160.76,160.76,161.7084013,161.7304013,161.7790215,160.76,0.63%,IYE unit price div,VDE unit price div,161.7304013,160.76,0.60%,XLE unit price no div,VDE unit price no div
7/17/2026,32.02,61.25,162.78,57.68,5.097790053,2.661110548,1,2.738800444,162.8181375,162.8566375,163.6950211,163.4855211,162.78,162.78,163.5160096,163.5380096,163.6950211,162.78,0.56%,IYE unit price div,VDE unit price div,163.5380096,162.78,0.46%,XLE unit price no div,VDE unit price no div
7/20/2026,32.16,61.53,163.48,57.94,5.097790053,2.661110548,1,2.738800444,163.5318281,163.5703281,164.440132,164.230632,163.48,163.48,164.2280977,164.2500977,164.440132,163.48,0.59%,IYE unit price div,VDE unit price div,164.2500977,163.48,0.47%,XLE unit price no div,VDE unit price no div
7/21/2026,32.56,62.18,165.52,58.5,5.097790053,2.661110548,1,2.738800444,165.5709441,165.6094441,166.1698539,165.9603539,165.52,165.52,165.761826,165.783826,166.1698539,165.52,0.39%,IYE unit price div,VDE unit price div,165.9603539,165.52,0.27%,IYE unit price no div,VDE unit price no div
7/22/2026,32.95,62.94,167.49,59.2,5.097790053,2.661110548,1,2.738800444,167.5590823,167.5975823,168.1922979,167.9827979,167.49,167.49,167.6789863,167.7009863,168.1922979,167.49,0.42%,IYE unit price div,VDE unit price div,167.9827979,167.49,0.29%,IYE unit price no div,VDE unit price no div
7/23/2026,33.07,63.23,168.17,59.38,5.097790053,2.661110548,1,2.738800444,168.1708171,168.2093171,168.96402,168.75452,168.17,168.17,168.1719704,168.1939704,168.96402,168.17,0.47%,IYE unit price div,VDE unit price div,168.75452,168.17,0.35%,IYE unit price no div,VDE unit price no div
7/24/2026,33.1,63.35,168.23,59.62,5.097790053,2.661110548,1,2.738800444,168.3237508,168.3622508,169.2833532,169.0738532,168.23,168.23,168.8292825,168.8512825,169.2833532,168.23,0.62%,IYE unit price div,VDE unit price div,169.0738532,168.23,0.50%,IYE unit price no div,VDE unit price no div
7/27/2026,32.38,62.04,164.52,58.36,5.097790053,2.661110548,1,2.738800444,164.6533419,164.6918419,165.7972984,165.5877984,164.52,164.52,165.3783939,165.4003939,165.7972984,164.52,0.77%,IYE unit price div,VDE unit price div,165.5877984,164.52,0.65%,IYE unit price no div,VDE unit price no div
