,bop date,eop date,day count,bop VMBS price,eop VMBS price,bop MBB price,eop MBB price,eop MBB / eop VMBS,bop MBB / VMBS moving avg,eop MBB / VMBS moving avg,eop VMBS unit price,eop MBB / eop MBB,bop MBB / MBB moving avg,eop MBB / MBB moving avg,eop MBB unit price,VMBS unit price pct diff,MBB unit price pct diff,unit price pct diff,month end liquidation,go short,exit short,current_position,new_position,VMBS shares per unit,bop VMBS shares,eop VMBS shares,eop VMBS shares bought,eop VMBS shares sold,eop VMBS shares traded,MBB shares per unit,bop MBB shares,eop MBB shares,eop MBB shares bought,eop MBB shares sold,eop MBB shares traded,VMBS daily commission,MBB daily commission,daily total commissions,VMBS cop,VMBS pct cop,VMBS daily position pnl,MBB cop,MBB pct cop,MBB daily position pnl,daily position pnl,short VMBS investment amount,long VMBS investment amount,VMBS investment amount,daily VMBS borrow cost,short MBB investment amount,long MBB investment amount,MBB investment amount,daily MBB borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
187,2024-09-30,2024-10-01,1,47.21,47.22,95.81,95.81,2.0290131300296483,2.0328606560382942,2.032734496004511,95.99168017812825,1.0,1.0,1.0,95.81,0.0018944592382784703,0.0,0.0018944592382784703,False,True,False,0,-1,2122.0,0.0,-2122.0,0.0,2122.0,-2122.0,1044.0,0.0,1044.0,1044.0,-0.0,1044.0,-10.61,-5.22,-15.829999999999998,0.00999999999999801,0.00021179709917152305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.829999999999998,-69.01959555552237,-69.01959555552237
188,2024-10-01,2024-10-02,1,47.22,47.13,95.81,95.68,2.030129429238277,2.032734496004511,2.032560473954406,95.8027767966926,1.0,1.0,1.0,95.68,0.0012823797061231772,0.0,0.0012823797061231772,False,True,False,-1,-1,2124.0,-2122.0,-2124.0,0.0,2.0,-2.0,1045.0,1044.0,1045.0,1.0,-0.0,1.0,-0.01,-0.005,-0.015,-0.0899999999999963,-0.0019077907217273263,190.97999999999217,-0.12999999999999545,-0.0013577734604603596,-135.71999999999525,55.25999999999692,-100200.84,0.0,-100200.84,-2.7833566666666667,0.0,100025.64,100025.64,0.0,-175.1999999999971,200226.47999999998,-100200.84,-2.7833566666666667,52.46164333333025,-16.55795222219212,-16.55795222219212
189,2024-10-02,2024-10-03,1,47.13,46.91,95.68,95.21,2.0296312086975057,2.032560473954406,2.0324301574009462,95.34741183320118,1.0,1.0,1.0,95.21,0.0014422095230717884,0.0,0.0014422095230717884,False,True,False,-1,-1,2134.0,-2124.0,-2134.0,0.0,10.0,-10.0,1050.0,1045.0,1050.0,5.0,-0.0,5.0,-0.05,-0.025,-0.07500000000000001,-0.22000000000000597,-0.004678868595272954,467.2800000000127,-0.4700000000000131,-0.0049243119047217504,-491.1500000000137,-23.87000000000097,-100104.12000000001,0.0,-100104.12000000001,-2.78067,0.0,99985.6,99985.6,0.0,-118.52000000000407,200089.72000000003,-100104.12000000001,-2.78067,-26.72567000000097,-43.28362222219309,-43.28362222219309
190,2024-10-03,2024-10-04,1,46.91,46.58,95.21,94.51,2.0289823958780593,2.0324301574009462,2.0322581710282885,94.67059673173607,1.0,1.0,1.0,94.51,0.0016978143962770589,0.0,0.0016978143962770589,False,True,False,-1,-1,2150.0,-2134.0,-2150.0,0.0,16.0,-16.0,1058.0,1050.0,1058.0,8.0,-0.0,8.0,-0.08,-0.04,-0.12,-0.3299999999999983,-0.007059607884171648,704.2199999999964,-0.6999999999999886,-0.007379329290635155,-734.9999999999881,-30.779999999991674,-100105.93999999999,0.0,-100105.93999999999,-2.780720555555555,0.0,99970.5,99970.5,0.0,-135.43999999998778,200076.44,-100105.93999999999,-2.780720555555555,-33.68072055554723,-76.96434277774031,-76.96434277774031
191,2024-10-04,2024-10-07,3,46.58,46.46,94.51,94.28,2.029272492466638,2.0322581710282885,2.0320487757448014,94.41871462597429,1.0,1.0,1.0,94.28,0.0014702235914630384,0.0,0.0014702235914630384,False,True,False,-1,-1,2156.0,-2150.0,-2156.0,0.0,6.0,-6.0,1061.0,1058.0,1061.0,3.0,-0.0,3.0,-0.03,-0.015,-0.045,-0.11999999999999744,-0.0025795371139318048,257.9999999999945,-0.23000000000000398,-0.0024365709390343575,-243.3400000000042,14.659999999990276,-100147.0,0.0,-100147.0,-8.345583333333334,0.0,99991.58,99991.58,0.0,-155.41999999999825,200138.58000000002,-100147.0,-8.345583333333334,6.269416666656943,-70.69492611108338,-70.69492611108338
192,2024-10-07,2024-10-08,1,46.46,46.59,94.28,94.47,2.0276883451384418,2.0320487757448014,2.031758098185036,94.67315246195031,1.0,1.0,1.0,94.47,0.0021481352872291457,0.0,0.0021481352872291457,False,True,False,-1,-1,2152.0,-2156.0,-2152.0,4.0,-0.0,4.0,1059.0,1061.0,1059.0,0.0,2.0,-2.0,-0.02,-0.01,-0.03,0.13000000000000256,0.002794198486442399,-280.28000000000554,0.18999999999999773,0.0020132457131125654,201.5899999999976,-78.69000000000796,-100167.76,0.0,-100167.76,-2.7824377777777776,0.0,100031.08,100031.08,0.0,-136.67999999999302,200198.84,-100167.76,-2.7824377777777776,-81.50243777778573,-152.19736388886912,-152.19736388886912
193,2024-10-08,2024-10-09,1,46.59,46.48,94.47,94.25,2.027753872633391,2.031758098185036,2.0313962134018655,94.43611640364047,1.0,1.0,1.0,94.25,0.001972762676431944,0.0,0.001972762676431944,False,True,False,-1,-1,2156.0,-2152.0,-2156.0,0.0,4.0,-4.0,1061.0,1059.0,1061.0,2.0,-0.0,2.0,-0.02,-0.01,-0.03,-0.11000000000000654,-0.0023638132850497934,236.72000000001407,-0.21999999999999886,-0.0023314974529228174,-232.9799999999988,3.7400000000152716,-100261.68000000001,0.0,-100261.68000000001,-2.785046666666667,0.0,100043.73,100043.73,0.0,-217.95000000001164,200305.41,-100261.68000000001,-2.785046666666667,0.9249533333486046,-151.2724105555205,-151.2724105555205
194,2024-10-09,2024-10-10,1,46.48,46.43,94.25,94.21,2.0290760284298943,2.0313962134018655,2.031213612796333,94.31772618824861,1.0,1.0,1.0,94.21,0.0011428154590428432,0.0,0.0011428154590428432,False,True,False,-1,-1,2155.0,-2156.0,-2155.0,1.0,-0.0,1.0,1061.0,1061.0,1061.0,0.0,-0.0,0.0,-0.005,-0.0,-0.005,-0.04999999999999716,-0.0010763105118253354,107.79999999999387,-0.04000000000000625,-0.0004244932675438337,-42.440000000006634,65.35999999998724,-100210.87999999999,0.0,-100210.87999999999,-2.7836355555555556,0.0,99999.25,99999.25,0.0,-211.6299999999901,200210.13,-100210.87999999999,-2.7836355555555556,62.57136444443169,-88.70104611108883,-88.70104611108883
195,2024-10-10,2024-10-11,1,46.43,46.47,94.21,94.23,2.02775984506133,2.031213612796333,2.0309156198017706,94.3904965866456,1.0,1.0,1.0,94.23,0.0017017941134136456,0.0,0.0017017941134136456,False,True,False,-1,-1,2155.0,-2155.0,-2155.0,0.0,-0.0,0.0,1061.0,1061.0,1061.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.03999999999999915,0.000861141065056538,-86.19999999999817,0.020000000000010232,0.00021226915808866372,21.220000000010856,-64.97999999998731,-100056.65,0.0,-100056.65,-2.7793513888888888,0.0,99956.81,99956.81,0.0,-99.83999999999651,200013.46,-100056.65,-2.7793513888888888,-67.7593513888762,-156.46039749996504,-156.46039749996504
196,2024-10-11,2024-10-14,3,46.47,46.43,94.23,94.17,2.028214516476416,2.0309156198017706,2.0306859670766957,94.29541222739621,1.0,1.0,1.0,94.17,0.0013308781110043795,0.0,0.0013308781110043795,False,True,False,-1,-1,2157.0,-2155.0,-2157.0,0.0,2.0,-2.0,1062.0,1061.0,1062.0,1.0,-0.0,1.0,-0.01,-0.005,-0.015,-0.03999999999999915,-0.0008611410650566241,86.19999999999817,-0.060000000000002274,-0.0006369426966930539,-63.66000000000241,22.539999999995757,-100142.84999999999,0.0,-100142.84999999999,-8.3452375,0.0,99978.03,99978.03,0.0,-164.81999999999243,200120.88,-100142.84999999999,-8.3452375,14.179762499995757,-142.2806349999693,-142.2806349999693
