,bop date,eop date,day count, bop RSP price , eop RSP price , bop SPY price , eop SPY price , eop SPY / eop RSP , bop SPY / RSP moving avg , eop SPY / RSP moving avg ,current position,new position, bop RSP shares , eop RSP shares , eop RSP shares bought , eop RSP shares sold , eop RSP shares traded , bop SPY shares , eop SPY shares , eop SPY shares bought , eop SPY shares sold , eop SPY shares traded ,  RSP daily commission  ,  SPY daily commission  ,  daily total commissions  ,  RSP cop  , RSP pct cop ,  RSP daily position pnl  ,  SPY cop  , SPY pct cop ,  SPY daily position pnl  ,  daily position pnl  ,  short RSP investment amount  ,  long RSP investment amount  ,  RSP investment amount  ,  daily RSP borrow cost  ,  short SPY investment amount  ,  long SPY investment amount  ,  SPY investment amount  ,  daily SPY borrow cost  ,  net investment amount  ,  gross investment amount  ,  short investment amount  ,  daily borrow cost  ,  daily net profit  ,  cumulative net profit  ,  drawdown  
91,5/13/2024,5/14/2024,1,$166.07 ,$166.73 ,$520.91 ,$523.30 ,3.14,3.13,3.14,1,1,602.16,599.77, -   ,2.38,-2.38,-191.97,-191.09,0.88, -   ,0.88, $(0.01), $-   , $(0.02), $0.66 , $0.00 , $397.42 , $2.39 , $0.00 , $(458.81), $(61.39),  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(2.78),  $-    ," $200,000.00 "," $(100,000.00)", $(2.78), $(64.18)," $7,609.81 ", $(492.26)
92,5/14/2024,5/15/2024,1,$166.73 ,$168.06 ,$523.30 ,$529.78 ,3.15,3.14,3.14,1,1,599.77,595.03, -   ,4.75,-4.75,-191.09,-188.76,2.34, -   ,2.34, $(0.02), $(0.01), $(0.04), $1.33 , $0.01 , $797.70 , $6.48 , $0.01 ," $(1,238.30)", $(440.60),  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(2.78),  $-    ," $200,000.00 "," $(100,000.00)", $(2.78), $(443.41)," $7,166.39 ", $(935.67)
93,5/15/2024,5/16/2024,1,$168.06 ,$167.79 ,$529.78 ,$528.69 ,3.15,3.14,3.14,1,1,595.03,595.98,0.96, -   ,0.96,-188.76,-189.15, -   ,0.39,-0.39, $-   , $-   , $(0.01), $(0.27), $(0.00), $(160.66), $(1.09), $(0.00), $205.75 , $45.09 ,  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(2.78),  $-    ," $200,000.00 "," $(100,000.00)", $(2.78), $42.30 ," $7,208.70 ", $(893.36)
94,5/16/2024,5/17/2024,1,$167.79 ,$168.04 ,$528.69 ,$529.45 ,3.15,3.14,3.14,1,1,595.98,595.1, -   ,0.89,-0.89,-189.15,-188.88,0.27, -   ,0.27, $-   , $-   , $(0.01), $0.25 , $0.00 , $149.00 , $0.76 , $0.00 , $(143.75), $5.24 ,  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(2.78),  $-    ," $200,000.00 "," $(100,000.00)", $(2.78), $2.46 ," $7,211.16 ", $(890.90)
95,5/17/2024,5/20/2024,3,$168.04 ,$167.90 ,$529.45 ,$530.06 ,3.16,3.14,3.14,1,1,595.1,595.59,0.5, -   ,0.5,-188.88,-188.66,0.22, -   ,0.22, $-   , $-   , $-   , $(0.14), $(0.00), $(83.31), $0.61 , $0.00 , $(115.21), $(198.53),  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(8.33), $-   ," $200,000.00 "," $(100,000.00)", $(8.33), $(206.86)," $7,004.29 "," $(1,097.77)"
96,5/20/2024,5/21/2024,1,$167.90 ,$167.83 ,$530.06 ,$531.36 ,3.17,3.14,3.15,1,1,595.59,595.84,0.25, -   ,0.25,-188.66,-188.2,0.46, -   ,0.46, $-   , $-   , $-   , $(0.07), $(0.00), $(41.69), $1.30 , $0.00 , $(245.26), $(286.95),  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(2.78),  $-    ," $200,000.00 "," $(100,000.00)", $(2.78), $(289.73)," $6,714.57 "," $(1,387.49)"
97,5/21/2024,5/22/2024,1,$167.83 ,$167.19 ,$531.36 ,$529.83 ,3.17,3.15,3.15,1,1,595.84,598.12,2.28, -   ,2.28,-188.2,-188.74, -   ,0.54,-0.54, $(0.01), $-   , $(0.01), $(0.64), $(0.00), $(381.34), $(1.53), $(0.00), $287.94 , $(93.40),  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(2.78),  $-    ," $200,000.00 "," $(100,000.00)", $(2.78), $(96.19)," $6,618.38 "," $(1,483.68)"
98,5/22/2024,5/23/2024,1,$167.19 ,$164.85 ,$529.83 ,$525.96 ,3.19,3.15,3.15,1,1,598.12,606.61,8.49, -   ,8.49,-188.74,-190.13, -   ,1.39,-1.39, $(0.04), $(0.01), $(0.05), $(2.34), $(0.01)," $(1,399.61)", $(3.87), $(0.01), $730.42 , $(669.18),  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(2.78),  $-    ," $200,000.00 "," $(100,000.00)", $(2.78), $(672.01)," $5,946.37 "," $(2,155.69)"
99,5/23/2024,5/24/2024,1,$164.85 ,$165.94 ,$525.96 ,$529.44 ,3.19,3.15,3.16,1,1,606.61,602.63, -   ,3.98,-3.98,-190.13,-188.88,1.25, -   ,1.25, $(0.02), $(0.01), $(0.03), $1.09 , $0.01 , $661.21 , $3.48 , $0.01 , $(661.65), $(0.44),  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(2.78),  $-    ," $200,000.00 "," $(100,000.00)", $(2.78), $(3.24)," $5,943.12 "," $(2,158.94)"
100,5/24/2024,5/28/2024,4,$165.94 ,$164.79 ,$529.44 ,$529.81 ,3.22,3.16,3.17,1,1,602.63,606.83,4.21, -   ,4.21,-188.88,-188.75,0.13, -   ,0.13, $(0.02), $-   , $(0.02), $(1.15), $(0.01), $(693.02), $0.37 , $0.00 , $(69.89), $(762.91),  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(11.11), $-   ," $200,000.00 "," $(100,000.00)", $(11.11), $(774.04)," $5,169.08 "," $(2,932.98)"
