date,IYF,VFH,XLF,IYF scalar,VFH scalar,XLF scalar,IYF unit price div,IYF unit price no div,VFH unit price div,VFH unit price no div,XLF unit price div,XLF unit price no div,max_unit_price,min_unit_price,pct_diff,max_sym,min_sym,max_unit_price_no,min_unit_price_no,pct_diff_no,max_sym_no,min_sym_no
7/23/2026,132.84,136.59,55.83,1.024704366,1,2.601187593,136.4425279,135.9804279,136.59,136.59,137.6915033,137.3263033,137.6915033,136.4425279,0.91%,XLF unit price div,IYF unit price div,137.3263033,135.9804279,0.98%,XLF unit price no div,IYF unit price no div
7/24/2026,134.06,137.81,56.31,1.024704366,1,2.601187593,137.6926673,137.2305673,137.81,137.81,138.9400734,138.5748734,138.9400734,137.6926673,0.90%,XLF unit price div,IYF unit price div,138.5748734,137.2305673,0.97%,XLF unit price no div,IYF unit price no div
7/27/2026,135.17,139.18,56.88,1.024704366,1,2.601187593,138.8300891,138.3679891,139.18,139.18,140.4227503,140.0575503,140.4227503,138.8300891,1.14%,XLF unit price div,IYF unit price div,140.0575503,138.3679891,1.21%,XLF unit price no div,IYF unit price no div
7/28/2026,136.71,140.93,57.6,1.024704366,1,2.601187593,140.4081338,139.9460338,140.93,140.93,142.2956054,141.9304054,142.2956054,140.4081338,1.34%,XLF unit price div,IYF unit price div,141.9304054,139.9460338,1.41%,XLF unit price no div,IYF unit price no div
7/29/2026,134.18,138.7,56.68,1.024704366,1,2.601187593,137.8156318,137.3535318,138.7,138.7,139.9025128,139.5373128,139.9025128,137.8156318,1.50%,XLF unit price div,IYF unit price div,139.5373128,137.3535318,1.58%,XLF unit price no div,IYF unit price no div
7/30/2026,134.77,139.42,57,1.024704366,1,2.601187593,138.4202074,137.9581074,139.42,139.42,140.7348928,140.3696928,140.7348928,138.4202074,1.66%,XLF unit price div,IYF unit price div,140.3696928,137.9581074,1.73%,XLF unit price no div,IYF unit price no div
7/31/2026,134.65,139.23,56.94,1.024704366,1,2.601187593,138.2972428,137.8351428,139.23,139.23,140.5788215,140.2136215,140.5788215,138.2972428,1.64%,XLF unit price div,IYF unit price div,140.2136215,137.8351428,1.71%,XLF unit price no div,IYF unit price no div
8/3/2026,135.92,140.51,57.38,1.024704366,1,2.601187593,139.5986174,139.1365174,140.51,140.51,141.7233441,141.3581441,141.7233441,139.5986174,1.51%,XLF unit price div,IYF unit price div,141.3581441,139.1365174,1.58%,XLF unit price no div,IYF unit price no div
8/4/2026,137.08,141.76,57.88,1.024704366,1,2.601187593,140.7872744,140.3251744,141.76,141.76,143.0239379,142.6587379,143.0239379,140.7872744,1.58%,XLF unit price div,IYF unit price div,142.6587379,140.3251744,1.65%,XLF unit price no div,IYF unit price no div
8/5/2026,137.45,142.02,58,1.024704366,1,2.601187593,141.1664151,140.7043151,142.02,142.02,143.3360804,142.9708804,143.3360804,141.1664151,1.53%,XLF unit price div,IYF unit price div,142.9708804,140.7043151,1.60%,XLF unit price no div,IYF unit price no div
