,bop date,eop date,bop XLU price,eop XLU price,XLU cop,XLU pct cop,bop FUTY price,eop FUTY price,FUTY cop,FUTY pct cop,bop VPU price,eop VPU price,VPU cop,VPU pct cop,VPU / XLU,XLU scalar,eop XLU unit price,VPU / FUTY,FUTY scalar,eop FUTY unit price,VPU / VPU,VPU scalar,eop VPU unit price,max_price,min_price,pct_diff
1158,2026-04-10,2026-04-13,46.96,46.39,-0.5700000000000003,-0.0122122567561887,60.52,59.76,-0.7600000000000051,-0.0126373480955933,202.89,200.25,-2.6399999999999864,-0.0130973743064896,4.316663073938349,4.3274,200.748086,3.3509036144578315,3.352,200.31552,1.0,1.0,200.25,200.748086,200.25,0.0024842325863759437
1159,2026-04-13,2026-04-14,46.39,46.47,0.0799999999999983,0.0017230243332346,59.76,59.96,0.2000000000000028,0.0033411324098351,200.25,200.91,0.6599999999999966,0.0032904606415998,4.3234344738541,4.3274,201.094278,3.3507338225483654,3.352,200.98592,1.0,1.0,200.91,201.094278,200.91,0.0009167962780106262
1160,2026-04-14,2026-04-15,46.47,46.02,-0.4499999999999957,-0.009730858489667,59.96,59.46,-0.5,-0.0083738556644453,200.91,199.25,-1.6599999999999966,-0.0082967289197441,4.329639287266406,4.3274,199.146948,3.3509922637066936,3.352,199.30992,1.0,1.0,199.25,199.30992,199.146948,0.000818015811376164
1161,2026-04-15,2026-04-16,46.02,46.35,0.3299999999999983,0.0071452074046442,59.46,59.85,0.3900000000000005,0.0065376144340305,199.25,200.51,1.259999999999991,0.006303803144288,4.325997842502696,4.3274,200.57499,3.350208855472013,3.352,200.6172,1.0,1.0,200.51,200.6172,200.51,0.0005344938092061126
1162,2026-04-16,2026-04-17,46.35,46.16,-0.1900000000000048,-0.0041076698120201,59.85,59.59,-0.259999999999998,-0.0043536572450945,200.51,199.7,-0.8100000000000023,-0.004047880392843,4.326256499133449,4.3274,199.752784,3.351233428427588,3.352,199.74568,1.0,1.0,199.7,199.752784,199.7,0.0002642815492667435
1163,2026-04-17,2026-04-20,46.16,45.75,-0.4099999999999966,-0.0089218304783137,59.59,59.11,-0.480000000000004,-0.0080876599226094,199.7,198.05,-1.6499999999999773,-0.0082967163538437,4.32896174863388,4.3274,197.97854999999998,3.350532904753849,3.352,198.13672,1.0,1.0,198.05,198.13672,197.97854999999998,0.0007986059633923055
1164,2026-04-20,2026-04-21,45.75,44.95,-0.7999999999999972,-0.0176410308039009,59.11,58.04,-1.0700000000000005,-0.018267686820291,198.05,194.44,-3.6100000000000136,-0.018395891890671,4.325695216907675,4.3274,194.51663000000002,3.350103376981392,3.352,194.55007999999998,1.0,1.0,194.44,194.55007999999998,194.44,0.0005659784585687908
1165,2026-04-21,2026-04-22,44.95,44.87,-0.0800000000000054,-0.0017813409297374,58.04,57.97,-0.0700000000000002,-0.0012067926643455,194.44,194.34,-0.0999999999999943,-0.0005144297659617,4.331178961444173,4.3274,194.170438,3.35242366741418,3.352,194.31544,1.0,1.0,194.34,194.34,194.170438,0.0008728826522087793
1166,2026-04-22,2026-04-23,44.87,46.09,1.220000000000006,0.0268265867445249,57.97,59.59,1.6200000000000043,0.0275621394072461,194.34,199.69,5.349999999999994,0.0271569616440072,4.33261011065307,4.3274,199.44986600000001,3.3510656150360796,3.352,199.74568,1.0,1.0,199.69,199.74568,199.44986600000001,0.0014820508751148898
1167,2026-04-23,2026-04-24,46.09,46.18,0.0899999999999963,0.0019507971939322,59.59,59.65,0.0599999999999951,0.0010063737850374,199.69,199.84,0.1500000000000056,0.0007508823219673,4.327414465136423,4.3274,199.83933199999998,3.3502095557418277,3.352,199.9468,1.0,1.0,199.84,199.9468,199.83933199999998,0.0005376274662202877
