date,XBI,IBB,XBI log rtn,IBB log rtn,XBI div,XBI div cumsum,IBB div,IBB div cumsum,XBI div adjustment,IBB div adjustment,XBI*,IBB*,IBB/XBI,IBB/XBI avg,IBB/XBI 10 dma,IBB/XBI 20 dma,XBI x avg,XBI x 10 dma,XBI x 20 dma,log diff XBI x avg / IBB,log diff XBI x 10 dma / IBB,log diff XBI x 20 dma / IBB,IBB*/XBI*,IBB*/XBI* avg,IBB*/XBI* 10 dma,IBB*/XBI* 20 dma,XBI* x avg,XBI* x 10 dma,XBI* x 20 dma,log diff XBI* x avg / IBB*,log diff XBI* x 10 dma / IBB*,log diff XBI* x 20 dma / IBB*
2026-06-22,145.86,177.0,0.035875157126784414,0.019165542142436487,0.138094,0.138094,0.0,0.145592,0.0,0.0,145.86,177.0,1.2134923899629781,1.3022492118915743,1.2657219387744685,1.271844445236273,189.94607004650504,186.01251954618394,185.94692576634714,0.07059045743543205,0.049664248262282634,0.049311555078424205,1.2134923899629781,1.3022759807794742,1.2657908848082173,1.2718789182531474,189.9499745564941,186.02257601466658,185.95195400058847,0.07061101311135791,0.04971831019678865,0.04933859594633319
2026-06-23,147.03,178.09,0.00798939003347864,0.00613930791408516,0.0,0.138094,0.0,0.145592,0.0,0.0,147.03,178.09,1.211249404883357,1.3022492118915743,1.2568772459995479,1.2683062015202402,191.46970162441818,186.0990966580101,186.9992887830892,0.07244053955482568,0.04399026908085853,0.048815773060451616,1.211249404883357,1.3022759807794742,1.2569461920332967,1.2683406745371146,191.47363745400608,186.1092337933522,187.00435735076024,0.07246109523075152,0.04404473930366254,0.04884287743616415
2026-06-24,149.71,181.53,0.018063441872179464,0.019131888814425548,0.0,0.138094,0.0,0.145592,0.0,0.0,149.71,181.53,1.2125442522209604,1.3022492118915743,1.249223161555028,1.265408854701217,194.9597295122876,188.16709249859233,189.87812142959518,0.07137209261257967,0.03590942867388457,0.04496147087067809,1.2125442522209604,1.3022759807794742,1.249292107588777,1.2654433277180916,194.96373708249507,188.17741440930487,189.88328238495143,0.07139264828850553,0.03596428219519632,0.04498865085950645
2026-06-25,151.59,183.67,0.01247941851018162,0.011719739838103808,0.0,0.138094,0.0,0.145592,0.0,0.0,151.59,183.67,1.211623458011742,1.3022492118915743,1.241607858927797,1.2628141257795655,197.40795803064375,189.3697390601267,191.8233282841575,0.07213177128465752,0.03056072619671863,0.04343411408879098,1.211623458011742,1.3022759807794742,1.241676804961546,1.2628485987964397,197.41201592636048,189.38019058938272,191.82855404878552,0.07215232696058345,0.030615915800414863,0.04346135630950729
2026-06-26,155.38,187.36,0.02469422155034781,0.019891230708963828,0.0,0.138094,0.0,0.145592,0.0,0.0,155.38,187.36,1.205817994593899,1.3022492118915743,1.2337506045978244,1.2597768396132385,202.3434825437128,192.9210291202011,196.2160588636289,0.07693476212604156,0.029249029777323896,0.0461844933902147,1.205817994593899,1.3022759807794742,1.2338195506315732,1.259811312630113,202.3476418935147,192.93174195492503,196.2214152809908,0.07695531780196747,0.02930455787264814,0.04621179158529129
2026-06-29,158.31,189.79,0.018681406563411607,0.012886297899421069,0.0,0.138094,0.0,0.145592,0.0,0.0,158.31,189.79,1.1988503568947002,1.3022492118915743,1.2260775268258997,1.2567374275435688,206.15907273455514,195.31505821388157,199.4352714791718,0.08272987079003206,0.028695740151187237,0.04957153219610068,1.1988503568947002,1.3022759807794742,1.2261464728596487,1.2567719005604432,206.16331051719857,195.32597306048436,199.44072890247318,0.08275042646595818,0.028751621872418812,0.049598896205449446
2026-06-30,158.25,190.19,-0.00037907506140062947,0.002105374744741361,0.0,0.138094,0.0,0.145592,0.0,0.0,158.25,190.19,1.2018325434439179,1.3022492118915743,1.2200364409943385,1.2534515663158243,206.08093778184164,194.02676862019862,198.87869790876977,0.08024542098389008,0.019972559629381433,0.04467150812737549,1.2018325434439179,1.3022759807794742,1.2200879574093189,1.253486039332699,206.0851739583518,194.03767933003942,198.88415326369014,0.08026597665981602,0.020028791061564105,0.04469893831551215
2026-07-01,156.55,190.12,-0.010800613251870827,-0.00036812074776098745,0.0,0.138094,0.0,0.145592,0.0,0.0,156.55,190.12,1.2144362823379111,1.3022492118915743,1.2148065063494535,1.2498848707270218,203.86711412162597,190.9967048376637,196.2278427067423,0.0698129284797802,0.004600723993172173,0.03162099513750512,1.2144362823379111,1.3022759807794742,1.2148404566346869,1.2499193437438962,203.8713047910267,191.00476973242888,196.23323945753404,0.06983348415570619,0.004642948410109004,0.0316484972315335
2026-07-02,160.46,195.7,0.024669242553095178,0.0289274226562217,0.0,0.138094,0.0,0.145592,0.0,0.0,160.46,195.7,1.219618596534962,1.3022492118915743,1.2123405017372204,1.2463583677570358,208.95890854012202,194.92785200883333,200.55652635685794,0.06555474837665365,-0.0039533739996502944,0.02451325957752647,1.219618596534962,1.3022759807794742,1.212357396279574,1.2463928407739102,208.96320387587443,194.93329967160187,200.5620578971456,0.06557530405257952,-0.003925427317887243,0.024540840150978592
2026-07-06,160.81,195.31,0.002178853540423341,-0.00199483455323059,0.0,0.138094,0.0,0.145592,0.0,0.0,160.81,195.31,1.214538896834774,1.3022492118915743,1.2104004175719203,1.242840821517977,209.41469576428406,194.9564760843624,200.42688911900893,0.06972843647030746,-0.0018117057651558799,0.02586149760151243,1.214538896834774,1.3022759807794742,1.21040041757192,1.2428752945348513,209.41900046914725,194.9591928957183,200.4324327248525,0.06974899214623351,-0.0017977703859338584,0.02588915621161249
2026-07-07,163.87,198.23,0.01884988669219947,0.01483993285331951,0.0,0.138094,0.0,0.145592,0.0,0.0,163.87,198.23,1.2096784036126196,1.3022492118915743,1.2100190189368845,1.2378704788556765,213.39957835267228,198.34831642751058,203.66432542215088,0.07373839030918733,0.0005966863346781621,0.027045202263038304,1.2096784036126196,1.3022759807794742,1.2100190189368842,1.237904951872551,213.40396497033242,198.34831642751055,203.6699745154261,0.07375894598511322,0.0005966863346779401,0.02707293915274527
2026-07-08,162.97,196.34,-0.005507295770235377,-0.009580122437744124,0.0,0.138094,0.0,0.145592,0.0,0.0,162.97,196.34,1.2047616125667302,1.3022492118915743,1.2093702397052215,1.2331237428523847,212.22755406196987,197.19679951614407,201.7357519391096,0.07781121697669613,0.004354362138299984,0.027110832032994362,1.2047616125667302,1.3022759807794742,1.2093702397052217,1.2331582158692593,212.2319165876309,197.196799516144,201.74137000666963,0.07783177265262219,0.004354362138299542,0.02713868029132068
2026-07-09,164.28,197.34,0.008006154300460363,0.0050802791646453625,0.0,0.138094,0.0,0.145592,0.0,0.0,164.28,197.34,1.2012417823228634,1.3022492118915743,1.208239992715412,1.22873157713522,213.9335005295478,198.67534297877378,202.57756847578975,0.08073709211251122,0.006743920726542822,0.02619473797247321,1.2012417823228634,1.3022759807794742,1.2082399927154117,1.2287660501520945,213.93789812245203,198.6753429787738,202.58323170300193,0.08075764778843743,0.006743920726543043,0.026222693427246025
2026-07-10,159.03,192.06,-0.032479425420533475,-0.027120306219193896,0.0,0.138094,0.0,0.145592,0.0,0.0,159.03,192.06,1.2076966610073572,1.3022492118915743,1.2078473130149736,1.2247275859713853,207.09669216711706,192.14640604153198,195.40518271181406,0.07537797291117178,0.00044978970485658475,0.017267439649025607,1.2076966610073572,1.3022759807794742,1.2078473130149734,1.2247620589882597,207.10094922335978,192.14640604153192,195.4106649556876,0.0753985285870977,0.0004497897048563628,0.0172954950306413
2026-07-13,155.34,189.55,-0.02347660067632314,-0.01315498124748285,0.0,0.138094,0.0,0.145592,0.0,0.0,155.34,189.55,1.2202265997167503,1.3022492118915743,1.2092881735272585,1.2215193890625415,202.29139257523715,187.627001603746,190.249183204795,0.06505635348233138,-0.010196883957714913,0.0036818614971470694,1.2202265997167503,1.3022759807794742,1.2092881735272587,1.2215538620794157,202.29555085428353,187.62700160374598,190.25453824323628,0.06507690915825752,-0.010196883957715137,0.003710008598685384
2026-07-14,155.45,188.67,0.000707873513261469,-0.004653384738822328,0.0,0.138094,0.0,0.145592,0.0,0.0,155.45,188.67,1.213702155033773,1.3022492118915743,1.210773353341166,1.2184254400835326,202.4346399885452,187.9838465748123,189.88518902977208,0.0704176117344152,-0.0036434205595222854,0.006420164028958408,1.213702155033773,1.3022759807794742,1.2107733533411658,1.2184599131004072,202.43880121216924,187.98384657481236,189.89054786024516,0.07043816741034113,-0.0036434205595220624,0.006448385054963718
