date,EMB,EMLC,VWOB
2022-12-09,86.1,24.17,62.21
2022-12-12,86.42,24.07,62.34
2022-12-13,87.25,24.36,62.88
2022-12-14,87.12,24.36,62.82
2022-12-15,86.32,24.22,62.62
2022-12-16,85.87,24.15,62.25
2022-12-19,85.4,24.22,61.92
2022-12-20,84.97,24.28,61.63
2022-12-21,86.08,24.42,62.45
2022-12-22,85.64,24.38,62.0
2022-12-23,85.18,24.42,61.44
2022-12-27,84.67,24.22,61.19
2022-12-28,84.36,24.08,60.85
2022-12-29,85.01,24.23,61.35
2022-12-30,84.59,24.23,60.98
2023-01-03,84.96,24.14,61.29
2023-01-04,86.0,24.3,61.93
2023-01-05,85.22,24.3,61.51
2023-01-06,86.73,24.78,62.46
2023-01-09,86.56,24.82,62.42
2023-01-10,86.02,24.89,62.04
2023-01-11,87.0,25.01,62.54
2023-01-12,88.03,25.3,63.26
2023-01-13,87.82,25.31,63.08
2023-01-17,87.91,25.17,63.21
2023-01-18,88.95,25.16,63.98
2023-01-19,88.7,25.19,63.8
2023-01-20,88.5,25.29,63.66
2023-01-23,88.45,25.25,63.62
2023-01-24,88.84,25.38,64.03
2023-01-25,88.78,25.49,63.9
2023-01-26,88.78,25.44,63.94
2023-01-27,88.61,25.36,63.78
2023-01-30,87.48,25.23,63.06
2023-01-31,87.91,25.27,63.44
2023-02-01,89.26,25.5,64.18
2023-02-02,89.55,25.51,64.37
2023-02-03,88.32,25.06,63.6
2023-02-06,87.07,24.83,62.74
2023-02-07,87.15,24.9,62.8
2023-02-08,87.1,24.91,62.73
2023-02-09,86.53,24.89,62.36
2023-02-10,85.86,24.76,61.85
2023-02-13,86.1,24.82,62.02
2023-02-14,86.15,24.78,62.03
2023-02-15,85.9,24.62,61.82
2023-02-16,85.34,24.56,61.48
2023-02-17,85.37,24.64,61.45
2023-02-21,84.08,24.37,60.51
2023-02-22,84.41,24.51,60.91
2023-02-23,85.76,24.57,61.77
2023-02-24,85.17,24.39,61.36
2023-02-27,85.6,24.51,61.68
2023-02-28,85.24,24.43,61.44
2023-03-01,84.3,24.54,60.72
2023-03-02,83.99,24.4,60.59
2023-03-03,85.28,24.56,61.29
2023-03-06,84.94,24.6,61.1
2023-03-07,84.59,24.35,61.04
2023-03-08,84.19,24.42,60.74
2023-03-09,84.21,24.41,60.71
2023-03-10,85.0,24.58,61.23
2023-03-13,84.86,24.62,61.02
2023-03-14,84.63,24.6,61.15
2023-03-15,84.94,24.34,61.22
2023-03-16,84.58,24.44,61.0
2023-03-17,84.2,24.5,61.03
2023-03-20,84.21,24.57,60.85
2023-03-21,84.81,24.63,61.3
